Rk,Player,STSnp,Day,G#,Week,Date,Age,Team,,Opp,Result,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1086,Isaiah McKenzie,5,Sun,3,3,2022-09-25,27-169,BUF,@,MIA,L 19-21,47,51.1,0,0.0,5,22.7,WR,McKeIs00
1087,Jamal Agnew,6,Sun,2,2,2022-09-18,27-168,JAX,,IND,W 24-0,7,9.9,0,0.0,6,30.0,WR,AgneJa00
1088,Parker Hesse,15,Thu,10,10,2022-11-10,27-168,ATL,@,CAR,L 15-25,22,34.9,0,0.0,15,51.7,TE,HessPa00
1089,Kevin Rader,14,Sun,5,5,2022-10-09,27-166,TEN,@,WAS,W 21-17,5,7.8,0,0.0,14,50.0,TE,RadeKe00
1090,Laquon Treadwell,2,Sun,11,12,2022-11-27,27-166,SEA,,LVR,L 34-40 (OT),7,10.8,0,0.0,2,5.9,WR,TreaLa00
1091,Cullen Gillaspia,17,Sun,7,7,2022-10-23,27-164,SEA,@,LAC,W 37-23,0,0.0,0,0.0,17,58.6,RB,GillCu00
1092,Parker Hesse,12,Sun,9,9,2022-11-06,27-164,ATL,,LAC,L 17-20,29,47.5,0,0.0,12,50.0,TE,HessPa00
1093,Justin Watson,10,Thu,2,2,2022-09-15,27-164,KAN,,LAC,W 27-24,14,24.6,0,0.0,10,31.3,WR,WatsJu01
1094,Isaiah McKenzie,2,Mon,2,2,2022-09-19,27-163,BUF,,TEN,W 41-7,31,45.6,0,0.0,2,7.4,WR,McKeIs00
1095,Tommy Sweeney,21,Sun,13,14,2022-12-11,27-163,BUF,,NYJ,W 20-12,5,8.5,0,0.0,21,70.0,TE,SweeTo00
1096,Darrel Williams,9,Sun,3,3,2022-09-25,27-163,ARI,,LAR,L 12-20,14,16.9,0,0.0,9,36.0,RB,WillDa10
1097,Tyler Conklin,8,Sun,17,18,2023-01-08,27-162,NYJ,@,MIA,L 6-11,54,96.4,0,0.0,8,36.4,TE,ConkTy00
1098,Jamal Agnew,8,Sun,1,1,2022-09-11,27-161,JAX,@,WAS,L 22-28,7,10.0,0,0.0,8,33.3,WR,AgneJa00
1099,Justin Watson,9,Sun,1,1,2022-09-11,27-160,KAN,@,ARI,W 44-21,16,22.9,0,0.0,9,33.3,WR,WatsJu01
1100,Kevin Rader,13,Sun,4,4,2022-10-02,27-159,TEN,@,IND,W 24-17,7,13.0,0,0.0,13,56.5,TE,RadeKe00
1101,Mike Boone,11,Sun,12,13,2022-12-04,27-157,DEN,@,BAL,L 9-10,12,22.6,0,0.0,11,42.3,RB,BoonMi00
1102,Cullen Gillaspia,19,Sun,6,6,2022-10-16,27-157,SEA,,ARI,W 19-9,0,0.0,0,0.0,19,73.1,RB,GillCu00
1103,Parker Hesse,19,Sun,8,8,2022-10-30,27-157,ATL,,CAR,W 37-34 (OT),29,43.3,0,0.0,19,54.3,TE,HessPa00
1104,Darrel Williams,12,Sun,2,2,2022-09-18,27-156,ARI,@,LVR,W 29-23 (OT),40,46.0,0,0.0,12,57.1,RB,WillDa10
1105,Tyler Conklin,6,Sun,16,17,2023-01-01,27-155,NYJ,@,SEA,L 6-23,43,61.4,0,0.0,6,24.0,TE,ConkTy00
1106,Tommy Sweeney,15,Thu,12,13,2022-12-01,27-153,BUF,@,NWE,W 24-10,22,29.3,0,0.0,15,62.5,TE,SweeTo00
1107,Isaiah McKenzie,2,Thu,1,1,2022-09-08,27-152,BUF,@,LAR,W 31-10,26,44.1,0,0.0,2,10.5,WR,McKeIs00
1108,Kevin Rader,8,Sun,3,3,2022-09-25,27-152,TEN,,LVR,W 24-22,15,25.9,0,0.0,8,33.3,TE,RadeKe00
1109,Durham Smythe,10,Sun,17,18,2023-01-08,27-152,MIA,,NYJ,W 11-6,46,70.8,0,0.0,10,45.5,TE,SmytDu00
1110,Boston Scott,4,Sun,3,3,2022-09-25,27-151,PHI,@,WAS,W 24-8,7,10.0,0,0.0,4,15.4,RB,ScotBo02
1111,Kendrick Bourne,1,Sun,16,17,2023-01-01,27-150,NWE,,MIA,W 23-21,28,46.7,0,0.0,1,3.7,WR,BourKe00
1112,Cullen Gillaspia,24,Sun,5,5,2022-10-09,27-150,SEA,@,NOR,L 32-39,0,0.0,0,0.0,24,70.6,RB,GillCu00
1113,Parker Hesse,15,Sun,7,7,2022-10-23,27-150,ATL,@,CIN,L 17-35,32,68.1,0,0.0,15,60.0,TE,HessPa00
1114,Darrel Williams,15,Sun,1,1,2022-09-11,27-149,ARI,,KAN,L 21-44,0,0.0,0,0.0,15,55.6,RB,WillDa10
1115,Tyler Conklin,6,Thu,15,16,2022-12-22,27-145,NYJ,,JAX,L 3-19,42,71.2,0,0.0,6,27.3,TE,ConkTy00
1116,Boston Scott,4,Mon,2,2,2022-09-19,27-145,PHI,,MIN,W 24-7,15,20.5,0,0.0,4,19.0,RB,ScotBo02
1117,Durham Smythe,14,Sun,16,17,2023-01-01,27-145,MIA,@,NWE,L 21-23,42,59.2,0,0.0,14,51.9,TE,SmytDu00
1118,Cullen Gillaspia,18,Sun,4,4,2022-10-02,27-143,SEA,@,DET,W 48-45,0,0.0,0,0.0,18,54.5,RB,GillCu00
1119,Parker Hesse,12,Sun,6,6,2022-10-16,27-143,ATL,,SFO,W 28-14,41,70.7,0,0.0,12,54.5,TE,HessPa00
1120,Kendrick Bourne,1,Sat,15,16,2022-12-24,27-142,NWE,,CIN,L 18-22,32,57.1,0,0.0,1,4.0,WR,BourKe00
1121,Tyler Conklin,10,Sun,14,15,2022-12-18,27-141,NYJ,,DET,L 17-20,47,74.6,0,0.0,10,35.7,TE,ConkTy00
1122,Durham Smythe,13,Sun,15,16,2022-12-25,27-138,MIA,,GNB,L 20-26,32,64.0,0,0.0,13,50.0,TE,SmytDu00
1123,Boston Scott,7,Sun,1,1,2022-09-11,27-137,PHI,@,DET,W 38-35,14,18.2,0,0.0,7,22.6,RB,ScotBo02
1124,Parker Hesse,12,Sun,5,5,2022-10-09,27-136,ATL,@,TAM,L 15-21,41,62.1,0,0.0,12,54.5,TE,HessPa00
1125,Jason Moore,4,Sun,8,9,2022-11-06,27-136,LAC,@,ATL,W 20-17,8,11.6,0,0.0,4,16.7,WR,MoorJa02
1126,Tyler Conklin,15,Sun,13,14,2022-12-11,27-134,NYJ,@,BUF,L 12-20,53,71.6,0,0.0,15,50.0,TE,ConkTy00
1127,Durham Smythe,14,Sat,14,15,2022-12-17,27-130,MIA,@,BUF,L 29-32,38,64.4,0,0.0,14,46.7,TE,SmytDu00
1128,Parker Hesse,13,Sun,4,4,2022-10-02,27-129,ATL,,CLE,W 23-20,48,87.3,0,0.0,13,50.0,TE,HessPa00
1129,Tyler Conklin,14,Sun,12,13,2022-12-04,27-127,NYJ,@,MIN,L 22-27,61,71.8,0,0.0,14,43.8,TE,ConkTy00
1130,Richie James,2,Sun,17,18,2023-01-08,27-125,NYG,@,PHI,L 16-22,0,0.0,0,0.0,2,7.1,WR,JameRi00
1131,Jonnu Smith,4,Sat,15,16,2022-12-24,27-124,NWE,,CIN,L 18-22,32,57.1,0,0.0,4,16.0,TE,SmitJo01
1132,Durham Smythe,16,Sun,13,14,2022-12-11,27-124,MIA,@,LAC,L 17-23,30,58.8,0,0.0,16,55.2,TE,SmytDu00
1133,Parker Hesse,12,Sun,3,3,2022-09-25,27-122,ATL,@,SEA,W 27-23,43,75.4,0,0.0,12,48.0,TE,HessPa00
1134,Jason Moore,7,Sun,7,7,2022-10-23,27-122,LAC,,SEA,L 23-37,18,25.4,0,0.0,7,24.1,WR,MoorJa02
1135,Tyler Conklin,2,Sun,11,12,2022-11-27,27-120,NYJ,,CHI,W 31-10,50,79.4,0,0.0,2,8.0,TE,ConkTy00
1136,Kendrick Bourne,1,Thu,12,13,2022-12-01,27-119,NWE,,BUF,L 10-24,20,37.0,0,0.0,1,4.2,WR,BourKe00
1137,Richie James,4,Sun,16,17,2023-01-01,27-118,NYG,,IND,W 38-10,50,79.4,0,0.0,4,16.7,WR,JameRi00
1138,Alvin Kamara,1,Sun,11,11,2022-11-20,27-118,NOR,,LAR,W 27-20,40,70.2,0,0.0,1,3.2,RB,KamaAl00
1139,Brandon Powell,16,Sun,17,18,2023-01-08,27-118,LAR,@,SEA,L 16-19 (OT),49,80.3,0,0.0,16,48.5,WR,PoweBr00
1140,Trevon Wesco,10,Sun,17,18,2023-01-08,27-118,CHI,,MIN,L 13-29,12,23.5,0,0.0,10,43.5,TE,WescTr00
1141,Durham Smythe,15,Sun,12,13,2022-12-04,27-117,MIA,@,SFO,L 17-33,27,58.7,0,0.0,15,50.0,TE,SmytDu00
1142,Jason Moore,4,Mon,6,6,2022-10-17,27-116,LAC,,DEN,W 19-16 (OT),5,5.4,0,0.0,4,13.3,WR,MoorJa02
1143,Mike Boone,7,Sun,7,7,2022-10-23,27-115,DEN,,NYJ,L 9-16,9,11.4,0,0.0,7,25.0,RB,BoonMi00
1144,Parker Hesse,11,Sun,2,2,2022-09-18,27-115,ATL,@,LAR,L 27-31,40,65.6,0,0.0,11,47.8,TE,HessPa00
1145,Samaje Perine,11,Sun,16,18,2023-01-08,27-114,CIN,,BAL,W 27-16,30,45.5,0,0.0,11,36.7,RB,PeriSa00
1146,Tyler Conklin,16,Sun,10,11,2022-11-20,27-113,NYJ,@,NWE,L 3-10,37,74.0,0,0.0,16,53.3,TE,ConkTy00
1147,Jonnu Smith,4,Mon,13,14,2022-12-12,27-112,NWE,@,ARI,W 27-13,28,47.5,0,0.0,4,15.4,TE,SmitJo01
1148,Brandon Powell,15,Sun,16,17,2023-01-01,27-111,LAR,@,LAC,L 10-31,37,75.5,0,0.0,15,60.0,WR,PoweBr00
1149,Trevon Wesco,15,Sun,16,17,2023-01-01,27-111,CHI,@,DET,L 10-41,9,17.3,0,0.0,15,50.0,TE,WescTr00
1150,Richie James,6,Sat,15,16,2022-12-24,27-110,NYG,@,MIN,L 24-27,57,82.6,0,0.0,6,20.7,WR,JameRi00
1151,Durham Smythe,16,Sun,11,12,2022-11-27,27-110,MIA,,HOU,W 30-15,37,48.7,0,0.0,16,53.3,TE,SmytDu00
1152,Mike Boone,11,Mon,6,6,2022-10-17,27-109,DEN,@,LAC,L 16-19 (OT),21,36.2,0,0.0,11,36.7,RB,BoonMi00
1153,Parker Hesse,13,Sun,1,1,2022-09-11,27-108,ATL,,NOR,L 26-27,48,64.0,0,0.0,13,40.6,TE,HessPa00
1154,Jason Moore,5,Sun,5,5,2022-10-09,27-108,LAC,@,CLE,W 30-28,15,21.1,0,0.0,5,18.5,WR,MoorJa02
1155,Tommy Sweeney,6,Sun,6,6,2022-10-16,27-107,BUF,@,KAN,W 24-20,8,11.0,0,0.0,6,26.1,TE,SweeTo00
1156,Richie James,4,Sun,14,15,2022-12-18,27-104,NYG,@,WAS,W 20-12,50,79.4,0,0.0,4,16.0,WR,JameRi00
1157,Brandon Powell,7,Sun,15,16,2022-12-25,27-104,LAR,,DEN,W 51-14,40,61.5,0,0.0,7,26.9,WR,PoweBr00
1158,Jason Moore,5,Sun,4,4,2022-10-02,27-101,LAC,@,HOU,W 34-24,4,5.7,0,0.0,5,17.2,WR,MoorJa02
1159,Jonnu Smith,5,Thu,12,13,2022-12-01,27-101,NWE,,BUF,L 10-24,17,31.5,0,0.0,5,20.8,TE,SmitJo01
1160,Tommy Sweeney,2,Sun,5,5,2022-10-09,27-100,BUF,,PIT,W 38-3,23,41.1,0,0.0,2,8.0,TE,SweeTo00
1161,Tyler Conklin,8,Sun,9,9,2022-11-06,27-099,NYJ,,BUF,W 20-17,43,71.7,0,0.0,8,34.8,TE,ConkTy00
1162,Samaje Perine,8,Sat,15,16,2022-12-24,27-099,CIN,@,NWE,W 22-18,34,41.0,0,0.0,8,32.0,RB,PeriSa00
1163,Mike Boone,5,Thu,5,5,2022-10-06,27-098,DEN,,IND,L 9-12 (OT),30,41.1,0,0.0,5,16.1,RB,BoonMi00
1164,Marcus Kemp,17,Sun,10,11,2022-11-20,27-098,KAN,@,LAC,W 30-27,4,6.2,0,0.0,17,58.6,WR,KempMa00
1165,Brandon Powell,10,Mon,14,15,2022-12-19,27-098,LAR,@,GNB,L 12-24,8,17.8,0,0.0,10,47.6,WR,PoweBr00
1166,Richie James,2,Sun,13,14,2022-12-11,27-097,NYG,,PHI,L 22-48,58,90.6,0,0.0,2,6.5,WR,JameRi00
1167,Mark Andrews,1,Sun,13,14,2022-12-11,27-096,BAL,@,PIT,W 16-14,54,88.5,0,0.0,1,4.8,TE,AndrMa00
1168,Durham Smythe,7,Sun,10,10,2022-11-13,27-096,MIA,,CLE,W 39-17,37,53.6,0,0.0,7,30.4,TE,SmytDu00
1169,Braxton Berrios,11,Sun,17,18,2023-01-08,27-094,NYJ,@,MIA,L 6-11,2,3.6,0,0.0,11,50.0,WR,BerrBr00
1170,Mike Boone,11,Sun,4,4,2022-10-02,27-094,DEN,@,LVR,L 23-32,19,35.8,0,0.0,11,34.4,RB,BoonMi00
1171,Jonnu Smith,7,Thu,11,12,2022-11-24,27-094,NWE,@,MIN,L 26-33,16,29.1,0,0.0,7,21.2,TE,SmitJo01
1172,Samaje Perine,5,Sun,14,15,2022-12-18,27-093,CIN,@,TAM,W 34-23,25,37.9,0,0.0,5,20.0,RB,PeriSa00
1173,Tyler Conklin,10,Sun,8,8,2022-10-30,27-092,NYJ,,NWE,L 17-22,44,74.6,0,0.0,10,35.7,TE,ConkTy00
1174,Richie James,6,Sun,12,13,2022-12-04,27-090,NYG,,WAS,T 20-20 (OT),34,51.5,0,0.0,6,17.6,WR,JameRi00
1175,Jonnu Smith,2,Sun,10,11,2022-11-20,27-090,NWE,,NYJ,W 10-3,34,54.0,0,0.0,2,6.7,TE,SmitJo01
1176,Durham Smythe,7,Sun,9,9,2022-11-06,27-089,MIA,@,CHI,W 35-32,33,57.9,0,0.0,7,26.9,TE,SmytDu00
1177,Braxton Berrios,10,Sun,16,17,2023-01-01,27-087,NYJ,@,SEA,L 6-23,9,12.9,0,0.0,10,40.0,WR,BerrBr00
1178,Mike Boone,18,Sun,3,3,2022-09-25,27-087,DEN,,SFO,W 11-10,14,18.9,0,0.0,18,64.3,RB,BoonMi00
1179,Kendrick Bourne,1,Sun,8,8,2022-10-30,27-087,NWE,@,NYJ,W 22-17,54,69.2,0,0.0,1,3.6,WR,BourKe00
1180,Chris Myarick,4,Sun,16,17,2023-01-01,27-087,NYG,,IND,W 38-10,6,9.5,0,0.0,4,16.7,FB,MyarCh00
1181,Brandon Powell,12,Thu,13,14,2022-12-08,27-087,LAR,,LVR,W 17-16,14,21.9,0,0.0,12,48.0,WR,PoweBr00
1182,Samaje Perine,4,Sun,13,14,2022-12-11,27-086,CIN,,CLE,W 23-10,29,43.3,0,0.0,4,16.7,RB,PeriSa00
1183,Tyler Conklin,4,Sun,7,7,2022-10-23,27-085,NYJ,@,DEN,W 16-9,44,74.6,0,0.0,4,14.3,TE,ConkTy00
1184,Marcus Kemp,24,Sun,8,9,2022-11-06,27-084,KAN,,TEN,W 20-17 (OT),0,0.0,0,0.0,24,77.4,WR,KempMa00
1185,Brandon Powell,13,Sun,12,13,2022-12-04,27-083,LAR,,SEA,L 23-27,26,40.6,0,0.0,13,48.1,WR,PoweBr00
1186,Trevon Wesco,1,Sun,13,13,2022-12-04,27-083,CHI,,GNB,L 19-28,2,3.8,0,0.0,1,4.2,TE,WescTr00
1187,Mike Boone,8,Sun,2,2,2022-09-18,27-080,DEN,,HOU,W 16-9,7,9.7,0,0.0,8,30.8,RB,BoonMi00
1188,Richie James,1,Thu,11,12,2022-11-24,27-080,NYG,@,DAL,L 20-28,45,70.3,0,0.0,1,4.3,WR,JameRi00
1189,Chris Myarick,13,Sat,15,16,2022-12-24,27-079,NYG,@,MIN,L 24-27,0,0.0,0,0.0,13,44.8,FB,MyarCh00
1190,Samaje Perine,1,Sun,12,13,2022-12-04,27-079,CIN,,KAN,W 27-24,60,83.3,0,0.0,1,4.3,RB,PeriSa00
1191,Tyler Conklin,8,Sun,6,6,2022-10-16,27-078,NYJ,@,GNB,W 27-10,37,67.3,0,0.0,8,27.6,TE,ConkTy00
1192,Braxton Berrios,8,Thu,15,16,2022-12-22,27-077,NYJ,,JAX,L 3-19,0,0.0,0,0.0,8,36.4,WR,BerrBr00
1193,Dante Pettis,1,Sun,17,18,2023-01-08,27-077,CHI,,MIN,L 13-29,32,62.7,0,0.0,1,4.3,WR,PettDa00
1194,Richie James,6,Sun,10,11,2022-11-20,27-076,NYG,,DET,L 18-31,17,22.4,0,0.0,6,23.1,WR,JameRi00
1195,Brandon Powell,14,Sun,11,12,2022-11-27,27-076,LAR,@,KAN,L 10-26,26,48.1,0,0.0,14,58.3,WR,PoweBr00
1196,Jonnu Smith,2,Sun,9,9,2022-11-06,27-076,NWE,,IND,W 26-3,34,54.0,0,0.0,2,6.1,TE,SmitJo01
1197,Trevon Wesco,11,Sun,12,12,2022-11-27,27-076,CHI,@,NYJ,L 10-31,13,22.8,0,0.0,11,44.0,TE,WescTr00
1198,Mike Boone,6,Mon,1,1,2022-09-12,27-074,DEN,@,SEA,L 16-17,3,4.5,0,0.0,6,31.6,RB,BoonMi00
1199,Braxton Berrios,11,Sun,14,15,2022-12-18,27-073,NYJ,,DET,L 17-20,27,42.9,0,0.0,11,39.3,WR,BerrBr00
1200,Chris Myarick,13,Sun,14,15,2022-12-18,27-073,NYG,@,WAS,W 20-12,6,9.5,0,0.0,13,52.0,FB,MyarCh00
1201,Tyler Conklin,6,Sun,5,5,2022-10-09,27-071,NYJ,,MIA,W 40-17,40,67.8,0,0.0,6,20.7,TE,ConkTy00
1202,Marcus Kemp,21,Sun,7,7,2022-10-23,27-070,KAN,@,SFO,W 44-23,6,9.4,0,0.0,21,75.0,WR,KempMa00
1203,Dante Pettis,1,Sun,16,17,2023-01-01,27-070,CHI,@,DET,L 10-41,14,26.9,0,0.0,1,3.3,WR,PettDa00
1204,Richie James,3,Sun,9,10,2022-11-13,27-069,NYG,,HOU,W 24-16,0,0.0,0,0.0,3,10.0,WR,JameRi00
1205,Brandon Powell,16,Sun,10,11,2022-11-20,27-069,LAR,@,NOR,L 20-27,20,31.3,0,0.0,16,51.6,WR,PoweBr00
1206,Jonnu Smith,4,Sun,8,8,2022-10-30,27-069,NWE,@,NYJ,W 22-17,50,64.1,0,0.0,4,14.3,TE,SmitJo01
1207,Tommy Sweeney,7,Thu,1,1,2022-09-08,27-069,BUF,@,LAR,W 31-10,10,16.9,0,0.0,7,36.8,TE,SweeTo00
1208,Trevon Wesco,5,Sun,11,11,2022-11-20,27-069,CHI,@,ATL,L 24-27,16,23.2,0,0.0,5,18.5,TE,WescTr00
1209,Braxton Berrios,14,Sun,13,14,2022-12-11,27-066,NYJ,@,BUF,L 12-20,17,23.0,0,0.0,14,46.7,WR,BerrBr00
1210,Chris Myarick,16,Sun,13,14,2022-12-11,27-066,NYG,,PHI,L 22-48,4,6.3,0,0.0,16,51.6,FB,MyarCh00
1211,Samaje Perine,9,Sun,10,11,2022-11-20,27-065,CIN,@,PIT,W 37-30,46,69.7,0,0.0,9,25.0,RB,PeriSa00
1212,Tyler Conklin,4,Sun,4,4,2022-10-02,27-064,NYJ,@,PIT,W 24-20,57,81.4,0,0.0,4,15.4,TE,ConkTy00
1213,Jonnu Smith,7,Mon,7,7,2022-10-24,27-063,NWE,,CHI,L 14-33,17,32.7,0,0.0,7,28.0,TE,SmitJo01
1214,Dante Pettis,3,Sat,15,16,2022-12-24,27-062,CHI,,BUF,L 13-35,46,73.0,0,0.0,3,12.0,WR,PettDa00
1215,Brandon Powell,16,Sun,9,10,2022-11-13,27-062,LAR,,ARI,L 17-27,5,8.3,0,0.0,16,57.1,WR,PoweBr00
1216,Trevon Wesco,6,Sun,10,10,2022-11-13,27-062,CHI,,DET,L 30-31,15,24.6,0,0.0,6,20.7,TE,WescTr00
1217,Durham Smythe,10,Sun,5,5,2022-10-09,27-061,MIA,@,NYJ,L 17-40,33,49.3,0,0.0,10,34.5,TE,SmytDu00
1218,Matt Sokol,6,Sun,17,18,2023-01-08,27-060,NWE,@,BUF,L 23-35,6,8.8,0,0.0,6,23.1,TE,SokoMa00
1219,Braxton Berrios,18,Sun,12,13,2022-12-04,27-059,NYJ,@,MIN,L 22-27,20,23.5,0,0.0,18,56.3,WR,BerrBr00
1220,Chris Myarick,18,Sun,12,13,2022-12-04,27-059,NYG,,WAS,T 20-20 (OT),8,12.1,0,0.0,18,52.9,FB,MyarCh00
1221,Tyler Conklin,4,Sun,3,3,2022-09-25,27-057,NYJ,,CIN,L 12-27,62,79.5,0,0.0,4,15.4,TE,ConkTy00
1222,Dante Pettis,2,Sun,14,15,2022-12-18,27-056,CHI,,PHI,L 20-25,47,79.7,0,0.0,2,8.0,WR,PettDa00
1223,Richie James,5,Sun,8,8,2022-10-30,27-055,NYG,@,SEA,L 13-27,4,6.2,0,0.0,5,16.7,WR,JameRi00
1224,Brandon Powell,17,Sun,8,9,2022-11-06,27-055,LAR,@,TAM,L 13-16,5,8.8,0,0.0,17,51.5,WR,PoweBr00
1225,Jonnu Smith,2,Sun,6,6,2022-10-16,27-055,NWE,@,CLE,W 38-15,30,42.9,0,0.0,2,6.9,TE,SmitJo01
1226,Trevon Wesco,6,Sun,9,9,2022-11-06,27-055,CHI,,MIA,L 32-35,18,24.3,0,0.0,6,23.1,TE,WescTr00
1227,Matt Sokol,3,Sun,16,17,2023-01-01,27-053,NWE,,MIA,W 23-21,10,16.7,0,0.0,3,11.1,TE,SokoMa00
1228,Braxton Berrios,8,Sun,11,12,2022-11-27,27-052,NYJ,,CHI,W 31-10,16,25.4,0,0.0,8,32.0,WR,BerrBr00
1229,Samaje Perine,16,Sun,9,9,2022-11-06,27-051,CIN,,CAR,W 42-21,27,36.5,0,0.0,16,55.2,RB,PeriSa00
1230,Durham Smythe,14,Thu,4,4,2022-09-29,27-051,MIA,@,CIN,L 15-27,40,62.5,0,0.0,14,50.0,TE,SmytDu00
1231,Tyler Conklin,5,Sun,2,2,2022-09-18,27-050,NYJ,@,CLE,W 31-30,70,100.0,0,0.0,5,16.7,TE,ConkTy00
1232,Chris Myarick,13,Thu,11,12,2022-11-24,27-049,NYG,@,DAL,L 20-28,23,35.9,0,0.0,13,56.5,FB,MyarCh00
1233,Richie James,2,Sun,7,7,2022-10-23,27-048,NYG,@,JAX,W 23-17,7,9.1,0,0.0,2,9.1,WR,JameRi00
1234,Brandon Powell,14,Sun,7,8,2022-10-30,27-048,LAR,,SFO,L 14-31,3,5.2,0,0.0,14,58.3,WR,PoweBr00
1235,Trevon Wesco,8,Sun,8,8,2022-10-30,27-048,CHI,@,DAL,L 29-49,25,31.6,0,0.0,8,27.6,TE,WescTr00
1236,Durham Smythe,12,Sun,3,3,2022-09-25,27-047,MIA,,BUF,W 21-19,32,74.4,0,0.0,12,54.5,TE,SmytDu00
1237,Braxton Berrios,10,Sun,10,11,2022-11-20,27-045,NYJ,@,NWE,L 3-10,6,12.0,0,0.0,10,33.3,WR,BerrBr00
1238,Chris Myarick,12,Sun,10,11,2022-11-20,27-045,NYG,,DET,L 18-31,8,10.5,0,0.0,12,46.2,FB,MyarCh00
1239,Samaje Perine,13,Mon,8,8,2022-10-31,27-045,CIN,@,CLE,L 13-32,13,24.5,0,0.0,13,56.5,RB,PeriSa00
1240,Tyler Conklin,3,Sun,1,1,2022-09-11,27-043,NYJ,,BAL,L 9-24,77,91.7,0,0.0,3,11.1,TE,ConkTy00
1241,Dante Pettis,3,Sun,13,13,2022-12-04,27-042,CHI,,GNB,L 19-28,34,65.4,0,0.0,3,12.5,WR,PettDa00
1242,Trevon Wesco,3,Mon,7,7,2022-10-24,27-042,CHI,@,NWE,W 33-14,20,28.2,0,0.0,3,12.0,TE,WescTr00
1243,Cedrick Wilson Jr.,5,Sun,16,17,2023-01-01,27-042,MIA,@,NWE,L 21-23,11,15.5,0,0.0,5,18.5,WR,WilsCe01
1244,Richie James,2,Sun,6,6,2022-10-16,27-041,NYG,,BAL,W 24-20,22,33.8,0,0.0,2,7.7,WR,JameRi00
1245,Jonnu Smith,2,Sun,4,4,2022-10-02,27-041,NWE,@,GNB,L 24-27 (OT),17,29.3,0,0.0,2,6.3,TE,SmitJo01
1246,Durham Smythe,16,Sun,2,2,2022-09-18,27-040,MIA,@,BAL,W 42-38,35,49.3,0,0.0,16,53.3,TE,SmytDu00
1247,Kendrick Bourne,1,Sun,1,1,2022-09-11,27-038,NWE,@,MIA,L 7-20,2,3.5,0,0.0,1,5.3,WR,BourKe00
1248,Chris Myarick,16,Sun,9,10,2022-11-13,27-038,NYG,,HOU,W 24-16,16,23.2,0,0.0,16,53.3,FB,MyarCh00
1249,Samaje Perine,13,Sun,7,7,2022-10-23,27-037,CIN,,ATL,W 35-17,20,29.4,0,0.0,13,52.0,RB,PeriSa00
1250,Dante Pettis,2,Sun,12,12,2022-11-27,27-035,CHI,@,NYJ,L 10-31,23,40.4,0,0.0,2,8.0,WR,PettDa00
1251,Cedrick Wilson Jr.,2,Sun,15,16,2022-12-25,27-035,MIA,,GNB,L 20-26,13,26.0,0,0.0,2,7.7,WR,WilsCe01
1252,Richie James,3,Sun,5,5,2022-10-09,27-034,NYG,@,GNB,W 27-22,33,54.1,0,0.0,3,11.5,WR,JameRi00
1253,Brandon Powell,12,Sun,6,6,2022-10-16,27-034,LAR,,CAR,W 24-10,25,38.5,0,0.0,12,46.2,WR,PoweBr00
1254,Jonnu Smith,7,Sun,3,3,2022-09-25,27-034,NWE,,BAL,L 26-37,32,48.5,0,0.0,7,25.9,TE,SmitJo01
1255,Durham Smythe,14,Sun,1,1,2022-09-11,27-033,MIA,,NWE,W 20-7,38,63.3,0,0.0,14,73.7,TE,SmytDu00
1256,Braxton Berrios,6,Sun,9,9,2022-11-06,27-031,NYJ,,BUF,W 20-17,21,35.0,0,0.0,6,26.1,WR,BerrBr00
1257,Trevon Wesco,4,Thu,6,6,2022-10-13,27-031,CHI,,WAS,L 7-12,16,22.2,0,0.0,4,20.0,TE,WescTr00
1258,Samaje Perine,18,Sun,6,6,2022-10-16,27-030,CIN,@,NOR,W 30-26,14,24.6,0,0.0,18,62.1,RB,PeriSa00
1259,Dante Pettis,3,Sun,11,11,2022-11-20,27-028,CHI,@,ATL,L 24-27,18,26.1,0,0.0,3,11.1,WR,PettDa00
1260,Richie James,5,Sun,4,4,2022-10-02,27-027,NYG,,CHI,W 20-12,21,32.3,0,0.0,5,16.7,WR,JameRi00
1261,Brandon Powell,17,Sun,5,5,2022-10-09,27-027,LAR,,DAL,L 10-22,11,16.9,0,0.0,17,56.7,WR,PoweBr00
1262,Jonnu Smith,4,Sun,2,2,2022-09-18,27-027,NWE,@,PIT,W 17-14,39,57.4,0,0.0,4,18.2,TE,SmitJo01
1263,Trevon Wesco,5,Sun,5,5,2022-10-09,27-027,CHI,@,MIN,L 22-29,2,4.0,0,0.0,5,21.7,TE,WescTr00
1264,Cedrick Wilson Jr.,5,Sat,14,15,2022-12-17,27-027,MIA,@,BUF,L 29-32,13,22.0,0,0.0,5,16.7,WR,WilsCe01
1265,Braxton Berrios,10,Sun,8,8,2022-10-30,27-024,NYJ,,NWE,L 17-22,30,50.8,0,0.0,10,35.7,WR,BerrBr00
1266,Chris Myarick,15,Sun,8,8,2022-10-30,27-024,NYG,@,SEA,L 13-27,30,46.2,0,0.0,15,50.0,FB,MyarCh00
1267,Samaje Perine,15,Sun,5,5,2022-10-09,27-023,CIN,@,BAL,L 17-19,19,30.2,0,0.0,15,65.2,RB,PeriSa00
1268,Richie James,4,Mon,3,3,2022-09-26,27-021,NYG,,DAL,L 16-23,53,73.6,0,0.0,4,13.8,WR,JameRi00
