rk,player,st_percent_3,day,g_number,week,date,age,team,x10,opp,result,off_snp,off_percent,def_snp,def_percent,st_snp,st_percent_18,pos,x9999
4,Marcedes Lewis,11.1,Mon,14,15,2024-12-16,40-211,CHI,@,MIN,L 12-30,17,25.4,0,0,3,11.1,TE,LewiMa00
31,Cordarrelle Patterson,24,Sun,14,15,2024-12-15,33-273,PIT,@,PHI,L 13-27,6,14,0,0,6,24,RB,PattCo00
48,Michael Burton,70,Sun,14,15,2024-12-15,32-318,DEN,NA,IND,W 31-13,7,11.1,0,0,21,70,FB,BurtMi00
68,Raheem Mostert,16,Sun,14,15,2024-12-15,32-250,MIA,@,HOU,L 12-20,26,38.2,0,0,4,16,RB,MostRa00
69,Chris Manhertz,38.1,Sun,14,15,2024-12-15,32-249,NYG,NA,BAL,L 14-35,27,39.7,0,0,8,38.1,TE,ManhCh00
70,Robert Woods,16,Sun,14,15,2024-12-15,32-249,HOU,NA,MIA,W 20-12,24,48,0,0,4,16,WR,WoodRo02
75,Jordan Akins,3.8,Sun,14,15,2024-12-15,32-240,CLE,NA,KAN,L 7-21,33,53.2,0,0,1,3.8,TE,AkinJo00
135,Chris Conley,74.1,Thu,14,15,2024-12-12,32-048,SFO,NA,LAR,L 6-12,3,5.6,0,0,20,74.1,WR,ConlCh00
147,C.J. Uzomah,20,Sun,14,15,2024-12-15,31-336,PHI,NA,PIT,W 27-13,26,32.5,0,0,5,20,TE,UzomC.00
157,Nick Vannett,45.5,Sun,14,15,2024-12-15,31-284,TEN,NA,CIN,L 27-37,26,37.1,0,0,10,45.5,TE,VannNi00
182,Ameer Abdullah,52,Mon,14,15,2024-12-16,31-186,LVR,NA,ATL,L 9-15,31,46.3,0,0,13,52,RB,AbduAm00
185,Jamison Crowder,16,Sun,14,15,2024-12-15,31-181,WAS,@,NOR,W 20-19,21,26.9,0,0,4,16,WR,CrowJa00
198,C.J. Ham,66.7,Mon,14,15,2024-12-16,31-147,MIN,NA,CHI,W 30-12,16,20.8,0,0,18,66.7,FB,HamxC.00
221,Mack Hollins,44.4,Sun,14,15,2024-12-15,31-090,BUF,@,DET,W 48-42,35,50,0,0,16,44.4,WR,HollMa00
223,Mo Alie-Cox,20,Sun,14,15,2024-12-15,31-087,IND,@,DEN,L 13-31,23,30.3,0,0,6,20,TE,AlieMo00
275,Pharaoh Brown,65.5,Sun,14,15,2024-12-15,30-225,SEA,NA,GNB,L 13-30,10,16.9,0,0,19,65.5,TE,BrowPh01
276,Dare Ogunbowale,52,Sun,14,15,2024-12-15,30-225,HOU,NA,MIA,W 20-12,11,22,0,0,13,52,RB,OgunDa00
277,Eric Saubert,81.5,Thu,14,15,2024-12-12,30-225,SFO,NA,LAR,L 6-12,17,31.5,0,0,22,81.5,TE,SaubEr00
337,Austin Hooper,16,Sun,14,15,2024-12-15,30-047,NWE,@,ARI,L 17-30,31,60.8,0,0,4,16,TE,HoopAu00
344,Tanner Hudson,86.4,Sun,14,15,2024-12-15,30-033,CIN,@,TEN,W 37-27,5,7.2,0,0,19,86.4,TE,HudsTa00
351,Johnny Mundt,37,Mon,14,15,2024-12-16,30-023,MIN,NA,CHI,W 30-12,20,26,0,0,10,37,TE,MundJo00
368,Zach Pascal,60,Sun,14,15,2024-12-15,29-363,ARI,NA,NWE,W 30-17,3,4.3,0,0,15,60,WR,PascZa00
381,KhaDarel Hodge,32,Mon,14,15,2024-12-16,29-348,ATL,@,LVR,W 15-9,5,8.6,0,0,8,32,WR,HodgKh00
394,David Moore,12,Sun,14,15,2024-12-15,29-335,CAR,NA,DAL,L 14-30,32,58.2,0,0,3,12,WR,MoorDa03
402,Ross Dwelley,16,Mon,14,15,2024-12-16,29-325,ATL,@,LVR,W 15-9,29,50,0,0,4,16,TE,DwelRo00
421,Anthony Firkser,7.7,Sun,14,15,2024-12-15,29-300,KAN,@,CLE,W 21-7,9,12,0,0,2,7.7,TE,FirkAn00
457,Jamaal Williams,36,Sun,14,15,2024-12-15,29-256,NOR,NA,WAS,L 19-20,6,10.9,0,0,9,36,RB,WillJa06
488,Mike Boone,20,Sun,14,15,2024-12-15,29-168,CAR,NA,DAL,L 14-30,3,5.5,0,0,5,20,RB,BoonMi00
501,Durham Smythe,28,Sun,14,15,2024-12-15,29-128,MIA,@,HOU,L 12-20,16,23.5,0,0,7,28,TE,SmytDu00
518,Brandon Powell,18.5,Mon,14,15,2024-12-16,29-095,MIN,NA,CHI,W 30-12,7,9.1,0,0,5,18.5,WR,PoweBr00
521,Samaje Perine,50,Sun,14,15,2024-12-15,29-090,KAN,@,CLE,W 21-7,19,25.3,0,0,13,50,RB,PeriSa00
546,Dante Pettis,12,Sun,14,15,2024-12-15,29-053,NOR,NA,WAS,L 19-20,26,47.3,0,0,3,12,WR,PettDa00
570,Cedrick Wilson Jr.,36,Sun,14,15,2024-12-15,29-025,NOR,NA,WAS,L 19-20,20,36.4,0,0,9,36,WR,WilsCe01
598,Jeremy McNichols,16,Sun,14,15,2024-12-15,28-355,WAS,@,NOR,W 20-19,22,28.2,0,0,4,16,RB,McNiJe00
610,Deebo Samuel,18.5,Thu,14,15,2024-12-12,28-332,SFO,NA,LAR,L 6-12,42,77.8,0,0,5,18.5,WR,SamuDe00
636,Trent Sherfield,66.7,Mon,14,15,2024-12-16,28-295,MIN,NA,CHI,W 30-12,12,15.6,0,0,18,66.7,WR,SherTr00
658,Justin Watson,23.1,Sun,14,15,2024-12-15,28-255,KAN,@,CLE,W 21-7,42,56,0,0,6,23.1,WR,WatsJu01
665,Drew Sample,50,Sun,14,15,2024-12-15,28-243,CIN,@,TEN,W 37-27,47,68.1,0,0,11,50,TE,SampDr00
702,Craig Reynolds,55.6,Sun,14,15,2024-12-15,28-183,DET,NA,BUF,L 42-48,0,0,0,0,20,55.6,RB,ReynCr00
714,Khari Blasingame,60,Sun,14,15,2024-12-15,28-167,PHI,NA,PIT,W 27-13,0,0,0,0,15,60,FB,BlasKh00
724,Alec Ingold,12,Sun,14,15,2024-12-15,28-159,MIA,@,HOU,L 12-20,16,23.5,0,0,3,12,FB,IngoAl01
728,Dalton Schultz,8,Sun,14,15,2024-12-15,28-157,HOU,NA,MIA,W 20-12,47,94,0,0,2,8,TE,SchuDa00
752,KaVontae Turpin,28,Sun,14,15,2024-12-15,28-135,DAL,@,CAR,W 30-14,14,19.2,0,0,7,28,WR,TurpKa00
776,Jamycal Hasty,32,Sun,14,15,2024-12-15,28-094,NWE,@,ARI,L 17-30,2,3.9,0,0,8,32,RB,HastJa02
783,James Proche,34.6,Sun,14,15,2024-12-15,28-085,CLE,NA,KAN,L 7-21,2,3.2,0,0,9,34.6,WR,ProcJa00
799,Ray-Ray McCloud,16,Mon,14,15,2024-12-16,28-062,ATL,@,LVR,W 15-9,24,41.4,0,0,4,16,WR,McClRa00
