Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Zach Wilson,NYJ,94.1,52.6,472.5,0.8,5.2,5.4,13.4,0.2,0.5,18.4
Stetson Bennett,LAR,69.1,42.8,355.5,1.1,1.7,8.8,18.2,0.1,0.5,18.3
C.J. Beathard,JAC,53.8,31.3,330.2,1.5,2.9,11.3,19.6,0.1,0.5,17.8
Easton Stick,LAC,60.3,35.4,327.2,1.6,3.5,14.8,20,0.2,0.7,17.7
Drew Lock,SEA,50.8,27.8,317.9,1.6,2.7,5.5,16.1,0.1,0.5,17.5
P.J. Walker,CHI,70.3,37.4,334.6,1.4,3.2,8.2,18.7,0.1,0.4,17.5
Cooper Rush,DAL,38.3,24.3,290.9,1.5,1.3,2.5,5,0,0.1,16.8
Kyle Allen,BUF,61.1,37.9,409.6,1.2,5.2,10.3,25.6,0.2,2.3,15
Aidan O'Connell,LV,74.2,44.1,330.4,0.5,2.2,11.9,18.8,0.1,0.6,14.6
David Blough,ARI,73,44,269.1,1.2,2,4,7.3,0,0,14.5
Dorian Thompson-Robinson,CLE,42.2,25.6,254.7,0.8,2,8.4,21.9,0.1,0.6,13.3
Malik Willis,TEN,79.6,46,313.1,0.5,3.4,16.1,22,0,0.6,12.3
Jeff Driskel,ARI,68.8,40.2,366.8,0,5,18.4,37.1,0.2,1.4,11.8
Max Duggan,LAC,21,14,144,1,0,1,3,0,0,10.1
Jaren Hall,MIN,20,13,142,1,0,1,3,0,0,10
Tanner McKee,PHI,16,10,120,1,0,1,6,0,0,9.4
Jake Haener,NO,15,10,118,1,0,1,4,0,0,9.1
Skylar Thompson,MIA,90.7,51.5,243.7,0.7,4,26.5,20.4,0,0.9,9.1
Matt Barkley,BUF,0,0,178.4,0.5,1.3,0,0,0.1,0.1,8.4
Case Keenum,HOU,119.6,59.1,225.4,0.3,1.3,10,0.6,0,0.8,7.3
Matt Corral,CAR,68.8,40.2,197.3,0.1,2.6,18.4,19.2,0.1,0.7,6.9
Mason Rudolph,PIT,31,21.3,74.6,0.5,0.9,17,12.3,0,0,5.5
Sam Ehlinger,IND,20.8,11.6,100.1,1.5,7.1,30.3,44.5,0,1.6,4.2
Shane Buechele,KC,0,0,34,0.1,0.2,0,0.2,0,0,1.7
Nate Sudfeld,DET,0,0,26.3,0.1,0.1,0,1.7,0,0,1.5
Tommy DeVito,NYG,0,0,23.1,0.1,0.1,0,0.1,0,0,1.3
Will Grier,DAL,0,0,9.4,0,0.1,0,0,0,0,0.4
Josh Johnson,BAL,0,0,0,0,0,0,0,0,0,0
