player,team,pos
Aaron Rodgers,NYJ,QB
Marcedes Lewis,CHI,TE
Matthew Stafford,LAR,QB
Kirk Cousins,ATL,QB
Russell Wilson,PIT,QB
Travis Kelce,KC,TE
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,WAS,TE
Cordarrelle Patterson,PIT,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Michael Burton,DEN,RB
Raheem Mostert,MIA,RB
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Keenan Allen,CHI,WR
DeAndre Hopkins,KC,WR
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Odell Beckham,MIA,WR
Davante Adams,NYJ,WR
C J Uzomah,PHI,TE
Nick Vannett,TEN,TE
DeAndre Carter,CHI,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
C J Ham,MIN,RB
Allen Robinson,DET,WR
Mack Hollins,BUF,WR
Geoff Swaim,CLE,TE
Mo Alie Cox,IND,TE
Cooper Rush,DAL,QB
Tim Patrick,DET,WR
Derrick Henry,BAL,RB
Jameis Winston,CLE,QB
Tyreek Hill,MIA,WR
Eric Saubert,SF,TE
Dare Ogunbowale,HOU,RB
Pharaoh Brown,SEA,TE
Patrick Ricard,BAL,RB
Amari Cooper,BUF,WR
Gerald Everett,CHI,TE
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Demarcus Robinson,LAR,WR
Mike Williams,PIT,WR
Marquez Valdes Scantling,NO,WR
Jared Goff,DET,QB
Austin Hooper,NE,TE
River Cracraft,MIA,WR
Tanner Hudson,CIN,TE
Tyler Boyd,TEN,WR
Johnny Mundt,MIN,TE
Aaron Jones,MIN,RB
Hunter Henry,NE,TE
Calvin Ridley,TEN,WR
KhaDarel Hodge,ATL,WR
Dallas Goedert,PHI,TE
Ross Dwelley,ATL,TE
Gus Edwards,LAC,RB
Austin Ekeler,WAS,RB
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,KC,RB
Durham Smythe,MIA,TE
Jonnu Smith,MIA,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Samaje Perine,KC,RB
Patrick Mahomes,KC,QB
Terry McLaurin,WAS,WR
Mike Gesicki,CIN,TE
Courtland Sutton,DEN,WR
Dante Pettis,NO,WR
Cedrick Wilson,NO,WR
Trenton Irwin,CIN,WR
Nick Chubb,CLE,RB
Jeremy McNichols,WAS,RB
Noah Brown,WAS,WR
Deebo Samuel,SF,WR
Trent Sherfield,MIN,WR
D Ernest Johnson,JAC,RB
Justin Watson,KC,WR
Drew Sample,CIN,TE
Gardner Minshew,LV,QB
Josh Allen,BUF,QB
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Diontae Johnson,BAL,WR
Will Dissly,LAC,TE
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,HOU,RB
Van Jefferson,PIT,WR
KaVontae Turpin,DAL,WR
Jarrett Stidham,DEN,QB
Curtis Samuel,BUF,WR
Jamycal Hasty,NE,RB
Juwan Johnson,NO,TE
Ray Ray McCloud,ATL,WR
Jakobi Meyers,LV,WR
Dawson Knox,BUF,TE
Shane Zylstra,DET,TE
Tyler Mabry,SEA,TE
JuJu Smith Schuster,KC,WR
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,PHI,RB
Josiah Deguara,JAC,TE
Josh Oliver,MIN,TE
Nick Westbrook Ikhine,TEN,WR
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,TEN,RB
Foster Moreau,NO,TE
Ashton Dulin,IND,WR
Sam Darnold,MIN,QB
David Montgomery,DET,RB
Ben Skowronek,PIT,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Olamide Zaccheaus,WAS,WR
Scott Miller,PIT,WR
Reggie Gilliam,BUF,RB
Devin Duvernay,JAC,WR
Ty Johnson,BUF,RB
Xavier Smith,LAR,WR
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Trayveon Williams,CIN,RB
Darnell Mooney,ATL,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Devaughn Vele,DEN,WR
D K Metcalf,SEA,WR
Hendon Hooker,DET,QB
Jack Stoll,MIA,TE
Josh Jacobs,GB,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Kylen Granson,IND,TE
Lil Jordan Humphrey,DEN,WR
Khalil Herbert,CIN,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Rico Dowdle,DAL,RB
Alexander Mattison,LV,RB
Antonio Gibson,NE,RB
Lucas Krull,DEN,TE
Jalen Virgil,BUF,WR
Zach Davidson,BUF,TE
Avery Williams,ATL,RB
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Travis Homer,CHI,RB
Jalen Hurts,PHI,QB
Hunter Long,LAR,TE
Tyler Johnson,LAR,WR
Mac Jones,JAC,QB
Luke Schoonmaker,DAL,TE
Stone Smartt,LAC,TE
Laviska Shenault,SEA,WR
Pat Freiermuth,PIT,TE
Kenny Yeboah,NYJ,TE
Jaylen Warren,PIT,RB
Jordan Love,GB,QB
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Brock Wright,DET,TE
Cody White,SEA,WR
Grant Calcaterra,PHI,TE
Pierre Strong,CLE,RB
J K Dobbins,LAC,RB
Jalen Reagor,LAC,WR
Colby Parkinson,LAR,TE
D Andre Swift,CHI,RB
Jake Ferguson,DAL,TE
Tee Higgins,CIN,WR
Tucker Fisk,LAC,TE
