player,team,pos
Aaron Rodgers,NYJ,QB
Marcedes Lewis,CHI,TE
Joe Flacco,IND,QB
Andy Dalton,CAR,QB
Matthew Stafford,LAR,QB
Kirk Cousins,ATL,QB
Travis Kelce,KC,TE
Geno Smith,SEA,QB
Zach Ertz,WAS,TE
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Michael Burton,DEN,RB
Raheem Mostert,MIA,RB
Chris Manhertz,NYG,TE
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Keenan Allen,CHI,WR
Tyler Lockett,SEA,WR
Odell Beckham,MIA,WR
Jacoby Brissett,NE,QB
Sterling Shepard,TB,WR
DeAndre Carter,CHI,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Chris Moore,ARI,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Mack Hollins,BUF,WR
Geoff Swaim,CLE,TE
Mo Alie Cox,IND,TE
George Kittle,SF,TE
Marcus Mariota,WAS,QB
Stefon Diggs,HOU,WR
Derrick Henry,BAL,RB
Jameis Winston,CLE,QB
Tyreek Hill,MIA,WR
Trent Taylor,SF,WR
Robert Tonyan,MIN,TE
Eric Saubert,SF,TE
Pharaoh Brown,SEA,TE
Dare Ogunbowale,HOU,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,CHI,TE
Mitchell Trubisky,BUF,QB
Demarcus Robinson,LAR,WR
Mike Williams,NYJ,WR
Marquez Valdes Scantling,BUF,WR
Austin Hooper,NE,TE
Johnny Mundt,MIN,TE
Aaron Jones,MIN,RB
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
KhaDarel Hodge,ATL,WR
David Moore,CAR,WR
Ross Dwelley,ATL,TE
Josh Reynolds,DEN,WR
Nick Mullens,MIN,QB
Jamaal Williams,NO,RB
Baker Mayfield,TB,QB
James Conner,ARI,RB
Austin Ekeler,WAS,RB
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,KC,RB
Durham Smythe,MIA,TE
Jonnu Smith,MIA,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Deshaun Watson,CLE,QB
Terry McLaurin,WAS,WR
Samaje Perine,KC,RB
Patrick Mahomes,KC,QB
Mike Gesicki,CIN,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Cedrick Wilson,NO,WR
Jody Fortson,KC,TE
Allen Lazard,NYJ,WR
Jeremy McNichols,WAS,RB
Cody Thompson,TB,WR
Deebo Samuel,SF,WR
Trent Sherfield,MIN,WR
D Ernest Johnson,JAC,RB
Chris Godwin,TB,WR
Kyle Allen,PIT,QB
Justin Watson,KC,WR
Drew Sample,CIN,TE
D Onta Foreman,CLE,RB
Andrew Beck,GB,RB
Gardner Minshew,LV,QB
Josh Allen,BUF,QB
Alex Bachman,LV,WR
Diontae Johnson,CAR,WR
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Van Jefferson,PIT,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,BUF,WR
Jamycal Hasty,NE,RB
Juwan Johnson,NO,TE
James Proche,CLE,WR
Ray Ray McCloud,ATL,WR
Jakobi Meyers,LV,WR
Dawson Knox,BUF,TE
Christian Kirk,JAC,WR
JuJu Smith Schuster,KC,WR
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Josiah Deguara,JAC,TE
Myles Gaskin,MIN,RB
Josh Oliver,MIN,TE
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Ashton Dulin,IND,WR
Daniel Jones,NYG,QB
Sam Darnold,MIN,QB
Jauan Jennings,SF,WR
Olamide Zaccheaus,WAS,WR
Scott Miller,PIT,WR
Kyler Murray,ARI,QB
Reggie Gilliam,BUF,RB
Devin Duvernay,JAC,WR
Ty Johnson,BUF,RB
Xavier Smith,LAR,WR
Jonathan Ward,PIT,RB
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Trayveon Williams,CIN,RB
Charlie Woerner,ATL,TE
Darnell Mooney,ATL,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
D K Metcalf,SEA,WR
Zack Moss,CIN,RB
Feleipe Franks,CAR,TE
J J Taylor,HOU,RB
Ko Kieft,TB,TE
Tyler Huntley,MIA,QB
Josh Jacobs,GB,RB
Rhamondre Stevenson,NE,RB
Najee Harris,PIT,RB
Mecole Hardman,KC,WR
Brandon Aiyuk,SF,WR
Tanner Conner,MIA,TE
Kylen Granson,IND,TE
Rodney Williams,PIT,TE
Lil Jordan Humphrey,DEN,WR
Khalil Herbert,CHI,RB
Harrison Bryant,LV,TE
Patrick Taylor,SF,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Rico Dowdle,DAL,RB
Alexander Mattison,LV,RB
Antonio Gibson,NE,RB
Lucas Krull,DEN,TE
Avery Williams,ATL,RB
Brandon Johnson,PIT,WR
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Hunter Long,LAR,TE
Tyler Johnson,LAR,WR
Rashid Shaheed,NO,WR
Brady Russell,SEA,TE
Aidan O Connell,LV,QB
John Samuel Shenker,LV,TE
DeeJay Dallas,ARI,RB
Luke Schoonmaker,DAL,TE
Laviska Shenault,SEA,WR
Isaiah Hodgins,NYG,WR
Pat Freiermuth,PIT,TE
Charlie Jones,CIN,WR
Jordan Love,GB,QB
Jaylen Waddle,MIA,WR
Pierre Strong,CLE,RB
Colby Parkinson,LAR,TE
D Andre Swift,CHI,RB
Rachaad White,TB,RB
