player,team,pos
Aaron Rodgers,NYJ,QB
Marcedes Lewis,CHI,TE
Matthew Stafford,LAR,QB
Kirk Cousins,ATL,QB
Russell Wilson,PIT,QB
Travis Kelce,KC,TE
Adam Thielen,CAR,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,WAS,TE
Cordarrelle Patterson,PIT,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Michael Burton,DEN,RB
MyCole Pruitt,PIT,TE
Robert Woods,HOU,WR
Raheem Mostert,MIA,RB
Chris Manhertz,NYG,TE
Jordan Akins,CLE,TE
Keenan Allen,CHI,WR
DeAndre Hopkins,KC,WR
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Odell Beckham,MIA,WR
Jacoby Brissett,NE,QB
Davante Adams,NYJ,WR
C J Uzomah,PHI,TE
Sterling Shepard,TB,WR
Nick Vannett,TEN,TE
DeAndre Carter,CHI,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
C J Ham,MIN,RB
Mike Evans,TB,WR
Allen Robinson,DET,WR
Mack Hollins,BUF,WR
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
Cooper Rush,DAL,QB
Tim Patrick,DET,WR
Derrick Henry,BAL,RB
Jameis Winston,CLE,QB
Tyreek Hill,MIA,WR
Eric Saubert,SF,TE
Pharaoh Brown,SEA,TE
Dare Ogunbowale,HOU,RB
Patrick Ricard,BAL,RB
Amari Cooper,BUF,WR
Gerald Everett,CHI,TE
Mitchell Trubisky,BUF,QB
Evan Engram,JAC,TE
Demarcus Robinson,LAR,WR
Mike Williams,PIT,WR
Marquez Valdes Scantling,NO,WR
Jared Goff,DET,QB
Austin Hooper,NE,TE
River Cracraft,MIA,WR
Tanner Hudson,CIN,TE
Tyler Boyd,TEN,WR
Johnny Mundt,MIN,TE
Aaron Jones,MIN,RB
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
Calvin Ridley,TEN,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
David Moore,CAR,WR
Ross Dwelley,ATL,TE
Anthony Firkser,KC,TE
Zay Jones,ARI,WR
Jamaal Williams,NO,RB
Gus Edwards,LAC,RB
Baker Mayfield,TB,QB
James Conner,ARI,RB
Laquon Treadwell,IND,WR
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,KC,RB
Durham Smythe,MIA,TE
Jonnu Smith,MIA,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Terry McLaurin,WAS,WR
Samaje Perine,KC,RB
Patrick Mahomes,KC,QB
Mike Gesicki,CIN,TE
Courtland Sutton,DEN,WR
Dante Pettis,NO,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,NO,WR
Nick Chubb,CLE,RB
Jeremy McNichols,WAS,RB
Noah Brown,WAS,WR
Deebo Samuel,SF,WR
Trent Sherfield,MIN,WR
Justin Watson,KC,WR
Drew Sample,CIN,TE
Josh Allen,BUF,QB
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Will Dissly,LAC,TE
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Alec Ingold,MIA,RB
Joe Mixon,HOU,RB
Van Jefferson,PIT,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,BUF,WR
Jamycal Hasty,NE,RB
Juwan Johnson,NO,TE
D J Chark,LAC,WR
Ray Ray McCloud,ATL,WR
Jakobi Meyers,LV,WR
Drew Lock,NYG,QB
Dawson Knox,BUF,TE
Shane Zylstra,DET,TE
JuJu Smith Schuster,KC,WR
Stephen Sullivan,CAR,TE
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Maurice Alexander,DET,WR
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,PHI,RB
Josiah Deguara,JAC,TE
Dan Chisena,CAR,WR
Britain Covey,PHI,WR
Nick Westbrook Ikhine,TEN,WR
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,TEN,RB
Foster Moreau,NO,TE
Sam Darnold,MIN,QB
David Montgomery,DET,RB
Ben Skowronek,PIT,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Parris Campbell,PHI,WR
Olamide Zaccheaus,WAS,WR
Kyler Murray,ARI,QB
Reggie Gilliam,BUF,RB
Devin Singletary,NYG,RB
Devin Duvernay,JAC,WR
Ty Johnson,BUF,RB
Xavier Smith,LAR,WR
Collin Johnson,CHI,WR
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Charlie Woerner,ATL,TE
Trayveon Williams,CIN,RB
Darnell Mooney,ATL,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Devaughn Vele,DEN,WR
D K Metcalf,SEA,WR
Feleipe Franks,CAR,TE
Ko Kieft,TB,TE
Kene Nwangwu,NYJ,RB
Josh Jacobs,GB,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Kyle Trask,TB,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Kylen Granson,IND,TE
Lil Jordan Humphrey,DEN,WR
Khalil Herbert,CIN,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Rico Dowdle,DAL,RB
Antonio Gibson,NE,RB
Lucas Krull,DEN,TE
Jalen Virgil,BUF,WR
Avery Williams,ATL,RB
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Jalen Hurts,PHI,QB
Irv Smith,HOU,TE
Travis Homer,CHI,RB
Hunter Long,LAR,TE
Tyler Johnson,LAR,WR
