player,team,pos
Aaron Rodgers,NYJ,QB
Marcedes Lewis,CHI,TE
Joe Flacco,IND,QB
Matthew Stafford,LAR,QB
Kirk Cousins,ATL,QB
Russell Wilson,PIT,QB
Travis Kelce,KC,TE
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,WAS,TE
Kyle Juszczyk,SF,RB
Michael Burton,DEN,RB
MyCole Pruitt,PIT,TE
Chris Manhertz,NYG,TE
Raheem Mostert,MIA,RB
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Eric Tomlinson,LAC,TE
Keenan Allen,CHI,WR
DeAndre Hopkins,KC,WR
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Odell Beckham,MIA,WR
Jacoby Brissett,NE,QB
Davante Adams,NYJ,WR
Sterling Shepard,TB,WR
Nick Vannett,TEN,TE
DeAndre Carter,CHI,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Allen Robinson,DET,WR
Mack Hollins,BUF,WR
Geoff Swaim,CLE,TE
Mo Alie Cox,IND,TE
George Kittle,SF,TE
Tim Patrick,DET,WR
Stefon Diggs,HOU,WR
Derrick Henry,BAL,RB
Jameis Winston,CLE,QB
Tyreek Hill,MIA,WR
Eric Saubert,SF,TE
Robert Tonyan,MIN,TE
Pharaoh Brown,SEA,TE
Dare Ogunbowale,HOU,RB
Patrick Ricard,BAL,RB
Amari Cooper,BUF,WR
Gerald Everett,CHI,TE
Kalif Raymond,DET,WR
Mitchell Trubisky,BUF,QB
Evan Engram,JAC,TE
Demarcus Robinson,LAR,WR
Mike Williams,NYJ,WR
Jared Goff,DET,QB
Austin Hooper,NE,TE
Tanner Hudson,CIN,TE
Tyler Boyd,TEN,WR
Johnny Mundt,MIN,TE
Aaron Jones,MIN,RB
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
Calvin Ridley,TEN,WR
KhaDarel Hodge,ATL,WR
David Moore,CAR,WR
Ross Dwelley,ATL,TE
Anthony Firkser,NYJ,TE
Zay Jones,ARI,WR
Jamaal Williams,NO,RB
Baker Mayfield,TB,QB
James Conner,ARI,RB
Austin Ekeler,WAS,RB
Mason Rudolph,TEN,QB
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,KC,RB
Durham Smythe,MIA,TE
Dalvin Cook,DAL,RB
Jonnu Smith,MIA,TE
Mark Andrews,BAL,TE
Terry McLaurin,WAS,WR
Brandon Powell,MIN,WR
Samaje Perine,KC,RB
Patrick Mahomes,KC,QB
Mike Gesicki,CIN,TE
Courtland Sutton,DEN,WR
Jody Fortson,KC,TE
Trenton Irwin,CIN,WR
Jeremy McNichols,WAS,RB
Nick Chubb,CLE,RB
Noah Brown,WAS,WR
Deebo Samuel,SF,WR
D Ernest Johnson,JAC,RB
Trent Sherfield,MIN,WR
Justin Watson,KC,WR
Jake Browning,CIN,QB
Drew Sample,CIN,TE
D Onta Foreman,CLE,RB
Gardner Minshew,LV,QB
Josh Allen,BUF,QB
Alex Bachman,LV,WR
Ian Thomas,CAR,TE
Craig Reynolds,DET,RB
Will Dissly,LAC,TE
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,HOU,RB
Van Jefferson,PIT,WR
KaVontae Turpin,DAL,WR
Jamycal Hasty,NE,RB
Juwan Johnson,NO,TE
Equanimeous St Brown,NO,WR
Ray Ray McCloud,ATL,WR
Jakobi Meyers,LV,WR
Dawson Knox,BUF,TE
Shane Zylstra,DET,TE
Christian Kirk,JAC,WR
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,PHI,RB
Josiah Deguara,JAC,TE
Nick Westbrook Ikhine,TEN,WR
D Wayne Eskridge,MIA,WR
Josh Oliver,MIN,TE
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,TEN,RB
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Ashton Dulin,IND,WR
Daniel Jones,NYG,QB
David Montgomery,DET,RB
Sam Darnold,MIN,QB
K J Osborn,NE,WR
A J Brown,PHI,WR
Olamide Zaccheaus,WAS,WR
Scott Miller,PIT,WR
Kyler Murray,ARI,QB
Reggie Gilliam,BUF,RB
Devin Singletary,NYG,RB
Ty Johnson,BUF,RB
Xavier Smith,LAR,WR
Jonathan Ward,PIT,RB
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Charlie Woerner,ATL,TE
Trayveon Williams,CIN,RB
Darnell Mooney,ATL,WR
Simi Fehoko,LAC,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Devaughn Vele,DEN,WR
Zack Moss,CIN,RB
Feleipe Franks,CAR,TE
Hendon Hooker,DET,QB
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
Josh Jacobs,GB,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Kylen Granson,IND,TE
Rodney Williams,PIT,TE
Lil Jordan Humphrey,DEN,WR
Patrick Taylor,SF,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Alexander Mattison,LV,RB
Antonio Gibson,NE,RB
Lucas Krull,DEN,TE
Jalen Virgil,BUF,WR
Avery Williams,ATL,RB
Brandon Johnson,PIT,WR
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Travis Homer,CHI,RB
Jalen Hurts,PHI,QB
Hunter Long,LAR,TE
Tyler Johnson,LAR,WR
