player,team,pos
Aaron Rodgers,NYJ,QB
Marcedes Lewis,CHI,TE
Josh Johnson,BAL,QB
Matthew Stafford,LAR,QB
Kirk Cousins,ATL,QB
Russell Wilson,PIT,QB
Travis Kelce,KC,TE
Adam Thielen,CAR,WR
Geno Smith,SEA,QB
Zach Ertz,WAS,TE
Cordarrelle Patterson,PIT,RB
Kyle Juszczyk,SF,RB
Michael Burton,DEN,RB
MyCole Pruitt,PIT,TE
Raheem Mostert,MIA,RB
Chris Manhertz,NYG,TE
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Eric Tomlinson,LAC,TE
Keenan Allen,CHI,WR
DeAndre Hopkins,KC,WR
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Davante Adams,NYJ,WR
Carson Wentz,KC,QB
C J Uzomah,PHI,TE
Sterling Shepard,TB,WR
Nick Vannett,TEN,TE
Taylor Heinicke,LAC,QB
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Jamison Crowder,WAS,WR
Cooper Kupp,LAR,WR
C J Ham,MIN,RB
Mike Evans,TB,WR
Allen Robinson,DET,WR
Mack Hollins,BUF,WR
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
Cooper Rush,DAL,QB
Tim Patrick,DET,WR
Derrick Henry,BAL,RB
Jameis Winston,CLE,QB
Tyreek Hill,MIA,WR
Pharaoh Brown,SEA,TE
Dare Ogunbowale,HOU,RB
Eric Saubert,SF,TE
Patrick Ricard,BAL,RB
Amari Cooper,BUF,WR
Gerald Everett,CHI,TE
Demarcus Robinson,LAR,WR
Tim Boyle,NYG,QB
Mike Williams,PIT,WR
Marquez Valdes Scantling,NO,WR
Jared Goff,DET,QB
Austin Hooper,NE,TE
River Cracraft,MIA,WR
Tanner Hudson,CIN,TE
Tyler Boyd,TEN,WR
Johnny Mundt,MIN,TE
Aaron Jones,MIN,RB
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
Calvin Ridley,TEN,WR
KhaDarel Hodge,ATL,WR
David Moore,CAR,WR
Ross Dwelley,ATL,TE
Josh Reynolds,JAC,WR
Anthony Firkser,KC,TE
Zay Jones,ARI,WR
Jamaal Williams,NO,RB
Gus Edwards,LAC,RB
Baker Mayfield,TB,QB
James Conner,ARI,RB
Mike Boone,CAR,RB
Mason Rudolph,TEN,QB
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Kendrick Bourne,NE,WR
Kareem Hunt,KC,RB
Durham Smythe,MIA,TE
Jonnu Smith,MIA,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Terry McLaurin,WAS,WR
Samaje Perine,KC,RB
Patrick Mahomes,KC,QB
Mike Gesicki,CIN,TE
Courtland Sutton,DEN,WR
Dante Pettis,NO,WR
Cedrick Wilson,NO,WR
Allen Lazard,NYJ,WR
Jeremy McNichols,WAS,RB
Nick Chubb,CLE,RB
Deebo Samuel,SF,WR
Trent Sherfield,MIN,WR
Justin Watson,KC,WR
Drew Sample,CIN,TE
Josh Allen,BUF,QB
Craig Reynolds,DET,RB
Khari Blasingame,PHI,RB
Alec Ingold,MIA,RB
Dalton Schultz,HOU,TE
Joe Mixon,HOU,RB
Van Jefferson,PIT,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,BUF,WR
Jamycal Hasty,NE,RB
Juwan Johnson,NO,TE
James Proche,CLE,WR
D J Chark,LAC,WR
Ray Ray McCloud,ATL,WR
Jakobi Meyers,LV,WR
Dawson Knox,BUF,TE
Shane Zylstra,DET,TE
JuJu Smith Schuster,KC,WR
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Maurice Alexander,DET,WR
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
Adam Trautman,DEN,TE
Saquon Barkley,PHI,RB
Josiah Deguara,JAC,TE
Josh Oliver,MIN,TE
Nick Westbrook Ikhine,TEN,WR
D J Moore,CHI,WR
Tony Pollard,TEN,RB
Foster Moreau,NO,TE
Ke Shawn Vaughn,SF,RB
Velus Jones,CAR,WR
Sam Darnold,MIN,QB
David Montgomery,DET,RB
Ben Skowronek,PIT,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Olamide Zaccheaus,WAS,WR
Scott Miller,PIT,WR
Kyler Murray,ARI,QB
Reggie Gilliam,BUF,RB
Devin Singletary,NYG,RB
Devin Duvernay,JAC,WR
Ty Johnson,BUF,RB
Collin Johnson,CHI,WR
Xavier Smith,LAR,WR
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Charlie Woerner,ATL,TE
Trayveon Williams,CIN,RB
Darnell Mooney,ATL,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Devaughn Vele,DEN,WR
D K Metcalf,SEA,WR
Feleipe Franks,CAR,TE
Ko Kieft,TB,TE
Josh Jacobs,GB,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Kyle Trask,TB,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Kylen Granson,IND,TE
Lil Jordan Humphrey,DEN,WR
Khalil Herbert,CIN,RB
Harrison Bryant,LV,TE
Patrick Taylor,SF,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Rico Dowdle,DAL,RB
Alexander Mattison,LV,RB
Antonio Gibson,NE,RB
Darrynton Evans,CHI,RB
Lucas Krull,DEN,TE
Avery Williams,ATL,RB
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Travis Homer,CHI,RB
Tommy DeVito,NYG,QB
Jalen Hurts,PHI,QB
Irv Smith,HOU,TE
Hunter Long,LAR,TE
Tyler Johnson,LAR,WR
Mason Kinsey,TEN,WR
Mac Jones,JAC,QB
DeeJay Dallas,ARI,RB
Luke Schoonmaker,DAL,TE
