player,team,pos
Aaron Rodgers,NYJ,QB
Josh Johnson,BAL,QB
Andy Dalton,CAR,QB
Matthew Stafford,LAR,QB
Kirk Cousins,ATL,QB
Russell Wilson,PIT,QB
Travis Kelce,KC,TE
Geno Smith,SEA,QB
Zach Ertz,WAS,TE
Kyle Juszczyk,SF,RB
Michael Burton,DEN,RB
MyCole Pruitt,PIT,TE
Raheem Mostert,MIA,RB
Chris Manhertz,NYG,TE
Jordan Akins,CLE,TE
Eric Tomlinson,LAC,TE
DeAndre Hopkins,TEN,WR
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Odell Beckham,MIA,WR
Davante Adams,NYJ,WR
Carson Wentz,KC,QB
Sterling Shepard,TB,WR
Nick Vannett,TEN,TE
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
C J Ham,MIN,RB
Mike Evans,TB,WR
Mack Hollins,BUF,WR
Geoff Swaim,CLE,TE
Mo Alie Cox,IND,TE
George Kittle,SF,TE
Marcus Mariota,WAS,QB
Tim Patrick,DET,WR
Stefon Diggs,HOU,WR
Derrick Henry,BAL,RB
Jameis Winston,CLE,QB
Tyreek Hill,MIA,WR
Robert Tonyan,MIN,TE
Eric Saubert,SF,TE
Pharaoh Brown,SEA,TE
Dare Ogunbowale,HOU,RB
Patrick Ricard,BAL,RB
Amari Cooper,BUF,WR
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Demarcus Robinson,LAR,WR
Tim Boyle,MIA,QB
Mike Williams,NYJ,WR
Jared Goff,DET,QB
Austin Hooper,NE,TE
Tanner Hudson,CIN,TE
Tyler Boyd,TEN,WR
Johnny Mundt,MIN,TE
Aaron Jones,MIN,RB
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
Calvin Ridley,TEN,WR
KhaDarel Hodge,ATL,WR
David Moore,CAR,WR
Ross Dwelley,ATL,TE
Anthony Firkser,NYJ,TE
Zay Jones,ARI,WR
Jamaal Williams,NO,RB
Baker Mayfield,TB,QB
James Conner,ARI,RB
Austin Ekeler,WAS,RB
Mason Rudolph,TEN,QB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,KC,RB
Durham Smythe,MIA,TE
Jonnu Smith,MIA,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Deshaun Watson,CLE,QB
Terry McLaurin,WAS,WR
Samaje Perine,KC,RB
Patrick Mahomes,KC,QB
Mike Gesicki,CIN,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Cedrick Wilson,NO,WR
Jody Fortson,KC,TE
Allen Lazard,NYJ,WR
Jeremy McNichols,WAS,RB
Nick Chubb,CLE,RB
Noah Brown,WAS,WR
Deebo Samuel,SF,WR
Trent Sherfield,MIN,WR
Chris Godwin,TB,WR
D Ernest Johnson,JAC,RB
Justin Watson,KC,WR
Drew Sample,CIN,TE
D Onta Foreman,CLE,RB
Andrew Beck,GB,RB
Gardner Minshew,LV,QB
Josh Allen,BUF,QB
Alex Bachman,LV,WR
Ian Thomas,CAR,TE
Craig Reynolds,DET,RB
Diontae Johnson,CAR,WR
Will Dissly,LAC,TE
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,HOU,RB
Van Jefferson,PIT,WR
Curtis Samuel,BUF,WR
Jarrett Stidham,DEN,QB
Jamycal Hasty,NE,RB
