player,team,pos
Aaron Rodgers,NYJ,QB
Marcedes Lewis,CHI,TE
Joe Flacco,IND,QB
Josh Johnson,BAL,QB
Matthew Stafford,LAR,QB
Kirk Cousins,ATL,QB
Travis Kelce,KC,TE
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,WAS,TE
Derek Carr,NO,QB
Michael Burton,DEN,RB
Raheem Mostert,MIA,RB
Chris Manhertz,NYG,TE
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Eric Tomlinson,LAC,TE
Keenan Allen,CHI,WR
DeAndre Hopkins,KC,WR
Jordan Matthews,CAR,TE
Tyler Lockett,SEA,WR
Odell Beckham,MIA,WR
Davante Adams,NYJ,WR
Sterling Shepard,TB,WR
Nick Vannett,TEN,TE
DeAndre Carter,CHI,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Hayden Hurst,LAC,TE
Allen Robinson,DET,WR
Mack Hollins,BUF,WR
Geoff Swaim,CLE,TE
Mo Alie Cox,IND,TE
Cooper Rush,DAL,QB
Tim Patrick,DET,WR
Derrick Henry,BAL,RB
Jameis Winston,CLE,QB
Tyreek Hill,MIA,WR
Pharaoh Brown,SEA,TE
Dare Ogunbowale,HOU,RB
Patrick Ricard,BAL,RB
Gerald Everett,CHI,TE
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Demarcus Robinson,LAR,WR
Mike Williams,NYJ,WR
Marquez Valdes Scantling,NO,WR
Jared Goff,DET,QB
Austin Hooper,NE,TE
Tanner Hudson,CIN,TE
Tyler Boyd,TEN,WR
Johnny Mundt,MIN,TE
Aaron Jones,MIN,RB
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
Calvin Ridley,TEN,WR
KhaDarel Hodge,ATL,WR
David Moore,CAR,WR
Ross Dwelley,ATL,TE
Zay Jones,ARI,WR
Baker Mayfield,TB,QB
James Conner,ARI,RB
Austin Ekeler,WAS,RB
Mason Rudolph,TEN,QB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,KC,RB
Durham Smythe,MIA,TE
Dalvin Cook,DAL,RB
Jonnu Smith,MIA,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Terry McLaurin,WAS,WR
Samaje Perine,KC,RB
Patrick Mahomes,KC,QB
Mike Gesicki,CIN,TE
Courtland Sutton,DEN,WR
Cedrick Wilson,NO,WR
Trenton Irwin,CIN,WR
Jeremy McNichols,WAS,RB
Nick Chubb,CLE,RB
Noah Brown,WAS,WR
Trent Sherfield,MIN,WR
D Ernest Johnson,JAC,RB
Justin Watson,KC,WR
Jake Browning,CIN,QB
Drew Sample,CIN,TE
Gardner Minshew,LV,QB
Josh Allen,BUF,QB
Alex Bachman,LV,WR
Ian Thomas,CAR,TE
Craig Reynolds,DET,RB
Diontae Johnson,BAL,WR
Will Dissly,LAC,TE
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,HOU,RB
KaVontae Turpin,DAL,WR
Curtis Samuel,BUF,WR
Jamycal Hasty,NE,RB
Juwan Johnson,NO,TE
Ray Ray McCloud,ATL,WR
Jakobi Meyers,LV,WR
Dawson Knox,BUF,TE
Shane Zylstra,DET,TE
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,PHI,RB
Josiah Deguara,JAC,TE
Josh Oliver,MIN,TE
Nick Westbrook Ikhine,TEN,WR
D Wayne Eskridge,MIA,WR
Steven Sims,HOU,WR
D J Moore,CHI,WR
Irvin Charles,NYJ,WR
Tony Pollard,TEN,RB
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Ashton Dulin,IND,WR
Daniel Jones,NYG,QB
Sam Darnold,MIN,QB
David Montgomery,DET,RB
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Olamide Zaccheaus,WAS,WR
Kyler Murray,ARI,QB
Devin Singletary,NYG,RB
Ty Johnson,BUF,RB
Xavier Smith,LAR,WR
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Charlie Woerner,ATL,TE
Trayveon Williams,CIN,RB
Darnell Mooney,ATL,WR
Simi Fehoko,LAC,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Joshua Kelley,TEN,RB
Devaughn Vele,DEN,WR
Kendric Pryor,CIN,WR
J J Taylor,HOU,RB
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
Josh Jacobs,GB,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Tanner Conner,MIA,TE
Marquez Callaway,TB,WR
Kylen Granson,IND,TE
Lil Jordan Humphrey,DEN,WR
Harrison Bryant,LV,TE
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Rico Dowdle,DAL,RB
Alexander Mattison,LV,RB
Antonio Gibson,NE,RB
Austin Trammell,JAC,WR
Lucas Krull,DEN,TE
Jalen Virgil,BUF,WR
Avery Williams,ATL,RB
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Travis Homer,CHI,RB
Jalen Hurts,PHI,QB
Hunter Long,LAR,TE
Tyler Johnson,LAR,WR
Brady Russell,SEA,TE
DeeJay Dallas,ARI,RB
Luke Schoonmaker,DAL,TE
Laviska Shenault,SEA,WR
Elijah Cooks,JAC,WR
Jordan Love,GB,QB
Kenny Yeboah,NYJ,TE
E J Jenkins,PHI,TE
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Brock Wright,DET,TE
Cody White,SEA,WR
Grant Calcaterra,PHI,TE
