player,team,pos
Aaron Rodgers,NYJ,QB
Marcedes Lewis,CHI,TE
Andy Dalton,CAR,QB
Matthew Stafford,LAR,QB
Kirk Cousins,ATL,QB
Travis Kelce,KC,TE
Adam Thielen,CAR,WR
Geno Smith,SEA,QB
Zach Ertz,WAS,TE
Cordarrelle Patterson,PIT,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Michael Burton,DEN,RB
Chris Manhertz,NYG,TE
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Eric Tomlinson,LAC,TE
DeAndre Hopkins,TEN,WR
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Jacoby Brissett,NE,QB
Davante Adams,LV,WR
Sterling Shepard,TB,WR
Nick Vannett,TEN,TE
Taylor Heinicke,LAC,QB
DeAndre Carter,CHI,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Jamison Crowder,WAS,WR
Chris Moore,ARI,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Hayden Hurst,LAC,TE
Allen Robinson,DET,WR
Mack Hollins,BUF,WR
Geoff Swaim,CLE,TE
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
Tim Patrick,DET,WR
Stefon Diggs,HOU,WR
Derrick Henry,BAL,RB
Jameis Winston,CLE,QB
Tyreek Hill,MIA,WR
Robert Tonyan,MIN,TE
Eric Saubert,SF,TE
Pharaoh Brown,SEA,TE
Dare Ogunbowale,HOU,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,CHI,TE
Kalif Raymond,DET,WR
Mitchell Trubisky,BUF,QB
Demarcus Robinson,LAR,WR
Tim Boyle,MIA,QB
Mike Williams,NYJ,WR
Marquez Valdes Scantling,BUF,WR
Jared Goff,DET,QB
Austin Hooper,NE,TE
Tyler Boyd,TEN,WR
Johnny Mundt,MIN,TE
Aaron Jones,MIN,RB
Hunter Henry,NE,TE
Jakob Johnson,NYG,RB
Zach Pascal,ARI,WR
Calvin Ridley,TEN,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
David Moore,CAR,WR
Ross Dwelley,ATL,TE
Josh Reynolds,DEN,WR
Nick Mullens,MIN,QB
Jamaal Williams,NO,RB
Gus Edwards,LAC,RB
Baker Mayfield,TB,QB
James Conner,ARI,RB
Austin Ekeler,WAS,RB
Parker Hesse,DET,TE
Mike Boone,CAR,RB
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Durham Smythe,MIA,TE
Jonnu Smith,MIA,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Terry McLaurin,WAS,WR
Deshaun Watson,CLE,QB
Samaje Perine,KC,RB
Patrick Mahomes,KC,QB
Mike Gesicki,CIN,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,NO,WR
Allen Lazard,NYJ,WR
Jeremy McNichols,WAS,RB
Noah Brown,WAS,WR
Trent Sherfield,MIN,WR
D Ernest Johnson,JAC,RB
Chris Godwin,TB,WR
Justin Watson,KC,WR
Drew Sample,CIN,TE
D Onta Foreman,CLE,RB
Gardner Minshew,LV,QB
Josh Allen,BUF,QB
Craig Reynolds,DET,RB
Diontae Johnson,CAR,WR
Will Dissly,LAC,TE
Alec Ingold,MIA,RB
Dalton Schultz,HOU,TE
Van Jefferson,PIT,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,BUF,WR
Juwan Johnson,NO,TE
Jamycal Hasty,NE,RB
James Proche,CLE,WR
Ray Ray McCloud,ATL,WR
Jakobi Meyers,LV,WR
Dawson Knox,BUF,TE
Christian Kirk,JAC,WR
JuJu Smith Schuster,KC,WR
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Nikola Kalinic,LAR,TE
Adam Trautman,DEN,TE
Saquon Barkley,PHI,RB
Josiah Deguara,JAC,TE
Myles Gaskin,MIN,RB
Britain Covey,PHI,WR
Josh Oliver,MIN,TE
Nick Westbrook Ikhine,TEN,WR
D Wayne Eskridge,MIA,WR
Steven Sims,HOU,WR
D J Moore,CHI,WR
Irvin Charles,NYJ,WR
Tony Pollard,TEN,RB
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Ashton Dulin,IND,WR
Daniel Jones,NYG,QB
Skylar Thompson,MIA,QB
Sam Darnold,MIN,QB
David Montgomery,DET,RB
K J Osborn,NE,WR
Jauan Jennings,SF,WR
Parris Campbell,PHI,WR
Olamide Zaccheaus,WAS,WR
Scott Miller,PIT,WR
Kyler Murray,ARI,QB
Reggie Gilliam,BUF,RB
Devin Singletary,NYG,RB
Devin Duvernay,JAC,WR
Ty Johnson,BUF,RB
Xavier Smith,LAR,WR
Collin Johnson,CHI,WR
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Charlie Woerner,ATL,TE
Trayveon Williams,CIN,RB
Darnell Mooney,ATL,WR
John Bates,WAS,TE
Simi Fehoko,LAC,WR
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Deonte Harty,BAL,WR
D K Metcalf,SEA,WR
Zack Moss,CIN,RB
Feleipe Franks,CAR,TE
J J Taylor,HOU,RB
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
Josh Jacobs,GB,RB
Rhamondre Stevenson,NE,RB
Najee Harris,PIT,RB
Trishton Jackson,MIN,WR
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Brandon Aiyuk,SF,WR
Tanner Conner,MIA,TE
Kylen Granson,IND,TE
Rodney Williams,PIT,TE
Lil Jordan Humphrey,DEN,WR
Khalil Herbert,CHI,RB
Harrison Bryant,LV,TE
Patrick Taylor,SF,RB
Ty Chandler,MIN,RB
