player,team,pos
Aaron Rodgers,NYJ,QB
Marcedes Lewis,CHI,TE
Joe Flacco,IND,QB
Andy Dalton,CAR,QB
Kirk Cousins,ATL,QB
Geno Smith,SEA,QB
Zach Ertz,WAS,TE
Kyle Juszczyk,SF,RB
Michael Burton,DEN,RB
Chris Manhertz,NYG,TE
Jordan Akins,CLE,TE
Eric Tomlinson,LAC,TE
Keenan Allen,CHI,WR
DeAndre Hopkins,TEN,WR
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Sterling Shepard,TB,WR
Nick Vannett,TEN,TE
DeAndre Carter,CHI,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Hayden Hurst,LAC,TE
Allen Robinson,DET,WR
Mack Hollins,BUF,WR
Geoff Swaim,CLE,TE
Mo Alie Cox,IND,TE
George Kittle,SF,TE
Cooper Rush,DAL,QB
Tim Patrick,DET,WR
Stefon Diggs,HOU,WR
Derrick Henry,BAL,RB
Jameis Winston,CLE,QB
Dare Ogunbowale,HOU,RB
Eric Saubert,SF,TE
Pharaoh Brown,SEA,TE
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,CHI,TE
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Mike Williams,NYJ,WR
Marquez Valdes Scantling,BUF,WR
Jared Goff,DET,QB
Austin Hooper,NE,TE
Tanner Hudson,CIN,TE
Tyler Boyd,TEN,WR
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
Calvin Ridley,TEN,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
David Moore,CAR,WR
Ross Dwelley,ATL,TE
Anthony Firkser,NYJ,TE
Jamaal Williams,NO,RB
Baker Mayfield,TB,QB
James Conner,ARI,RB
Austin Ekeler,WAS,RB
Parker Hesse,DET,TE
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Mark Andrews,BAL,TE
Deshaun Watson,CLE,QB
Terry McLaurin,WAS,WR
Mike Gesicki,CIN,TE
Courtland Sutton,DEN,WR
Cedrick Wilson,NO,WR
Trenton Irwin,CIN,WR
Allen Lazard,NYJ,WR
Jeremy McNichols,WAS,RB
Noah Brown,WAS,WR
Deebo Samuel,SF,WR
Chris Godwin,TB,WR
D Ernest Johnson,JAC,RB
Drew Sample,CIN,TE
D Onta Foreman,CLE,RB
Andrew Beck,GB,RB
Josh Allen,BUF,QB
Alex Bachman,LV,WR
Ian Thomas,CAR,TE
Craig Reynolds,DET,RB
Khari Blasingame,CHI,RB
Diontae Johnson,CAR,WR
Will Dissly,LAC,TE
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,HOU,RB
Van Jefferson,PIT,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,BUF,WR
Jamycal Hasty,NE,RB
Juwan Johnson,NO,TE
Ray Ray McCloud,ATL,WR
Dawson Knox,BUF,TE
Christian Kirk,JAC,WR
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Kristian Wilkerson,LV,WR
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,PHI,RB
Josiah Deguara,JAC,TE
Nick Westbrook Ikhine,TEN,WR
Steven Sims,HOU,WR
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,TEN,RB
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Ashton Dulin,IND,WR
Daniel Jones,NYG,QB
David Montgomery,DET,RB
A J Brown,PHI,WR
Jauan Jennings,SF,WR
Olamide Zaccheaus,WAS,WR
Scott Miller,PIT,WR
Kyler Murray,ARI,QB
Reggie Gilliam,BUF,RB
Ty Johnson,BUF,RB
Jonathan Ward,PIT,RB
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Charlie Woerner,ATL,TE
Trayveon Williams,CIN,RB
Darnell Mooney,ATL,WR
Simi Fehoko,LAC,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Deonte Harty,BAL,WR
Devaughn Vele,DEN,WR
Zack Moss,CIN,RB
D K Metcalf,SEA,WR
Feleipe Franks,CAR,TE
Hendon Hooker,DET,QB
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
Josh Jacobs,GB,RB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Brandon Aiyuk,SF,WR
Kylen Granson,IND,TE
Rodney Williams,PIT,TE
Lil Jordan Humphrey,DEN,WR
Khalil Herbert,CHI,RB
Harrison Bryant,LV,TE
Patrick Taylor,SF,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Rico Dowdle,DAL,RB
Alexander Mattison,LV,RB
Antonio Gibson,NE,RB
Lucas Krull,DEN,TE
Avery Williams,ATL,RB
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Jalen Hurts,PHI,QB
Rashid Shaheed,NO,WR
Aidan O Connell,LV,QB
John Samuel Shenker,LV,TE
Brady Russell,SEA,TE
Mac Jones,JAC,QB
DeeJay Dallas,ARI,RB
Luke Schoonmaker,DAL,TE
Stone Smartt,LAC,TE
Laviska Shenault,SEA,WR
Isaiah Hodgins,NYG,WR
Davis Mills,HOU,QB
Pat Freiermuth,PIT,TE
Charlie Jones,CIN,WR
Jaylen Warren,PIT,RB
Jordan Love,GB,QB
DeVonta Smith,PHI,WR
Brock Wright,DET,TE
Grant Calcaterra,PHI,TE
Pierre Strong,CLE,RB
J K Dobbins,LAC,RB
Jaelon Darden,CLE,WR
D Andre Swift,CHI,RB
Jake Ferguson,DAL,TE
Tee Higgins,CIN,WR
Emari Demercado,ARI,RB
Quintin Morris,BUF,TE
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
