player,team,pos
Aaron Rodgers,NYJ,QB
Marcedes Lewis,CHI,TE
Matthew Stafford,LAR,QB
Kirk Cousins,ATL,QB
Russell Wilson,PIT,QB
Travis Kelce,KC,TE
Adam Thielen,CAR,WR
Geno Smith,SEA,QB
Cordarrelle Patterson,PIT,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
MyCole Pruitt,PIT,TE
Chris Manhertz,NYG,TE
Jordan Akins,CLE,TE
Keenan Allen,CHI,WR
DeAndre Hopkins,KC,WR
Brandon Allen,SF,QB
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Odell Beckham,MIA,WR
Davante Adams,NYJ,WR
C J Uzomah,PHI,TE
Sterling Shepard,TB,WR
Nick Vannett,TEN,TE
Taylor Heinicke,LAC,QB
DeAndre Carter,CHI,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
C J Ham,MIN,RB
Mike Evans,TB,WR
Allen Robinson,DET,WR
Mack Hollins,BUF,WR
Brandin Cooks,DAL,WR
George Kittle,SF,TE
Cooper Rush,DAL,QB
Tim Patrick,DET,WR
Jameis Winston,CLE,QB
Tyreek Hill,MIA,WR
Eric Saubert,SF,TE
Pharaoh Brown,SEA,TE
Amari Cooper,BUF,WR
Gerald Everett,CHI,TE
Evan Engram,JAC,TE
Demarcus Robinson,LAR,WR
Mike Williams,PIT,WR
Marquez Valdes Scantling,NO,WR
Jared Goff,DET,QB
Tanner Hudson,CIN,TE
Tyler Boyd,TEN,WR
Johnny Mundt,MIN,TE
Aaron Jones,MIN,RB
Zach Pascal,ARI,WR
Calvin Ridley,TEN,WR
KhaDarel Hodge,ATL,WR
David Moore,CAR,WR
Ross Dwelley,ATL,TE
Nick Mullens,MIN,QB
Zay Jones,ARI,WR
Jamaal Williams,NO,RB
Gus Edwards,LAC,RB
Baker Mayfield,TB,QB
James Conner,ARI,RB
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kareem Hunt,KC,RB
Durham Smythe,MIA,TE
Jonnu Smith,MIA,TE
Brandon Powell,MIN,WR
Samaje Perine,KC,RB
Patrick Mahomes,KC,QB
Mike Gesicki,CIN,TE
Dante Pettis,NO,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,NO,WR
Allen Lazard,NYJ,WR
Nick Chubb,CLE,RB
Deebo Samuel,SF,WR
Trent Sherfield,MIN,WR
Justin Watson,KC,WR
Drew Sample,CIN,TE
Josh Allen,BUF,QB
Craig Reynolds,DET,RB
Khari Blasingame,PHI,RB
Will Dissly,LAC,TE
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Van Jefferson,PIT,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,BUF,WR
Juwan Johnson,NO,TE
James Proche,CLE,WR
D J Chark,LAC,WR
Ray Ray McCloud,ATL,WR
Jakobi Meyers,LV,WR
Drew Lock,NYG,QB
Dawson Knox,BUF,TE
Shane Zylstra,DET,TE
JuJu Smith Schuster,KC,WR
Joe Burrow,CIN,QB
Kristian Wilkerson,LV,WR
Darius Slayton,NYG,WR
Maurice Alexander,DET,WR
Adam Prentice,NO,RB
Saquon Barkley,PHI,RB
Josiah Deguara,JAC,TE
Dan Chisena,CAR,WR
Josh Oliver,MIN,TE
Nick Westbrook Ikhine,TEN,WR
D Wayne Eskridge,MIA,WR
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,TEN,RB
Ke Shawn Vaughn,SF,RB
Thomas Odukoya,TEN,TE
Foster Moreau,NO,TE
Sam Darnold,MIN,QB
David Montgomery,DET,RB
Ben Skowronek,PIT,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Scott Miller,PIT,WR
Kyler Murray,ARI,QB
Reggie Gilliam,BUF,RB
Devin Singletary,NYG,RB
Devin Duvernay,JAC,WR
Ty Johnson,BUF,RB
Xavier Smith,LAR,WR
Collin Johnson,CHI,WR
Luke Farrell,JAC,TE
Charlie Woerner,ATL,TE
Trayveon Williams,CIN,RB
Darnell Mooney,ATL,WR
Noah Fant,SEA,TE
D K Metcalf,SEA,WR
Feleipe Franks,CAR,TE
Ko Kieft,TB,TE
Kene Nwangwu,NYJ,RB
Josh Jacobs,GB,RB
Tua Tagovailoa,MIA,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Khalil Herbert,CIN,RB
Harrison Bryant,LV,TE
Patrick Taylor,SF,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Rico Dowdle,DAL,RB
Darrynton Evans,CHI,RB
Jalen Virgil,BUF,WR
Zach Davidson,BUF,TE
Avery Williams,ATL,RB
Jake Bobo,SEA,WR
Tommy DeVito,NYG,QB
Travis Homer,CHI,RB
Jalen Hurts,PHI,QB
Hunter Long,LAR,TE
Tyler Johnson,LAR,WR
Mason Kinsey,TEN,WR
Brady Russell,SEA,TE
Aidan O Connell,LV,QB
Mac Jones,JAC,QB
DeeJay Dallas,ARI,RB
Luke Schoonmaker,DAL,TE
Stone Smartt,LAC,TE
Pat Freiermuth,PIT,TE
Kenny Yeboah,NYJ,TE
Jaylen Warren,PIT,RB
E J Jenkins,PHI,TE
Jordan Love,GB,QB
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Brock Wright,DET,TE
Grant Calcaterra,PHI,TE
Pierre Strong,CLE,RB
Jalen Reagor,LAC,WR
Colby Parkinson,LAR,TE
Rachaad White,TB,RB
Jaelon Darden,SEA,WR
D Andre Swift,CHI,RB
Jake Ferguson,DAL,TE
Tee Higgins,CIN,WR
Tucker Fisk,LAC,TE
Emari Demercado,ARI,RB
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Kadarius Toney,CLE,WR
Ronnie Rivers,LAR,RB
