player,team,pos
Marcedes Lewis,CHI,TE
Matthew Slater,NE,WR
Russell Wilson,DEN,QB
Latavius Murray,BUF,RB
Brandon Bolden,LV,RB
Taysom Hill,NO,TE
Adam Thielen,CAR,WR
Geno Smith,SEA,QB
Cordarrelle Patterson,ATL,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Logan Thomas,WAS,TE
Michael Burton,DEN,RB
MyCole Pruitt,ATL,TE
Keith Smith,ATL,RB
Chris Manhertz,DEN,TE
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Keenan Allen,LAC,WR
DeAndre Hopkins,TEN,WR
Jordan Matthews,CAR,TE
Tyler Lockett,SEA,WR
Willie Snead,SF,WR
Odell Beckham,BAL,WR
Davante Adams,LV,WR
C J Uzomah,NYJ,TE
Ty Montgomery,NE,RB
Sterling Shepard,NYG,WR
Michael Thomas,NO,WR
Nick Vannett,LAC,TE
Taylor Heinicke,ATL,QB
DeAndre Carter,LV,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Chris Moore,TEN,WR
Jamison Crowder,WAS,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Allen Robinson,PIT,WR
Hayden Hurst,CAR,TE
Geoff Swaim,ARI,TE
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
C J Beathard,JAC,QB
Byron Pringle,WAS,WR
Cooper Rush,DAL,QB
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Jameis Winston,NO,QB
Dwayne Washington,DEN,RB
Eric Saubert,HOU,TE
Trent Taylor,CHI,WR
Robert Tonyan,CHI,TE
Pharaoh Brown,NE,TE
Dare Ogunbowale,HOU,RB
Alex Armah,WAS,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Jared Goff,DET,QB
Austin Hooper,LV,TE
Tanner Hudson,CIN,TE
Tyler Boyd,CIN,WR
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
Calvin Ridley,JAC,WR
KhaDarel Hodge,ATL,WR
Joshua Dobbs,MIN,QB
Ross Dwelley,SF,TE
Josh Reynolds,DET,WR
P J Walker,CLE,QB
Matt Breida,NYG,RB
Jamal Agnew,JAC,WR
Jamaal Williams,NO,RB
Isaiah McKenzie,IND,WR
Gus Edwards,BAL,RB
Baker Mayfield,TB,QB
Kevin Rader,TEN,TE
James Conner,ARI,RB
Austin Ekeler,LAC,RB
Ezekiel Elliott,NE,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kareem Hunt,CLE,RB
Dalvin Cook,NYJ,RB
Jonnu Smith,ATL,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Trevon Wesco,TEN,TE
Deshaun Watson,CLE,QB
Terry McLaurin,WAS,WR
Samaje Perine,DEN,RB
Mike Gesicki,NE,TE
Courtland Sutton,DEN,WR
Trenton Irwin,CIN,WR
Allen Lazard,NYJ,WR
Hunter Renfrow,LV,WR
Malik Taylor,NYJ,WR
Noah Brown,HOU,WR
Deebo Samuel,SF,WR
Trent Sherfield,BUF,WR
Chris Godwin,TB,WR
D Ernest Johnson,JAC,RB
Michael Gallup,DAL,WR
Chase Edmonds,TB,RB
Drew Sample,CIN,TE
D Onta Foreman,CHI,RB
Gardner Minshew,IND,QB
Josh Allen,BUF,QB
David Sills,DEN,WR
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Nick Bawden,NYJ,RB
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,CIN,RB
Van Jefferson,ATL,WR
Curtis Samuel,WAS,WR
Juwann Winfree,IND,WR
Stanley Morgan,CIN,WR
Juwan Johnson,NO,TE
James Proche,CLE,WR
Equanimeous St Brown,CHI,WR
Miles Boykin,PIT,WR
Ray Ray McCloud,SF,WR
Mitchell Wilcox,CIN,TE
Jakobi Meyers,LV,WR
Christian Kirk,JAC,WR
JuJu Smith Schuster,NE,WR
Gunner Olszewski,NYG,WR
Joe Burrow,CIN,QB
Stephen Carlson,CHI,TE
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,NYG,RB
Josiah Deguara,GB,TE
Jesper Horsted,LV,TE
Josh Oliver,MIN,TE
Nick Westbrook Ikhine,TEN,WR
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,DAL,RB
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Marquise Brown,ARI,WR
Sam Darnold,SF,QB
Jalen Guyton,LAC,WR
David Montgomery,DET,RB
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Parris Campbell,NYG,WR
Scott Miller,ATL,WR
Kyler Murray,ARI,QB
Donald Parham,LAC,TE
Mike Strachan,CAR,WR
Reggie Gilliam,BUF,RB
Lawrence Cager,NYG,TE
Devin Singletary,HOU,RB
Frank Darby,ATL,WR
Devin Duvernay,BAL,WR
Ty Johnson,BUF,RB
Jonathan Ward,TEN,RB
Chris Evans,CIN,RB
Michael Pittman,IND,WR
Lynn Bowden,NO,WR
Luke Farrell,JAC,TE
Charlie Woerner,SF,TE
Trayveon Williams,CIN,RB
Darnell Mooney,CHI,WR
Simi Fehoko,LAC,WR
John Bates,WAS,TE
Tyree Jackson,NYG,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Joshua Kelley,LAC,RB
Tony Jones,ARI,RB
Deonte Harty,BUF,WR
D K Metcalf,SEA,WR
Zack Moss,IND,RB
N Keal Harry,MIN,WR
Sean McKeon,DAL,TE
Ko Kieft,TB,TE
Kene Nwangwu,MIN,RB
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Anthony McFarland,PIT,RB
Kyle Trask,TB,QB
Najee Harris,PIT,RB
Trishton Jackson,MIN,WR
Justin Herbert,LAC,QB
Brandon Aiyuk,SF,WR
Kylen Granson,IND,TE
Rodney Williams,PIT,TE
Lil Jordan Humphrey,DEN,WR
Harrison Bryant,CLE,TE
AJ Dillon,GB,RB
Elijah Mitchell,SF,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Rico Dowdle,DAL,RB
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Lucas Krull,DEN,TE
Darrynton Evans,CHI,RB
Jake Bobo,SEA,WR
Tommy DeVito,NYG,QB
Irv Smith,CIN,TE
Travis Homer,CHI,RB
Brady Russell,SEA,TE
Rashid Shaheed,NO,WR
Aidan O Connell,LV,QB
Mac Jones,NE,QB
DeeJay Dallas,SEA,RB
Luke Schoonmaker,DAL,TE
Stone Smartt,LAC,TE
Elijah Cooks,JAC,WR
Isaiah Hodgins,NYG,WR
Jaylen Warren,PIT,RB
Jordan Love,GB,QB
Brock Wright,DET,TE
Pierre Strong,CLE,RB
Jalen Reagor,NE,WR
Colby Parkinson,SEA,TE
Rachaad White,TB,RB
Jake Ferguson,DAL,TE
Jonathan Taylor,IND,RB
Quintin Morris,BUF,TE
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Trey Sermon,IND,RB
Charlie Kolar,BAL,TE
Jalen Tolbert,DAL,WR
Jalen Nailor,MIN,WR
Cole Kmet,CHI,TE
Brian Robinson,WAS,RB
Clayton Tune,ARI,QB
Calvin Austin,PIT,WR
Gabriel Davis,BUF,WR
CeeDee Lamb,DAL,WR
Dalton Keene,HOU,TE
Cade Otton,TB,TE
Jerry Jeudy,DEN,WR
Bailey Zappe,NE,QB
Michael Carter,NYJ,RB
Emanuel Wilson,GB,RB
Christian Watson,GB,WR
Jordan Mason,SF,RB
Dareke Young,SEA,WR
Raheem Blackshear,CAR,RB
Chuba Hubbard,CAR,RB
Kyle Philips,TEN,WR
Will Mallory,IND,TE
Will Levis,TEN,QB
Zach Wilson,NYJ,QB
James Mitchell,DET,TE
Desmond Ridder,ATL,QB
Ihmir Smith Marsette,CAR,WR
Chig Okonkwo,TEN,TE
Josh Whyle,TEN,TE
Jerome Ford,CLE,RB
Zamir White,LV,RB
James Cook,BUF,RB
Trevor Lawrence,JAC,QB
Andrei Iosivas,CIN,WR
Dalton Kincaid,BUF,TE
Shedrick Jackson,CIN,WR
Amon Ra St Brown,DET,WR
Keaontay Ingram,ARI,RB
A T Perry,NO,WR
Tank Dell,HOU,WR
Dyami Brown,WAS,WR
Antoine Green,DET,WR
Trey McBride,ARI,TE
Rashod Bateman,BAL,WR
Deven Thompkins,TB,WR
Brock Purdy,SF,QB
Ronnie Bell,SF,WR
Khalil Shakir,BUF,WR
Michael Wilson,ARI,WR
Hunter Luepke,DAL,RB
Ja Marr Chase,CIN,WR
Malik Heath,GB,WR
John FitzPatrick,ATL,TE
