player,team,pos
Marcedes Lewis,CHI,TE
Matthew Slater,NE,WR
Julio Jones,PHI,WR
Travis Kelce,KC,TE
Latavius Murray,BUF,RB
Brandon Bolden,LV,RB
Adam Thielen,CAR,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Marquise Goodwin,CLE,WR
Cordarrelle Patterson,ATL,RB
Derek Carr,NO,QB
Logan Thomas,WAS,TE
Blake Bell,KC,TE
MyCole Pruitt,ATL,TE
Raheem Mostert,MIA,RB
Jordan Akins,CLE,TE
Keenan Allen,LAC,WR
Jerick McKinnon,KC,RB
DeAndre Hopkins,TEN,WR
Tyler Lockett,SEA,WR
Tyler Kroft,MIA,TE
Odell Beckham,BAL,WR
Davante Adams,LV,WR
Tyler Higbee,LAR,TE
C J Uzomah,NYJ,TE
Ty Montgomery,NE,RB
Damiere Byrd,ATL,WR
Sterling Shepard,NYG,WR
Michael Thomas,NO,WR
Nick Vannett,LAC,TE
Taylor Heinicke,ATL,QB
DeAndre Carter,LV,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
Jamison Crowder,WAS,WR
Chris Moore,TEN,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Hayden Hurst,CAR,TE
Allen Robinson,PIT,WR
Mack Hollins,ATL,WR
Geoff Swaim,ARI,TE
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
Byron Pringle,WAS,WR
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Tyreek Hill,MIA,WR
Trent Taylor,CHI,WR
Robert Tonyan,CHI,TE
Eric Saubert,HOU,TE
Pharaoh Brown,NE,TE
Dare Ogunbowale,HOU,RB
Alex Armah,WAS,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Godwin Igwebuike,PIT,RB
Demarcus Robinson,LAR,WR
Marquez Valdes Scantling,KC,WR
Austin Hooper,LV,TE
Corey Clement,ARI,RB
Tanner Hudson,CIN,TE
Tyler Boyd,CIN,WR
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
Joshua Dobbs,MIN,QB
P J Walker,CLE,QB
Matt Breida,NYG,RB
Jamaal Williams,NO,RB
Isaiah McKenzie,IND,WR
Gus Edwards,BAL,RB
Baker Mayfield,TB,QB
Kevin Rader,TEN,TE
Austin Ekeler,LAC,RB
Ezekiel Elliott,NE,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kareem Hunt,CLE,RB
Dalvin Cook,NYJ,RB
Durham Smythe,MIA,TE
Jonnu Smith,ATL,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Deshaun Watson,CLE,QB
Terry McLaurin,WAS,WR
Trevon Wesco,TEN,TE
Patrick Mahomes,KC,QB
Mike Gesicki,NE,TE
Braxton Berrios,MIA,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,MIA,WR
Trenton Irwin,CIN,WR
Allen Lazard,NYJ,WR
Malik Taylor,NYJ,WR
Hunter Renfrow,LV,WR
Noah Brown,HOU,WR
Rashaad Penny,PHI,RB
Royce Freeman,LAR,RB
Trent Sherfield,BUF,WR
Chris Godwin,TB,WR
Michael Gallup,DAL,WR
Justin Watson,KC,WR
Chase Edmonds,TB,RB
Drew Sample,CIN,TE
D Onta Foreman,CHI,RB
Andrew Beck,HOU,RB
Gardner Minshew,IND,QB
Josh Allen,BUF,QB
Nick Bawden,NYJ,RB
Khari Blasingame,CHI,RB
Will Dissly,SEA,TE
Diontae Johnson,PIT,WR
Alec Ingold,MIA,RB
Brett Rypien,LAR,QB
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,CIN,RB
Van Jefferson,ATL,WR
KaVontae Turpin,DAL,WR
Juwann Winfree,IND,WR
Stanley Morgan,CIN,WR
Juwan Johnson,NO,TE
James Proche,CLE,WR
D J Chark,CAR,WR
Miles Boykin,PIT,WR
Mitchell Wilcox,CIN,TE
Jakobi Meyers,LV,WR
JuJu Smith Schuster,NE,WR
Gunner Olszewski,NYG,WR
Stephen Sullivan,CAR,TE
Joe Burrow,CIN,QB
Andre Baccellia,ARI,WR
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
DJ Turner,LV,WR
Saquon Barkley,NYG,RB
Josiah Deguara,GB,TE
Jesper Horsted,LV,TE
Britain Covey,PHI,WR
Josh Oliver,MIN,TE
D Wayne Eskridge,SEA,WR
Nick Westbrook Ikhine,TEN,WR
Brycen Hopkins,LAR,TE
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,DAL,RB
Miles Sanders,CAR,RB
Ke Shawn Vaughn,TB,RB
Foster Moreau,NO,TE
Velus Jones,CHI,WR
Daniel Jones,NYG,QB
Marquise Brown,ARI,WR
Jalen Guyton,LAC,WR
K J Osborn,MIN,WR
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Parris Campbell,NYG,WR
Olamide Zaccheaus,PHI,WR
Scott Miller,ATL,WR
Donald Parham,LAC,TE
Darrell Henderson,LAR,RB
Lawrence Cager,NYG,TE
Reggie Gilliam,BUF,RB
Devin Singletary,HOU,RB
Devin Duvernay,BAL,WR
Ty Johnson,BUF,RB
Chris Evans,CIN,RB
Michael Pittman,IND,WR
Lynn Bowden,NO,WR
Trayveon Williams,CIN,RB
Darnell Mooney,CHI,WR
Simi Fehoko,LAC,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Joshua Kelley,LAC,RB
Noah Fant,SEA,TE
Tony Jones,ARI,RB
Deonte Harty,BUF,WR
D K Metcalf,SEA,WR
Zack Moss,IND,RB
N Keal Harry,MIN,WR
Sean McKeon,DAL,TE
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
La Mical Perine,KC,RB
Tyler Huntley,BAL,QB
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Justin Herbert,LAC,QB
Trishton Jackson,MIN,WR
Mecole Hardman,KC,WR
Najee Harris,PIT,RB
Jaren Hall,MIN,QB
Kylen Granson,IND,TE
Rodney Williams,PIT,TE
Harrison Bryant,CLE,TE
Albert Okwuegbunam,PHI,TE
AJ Dillon,GB,RB
Ty Chandler,MIN,RB
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Rico Dowdle,DAL,RB
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Austin Trammell,LAR,WR
Chase Claypool,MIA,WR
Darrynton Evans,CHI,RB
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Tommy DeVito,NYG,QB
Travis Homer,CHI,RB
Jalen Hurts,PHI,QB
Irv Smith,CIN,TE
Brady Russell,SEA,TE
Rashid Shaheed,NO,WR
Aidan O Connell,LV,QB
Mac Jones,NE,QB
DeeJay Dallas,SEA,RB
Luke Schoonmaker,DAL,TE
Stone Smartt,LAC,TE
Isaiah Hodgins,NYG,WR
Jordan Love,GB,QB
Jaylen Warren,PIT,RB
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Pierre Strong,CLE,RB
Salvon Ahmed,MIA,RB
Jalen Reagor,NE,WR
Colby Parkinson,SEA,TE
Rachaad White,TB,RB
D Andre Swift,PHI,RB
Jake Ferguson,DAL,TE
Tee Higgins,CIN,WR
Tucker Fisk,ATL,TE
Jonathan Taylor,IND,RB
Quintin Morris,BUF,TE
Connor Heyward,PIT,TE
Kadarius Toney,KC,WR
Trey Sermon,IND,RB
Charlie Kolar,BAL,TE
Deon Jackson,NYG,RB
Jalen Tolbert,DAL,WR
Isiah Pacheco,KC,RB
Cole Kmet,CHI,TE
Kenneth Gainwell,PHI,RB
Nico Collins,HOU,WR
Brian Robinson,WAS,RB
Clayton Tune,ARI,QB
Calvin Austin,PIT,WR
Gabriel Davis,BUF,WR
CeeDee Lamb,DAL,WR
Cade Otton,TB,TE
Noah Gray,KC,TE
Michael Carter,NYJ,RB
Emanuel Wilson,GB,RB
Christian Watson,GB,WR
Tylan Wallace,BAL,WR
Raheem Blackshear,CAR,RB
Chuba Hubbard,CAR,RB
Kyle Philips,TEN,WR
Cam Akers,MIN,RB
Will Levis,TEN,QB
Zach Wilson,NYJ,QB
Ihmir Smith Marsette,CAR,WR
Chig Okonkwo,TEN,TE
Josh Whyle,TEN,TE
Jerome Ford,CLE,RB
Zamir White,LV,RB
James Cook,BUF,RB
Tutu Atwell,LAR,WR
Andrei Iosivas,CIN,WR
Dalton Kincaid,BUF,TE
Keaontay Ingram,ARI,RB
A T Perry,NO,WR
Tank Dell,HOU,WR
Dyami Brown,WAS,WR
Trey McBride,ARI,TE
Rashod Bateman,BAL,WR
Deven Thompkins,TB,WR
Khalil Shakir,BUF,WR
Hunter Luepke,DAL,RB
Ja Marr Chase,CIN,WR
Malik Heath,GB,WR
John FitzPatrick,ATL,TE
