player,team,pos
Marcedes Lewis,CHI,TE
Joe Flacco,CLE,QB
Jimmy Graham,NO,TE
Matthew Stafford,LAR,QB
Case Keenum,HOU,QB
Ryan Tannehill,TEN,QB
Russell Wilson,DEN,QB
Julio Jones,PHI,WR
Tyrod Taylor,NYG,QB
Travis Kelce,KC,TE
Latavius Murray,BUF,RB
Brandon Bolden,LV,RB
Adam Thielen,CAR,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Marquise Goodwin,CLE,WR
Cordarrelle Patterson,ATL,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Logan Thomas,WAS,TE
Blake Bell,KC,TE
Trevor Siemian,NYJ,QB
Michael Burton,DEN,RB
MyCole Pruitt,ATL,TE
Raheem Mostert,MIA,RB
Chris Manhertz,DEN,TE
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
DeAndre Hopkins,TEN,WR
Darren Waller,NYG,TE
Tyler Lockett,SEA,WR
Willie Snead,SF,WR
Chris Conley,SF,WR
Odell Beckham,BAL,WR
Alex Erickson,LAC,WR
Jacoby Brissett,WAS,QB
Davante Adams,LV,WR
Tyler Higbee,LAR,TE
DeVante Parker,NE,WR
Sterling Shepard,NYG,WR
Nick Vannett,LAC,TE
Taylor Heinicke,ATL,QB
DeAndre Carter,LV,WR
Robbie Anderson,MIA,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Chris Moore,TEN,WR
Jamison Crowder,WAS,WR
Cooper Kupp,LAR,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Allen Robinson,PIT,WR
Mack Hollins,ATL,WR
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
C J Beathard,JAC,QB
Byron Pringle,WAS,WR
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Tyreek Hill,MIA,WR
Dwayne Washington,DEN,RB
Trent Taylor,CHI,WR
Robert Tonyan,CHI,TE
Eric Saubert,HOU,TE
Pharaoh Brown,NE,TE
Dare Ogunbowale,HOU,RB
Alex Armah,WAS,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Godwin Igwebuike,PIT,RB
Demarcus Robinson,LAR,WR
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,LV,TE
Tanner Hudson,CIN,TE
Tyler Boyd,CIN,WR
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Derrick Gore,WAS,RB
Jakob Johnson,LV,RB
Zach Pascal,ARI,WR
Calvin Ridley,JAC,WR
Keith Kirkwood,NO,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
David Moore,TB,WR
Leonard Fournette,BUF,RB
Josh Reynolds,DET,WR
Anthony Firkser,DET,TE
Matt Breida,NYG,RB
Nick Mullens,MIN,QB
Jamal Agnew,JAC,WR
Jamaal Williams,NO,RB
Gus Edwards,BAL,RB
Baker Mayfield,TB,QB
Kevin Rader,TEN,TE
Boston Scott,PHI,RB
James Conner,ARI,RB
Austin Ekeler,LAC,RB
Laquon Treadwell,BAL,WR
Mason Rudolph,PIT,QB
Ezekiel Elliott,NE,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,NYJ,RB
Jonnu Smith,ATL,TE
Richie James,KC,WR
Brandon Powell,MIN,WR
Terry McLaurin,WAS,WR
Patrick Mahomes,KC,QB
Samaje Perine,DEN,RB
Easton Stick,LAC,QB
Mike Gesicki,NE,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Matt Sokol,NE,TE
Jeff Wilson,MIA,RB
Cedrick Wilson,MIA,WR
Trenton Irwin,CIN,WR
Allen Lazard,NYJ,WR
Hunter Renfrow,LV,WR
Jeremy McNichols,SF,RB
Noah Brown,HOU,WR
Deebo Samuel,SF,WR
Trent Sherfield,BUF,WR
Royce Freeman,LAR,RB
Chris Godwin,TB,WR
D Ernest Johnson,JAC,RB
Michael Gallup,DAL,WR
Justin Watson,KC,WR
Jake Browning,CIN,QB
Chase Edmonds,TB,RB
Drew Sample,CIN,TE
Andrew Beck,HOU,RB
Gardner Minshew,IND,QB
Josh Allen,BUF,QB
Christian McCaffrey,SF,RB
Ian Thomas,CAR,TE
Craig Reynolds,DET,RB
Khari Blasingame,CHI,RB
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,CIN,RB
Van Jefferson,ATL,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,WAS,WR
Jamycal Hasty,NE,RB
Juwan Johnson,NO,TE
James Proche,CLE,WR
D J Chark,CAR,WR
Miles Boykin,PIT,WR
Jakobi Meyers,LV,WR
Mitchell Wilcox,CIN,TE
Dawson Knox,BUF,TE
D J Montgomery,IND,WR
Gunner Olszewski,NYG,WR
Stephen Sullivan,CAR,TE
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
DJ Turner,LV,WR
Adam Prentice,NO,RB
Adam Trautman,DEN,TE
Saquon Barkley,NYG,RB
Josiah Deguara,GB,TE
Dan Chisena,ARI,WR
Britain Covey,PHI,WR
Josh Oliver,MIN,TE
Brycen Hopkins,LAR,TE
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,DAL,RB
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Velus Jones,CHI,WR
Sam Darnold,SF,QB
David Montgomery,DET,RB
Jalen Guyton,LAC,WR
K J Osborn,MIN,WR
A J Brown,PHI,WR
Ben Skowronek,LAR,WR
T J Hockenson,MIN,TE
Lucky Jackson,MIN,WR
Olamide Zaccheaus,PHI,WR
Scott Miller,ATL,WR
