player,team,pos
Marcedes Lewis,CHI,TE
Matthew Slater,NE,WR
Jimmy Graham,NO,TE
Andy Dalton,CAR,QB
Matthew Stafford,LAR,QB
Ryan Tannehill,TEN,QB
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Tyrod Taylor,NYG,QB
Travis Kelce,KC,TE
Blaine Gabbert,KC,QB
Latavius Murray,BUF,RB
Brandon Bolden,LV,RB
Marvin Jones,DET,WR
Randall Cobb,NYJ,WR
Adam Thielen,CAR,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,ARI,TE
Marquise Goodwin,CLE,WR
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Blake Bell,KC,TE
Jimmy Garoppolo,LV,QB
Michael Burton,DEN,RB
MyCole Pruitt,ATL,TE
Keith Smith,ATL,RB
Raheem Mostert,MIA,RB
Chris Manhertz,DEN,TE
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Keenan Allen,LAC,WR
Jerick McKinnon,KC,RB
DeAndre Hopkins,TEN,WR
Darren Waller,NYG,TE
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Davante Adams,LV,WR
Tyler Higbee,LAR,TE
C J Uzomah,NYJ,TE
DeVante Parker,NE,WR
Ty Montgomery,NE,RB
Sterling Shepard,NYG,WR
Michael Thomas,NO,WR
DeAndre Carter,LV,WR
Melvin Gordon,BAL,RB
Robbie Anderson,MIA,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Chris Moore,TEN,WR
Jamison Crowder,WAS,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Hayden Hurst,CAR,TE
Allen Robinson,PIT,WR
Mack Hollins,ATL,WR
Geoff Swaim,ARI,TE
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
C J Beathard,JAC,QB
Byron Pringle,WAS,WR
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Jameis Winston,NO,QB
Kenyan Drake,BAL,RB
Tyreek Hill,MIA,WR
Dwayne Washington,DEN,RB
Trent Taylor,CHI,WR
Robert Tonyan,CHI,TE
Pharaoh Brown,NE,TE
Alex Armah,WAS,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Demarcus Robinson,LAR,WR
Mike Williams,LAC,WR
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,LV,TE
River Cracraft,MIA,WR
Tanner Hudson,CIN,TE
Tyler Boyd,CIN,WR
Johnny Mundt,MIN,TE
Hunter Henry,NE,TE
Devon Allen,PHI,WR
Jakob Johnson,LV,RB
Zach Pascal,ARI,WR
Calvin Ridley,JAC,WR
Keith Kirkwood,NO,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
Joshua Dobbs,ARI,QB
Ross Dwelley,SF,TE
Josh Reynolds,DET,WR
Matt Breida,NYG,RB
Mike White,MIA,QB
Jamal Agnew,JAC,WR
Isaiah McKenzie,IND,WR
Gus Edwards,BAL,RB
Baker Mayfield,TB,QB
David Wells,TB,TE
James Conner,ARI,RB
Ezekiel Elliott,NE,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,NYJ,RB
Jonnu Smith,ATL,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Trevon Wesco,TEN,TE
Deshaun Watson,CLE,QB
Terry McLaurin,WAS,WR
Samaje Perine,DEN,RB
Patrick Mahomes,KC,QB
Mike Gesicki,NE,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Cedrick Wilson,MIA,WR
Allen Lazard,NYJ,WR
Hunter Renfrow,LV,WR
Cody Thompson,SEA,WR
Deebo Samuel,SF,WR
Royce Freeman,LAR,RB
Trent Sherfield,BUF,WR
Chris Godwin,TB,WR
D Ernest Johnson,JAC,RB
Michael Gallup,DAL,WR
Kyle Allen,BUF,QB
Jason Cabinda,DET,RB
Justin Watson,KC,WR
Drew Sample,CIN,TE
Andrew Beck,HOU,RB
Gardner Minshew,IND,QB
Josh Allen,BUF,QB
Ian Thomas,CAR,TE
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Nick Bawden,NYJ,RB
Khari Blasingame,CHI,RB
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,CIN,RB
Van Jefferson,LAR,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,WAS,WR
Juwann Winfree,IND,WR
Qadree Ollison,PIT,RB
Juwan Johnson,NO,TE
D J Chark,CAR,WR
Miles Boykin,PIT,WR
Giovanni Ricci,CAR,TE
Ray Ray McCloud,SF,WR
Mitchell Wilcox,CIN,TE
Jakobi Meyers,LV,WR
Dawson Knox,BUF,TE
Christian Kirk,JAC,WR
JuJu Smith Schuster,NE,WR
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
Adam Trautman,DEN,TE
Damien Harris,BUF,RB
Josiah Deguara,GB,TE
Jesper Horsted,LV,TE
Britain Covey,PHI,WR
Josh Oliver,MIN,TE
Nick Westbrook Ikhine,TEN,WR
Brycen Hopkins,LAR,TE
D J Moore,CHI,WR
Jacob Harris,JAC,WR
Tony Pollard,DAL,RB
Miles Sanders,CAR,RB
Ke Shawn Vaughn,TB,RB
Velus Jones,CHI,WR
Daniel Jones,NYG,QB
Marquise Brown,ARI,WR
Sam Darnold,SF,QB
K J Osborn,MIN,WR
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Parris Campbell,NYG,WR
Olamide Zaccheaus,PHI,WR
Scott Miller,ATL,WR
Donald Parham,LAC,TE
Reggie Gilliam,BUF,RB
Lawrence Cager,NYG,TE
Devin Singletary,HOU,RB
Devin Duvernay,BAL,WR
Michael Pittman,IND,WR
Lynn Bowden,NO,WR
Luke Farrell,JAC,TE
Trayveon Williams,CIN,RB
Charlie Woerner,SF,TE
Darnell Mooney,CHI,WR
John Bates,WAS,TE
Noah Fant,SEA,TE
Joshua Kelley,LAC,RB
Tony Jones,NO,RB
Deonte Harty,BUF,WR
D K Metcalf,SEA,WR
Zack Moss,IND,RB
Jake Funk,IND,RB
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Najee Harris,PIT,RB
Trishton Jackson,MIN,WR
Justin Herbert,LAC,QB
Mecole Hardman,NYJ,WR
Samori Toure,GB,WR
Kylen Granson,IND,TE
Lil Jordan Humphrey,DEN,WR
Khalil Herbert,CHI,RB
Harrison Bryant,CLE,TE
Patrick Taylor,GB,RB
AJ Dillon,GB,RB
Elijah Mitchell,SF,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Rico Dowdle,DAL,RB
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Austin Trammell,LAR,WR
Chase Claypool,CHI,WR
Brandon Johnson,DEN,WR
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Jalen Hurts,PHI,QB
Travis Homer,CHI,RB
Mason Kinsey,TEN,WR
Brady Russell,SEA,TE
Rashid Shaheed,NO,WR
Mac Jones,NE,QB
DeeJay Dallas,SEA,RB
Luke Schoonmaker,DAL,TE
Stone Smartt,LAC,TE
Laviska Shenault,CAR,WR
Isaiah Hodgins,NYG,WR
Pat Freiermuth,PIT,TE
Charlie Jones,CIN,WR
Jaylen Warren,PIT,RB
Jordan Love,GB,QB
DeVonta Smith,PHI,WR
Brock Wright,DET,TE
Grant Calcaterra,PHI,TE
Pierre Strong,CLE,RB
Colby Parkinson,SEA,TE
Rachaad White,TB,RB
Tre McKitty,LAC,TE
D Andre Swift,PHI,RB
Tee Higgins,CIN,WR
Jake Ferguson,DAL,TE
Elijah Dotson,LAC,RB
Emari Demercado,ARI,RB
Quintin Morris,BUF,TE
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Kadarius Toney,KC,WR
Ronnie Rivers,LAR,RB
Trey Sermon,IND,RB
Charlie Kolar,BAL,TE
Donovan Peoples Jones,CLE,WR
Jalen Tolbert,DAL,WR
Isiah Pacheco,KC,RB
Gary Brightwell,NYG,RB
Justin Fields,CHI,QB
Cole Kmet,CHI,TE
Kenneth Gainwell,PHI,RB
Montrell Washington,KC,WR
Nico Collins,HOU,WR
Brian Robinson,WAS,RB
Calvin Austin,PIT,WR
Gabriel Davis,BUF,WR
CeeDee Lamb,DAL,WR
Clyde Edwards Helaire,KC,RB
Cade Otton,TB,TE
Peyton Hendershot,DAL,TE
Jerry Jeudy,DEN,WR
Noah Gray,KC,TE
Michael Carter,NYJ,RB
Emanuel Wilson,GB,RB
