player,team,pos
Marcedes Lewis,CHI,TE
Joe Flacco,CLE,QB
Matthew Slater,NE,WR
Jimmy Graham,NO,TE
Matthew Stafford,LAR,QB
Russell Wilson,DEN,QB
Julio Jones,PHI,WR
Travis Kelce,KC,TE
Latavius Murray,BUF,RB
Brandon Bolden,LV,RB
Randall Cobb,NYJ,WR
Adam Thielen,CAR,WR
A J McCarron,CIN,QB
Marquise Goodwin,CLE,WR
Cordarrelle Patterson,ATL,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Blake Bell,KC,TE
Michael Burton,DEN,RB
MyCole Pruitt,ATL,TE
Raheem Mostert,MIA,RB
Keith Smith,ATL,RB
Chris Manhertz,DEN,TE
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Keenan Allen,LAC,WR
Jerick McKinnon,KC,RB
DeAndre Hopkins,TEN,WR
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Odell Beckham,BAL,WR
Alex Erickson,LAC,WR
Davante Adams,LV,WR
Ty Montgomery,NE,RB
Stephen Anderson,LAC,TE
Nick Vannett,LAC,TE
DeAndre Carter,LV,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
Chris Moore,TEN,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Allen Robinson,PIT,WR
Mack Hollins,ATL,WR
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
Marcus Mariota,PHI,QB
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Jameis Winston,NO,QB
Tyreek Hill,MIA,WR
Dwayne Washington,DEN,RB
Trent Taylor,CHI,WR
Robert Tonyan,CHI,TE
Eric Saubert,HOU,TE
Dare Ogunbowale,HOU,RB
Pharaoh Brown,NE,TE
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Kalif Raymond,DET,WR
Mitchell Trubisky,PIT,QB
Evan Engram,JAC,TE
Godwin Igwebuike,PIT,RB
Demarcus Robinson,LAR,WR
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,LV,TE
River Cracraft,MIA,WR
Tanner Hudson,CIN,TE
Tyler Boyd,CIN,WR
Johnny Mundt,MIN,TE
Hunter Henry,NE,TE
Jakob Johnson,LV,RB
Calvin Ridley,JAC,WR
Keith Kirkwood,NO,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
David Moore,TB,WR
Joshua Dobbs,MIN,QB
Josh Reynolds,DET,WR
Matt Breida,NYG,RB
Nick Mullens,MIN,QB
Zay Jones,JAC,WR
Jamaal Williams,NO,RB
Isaiah McKenzie,IND,WR
Gus Edwards,BAL,RB
Baker Mayfield,TB,QB
Kevin Rader,TEN,TE
Boston Scott,PHI,RB
Austin Ekeler,LAC,RB
Ezekiel Elliott,NE,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,NYJ,RB
Jonnu Smith,ATL,TE
Richie James,KC,WR
Trevon Wesco,TEN,TE
Brandon Powell,MIN,WR
Easton Stick,LAC,QB
Samaje Perine,DEN,RB
Patrick Mahomes,KC,QB
Braxton Berrios,MIA,WR
Mike Gesicki,NE,TE
Courtland Sutton,DEN,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,MIA,WR
Trenton Irwin,CIN,WR
Allen Lazard,NYJ,WR
Hunter Renfrow,LV,WR
Jeremy McNichols,SF,RB
Noah Brown,HOU,WR
Deebo Samuel,SF,WR
Royce Freeman,LAR,RB
Trent Sherfield,BUF,WR
Chris Godwin,TB,WR
D Ernest Johnson,JAC,RB
Michael Gallup,DAL,WR
Justin Watson,KC,WR
Jake Browning,CIN,QB
Chase Edmonds,TB,RB
Drew Sample,CIN,TE
D Onta Foreman,CHI,RB
Andrew Beck,HOU,RB
Gardner Minshew,IND,QB
Josh Allen,BUF,QB
Ian Thomas,CAR,TE
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Nick Bawden,NYJ,RB
Khari Blasingame,CHI,RB
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
Diontae Johnson,PIT,WR
David Njoku,CLE,TE
Joe Mixon,CIN,RB
Van Jefferson,ATL,WR
KaVontae Turpin,DAL,WR
Juwan Johnson,NO,TE
James Proche,CLE,WR
D J Chark,CAR,WR
Miles Boykin,PIT,WR
Mitchell Wilcox,CIN,TE
Jakobi Meyers,LV,WR
Drew Lock,SEA,QB
Dawson Knox,BUF,TE
D J Montgomery,IND,WR
Gunner Olszewski,NYG,WR
JuJu Smith Schuster,NE,WR
Stephen Sullivan,CAR,TE
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,NYG,RB
Josiah Deguara,GB,TE
Britain Covey,PHI,WR
Nick Westbrook Ikhine,TEN,WR
Josh Oliver,MIN,TE
Brycen Hopkins,LAR,TE
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,DAL,RB
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Velus Jones,CHI,WR
Jalen Guyton,LAC,WR
David Montgomery,DET,RB
K J Osborn,MIN,WR
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Olamide Zaccheaus,PHI,WR
Scott Miller,ATL,WR
Mike Strachan,CAR,WR
Donald Parham,LAC,TE
Lawrence Cager,NYG,TE
Reggie Gilliam,BUF,RB
Devin Singletary,HOU,RB
Josh Pederson,JAC,TE
Devin Duvernay,BAL,WR
Ty Johnson,BUF,RB
Jonathan Ward,TEN,RB
Michael Pittman,IND,WR
Lynn Bowden,NO,WR
Luke Farrell,JAC,TE
