player,team,pos
Marcedes Lewis,CHI,TE
Matthew Slater,NE,WR
Matthew Stafford,LAR,QB
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Julio Jones,PHI,WR
Tyrod Taylor,NYG,QB
Travis Kelce,KC,TE
Latavius Murray,BUF,RB
Brandon Bolden,LV,RB
Adam Thielen,CAR,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Marquise Goodwin,CLE,WR
Cordarrelle Patterson,ATL,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Logan Thomas,WAS,TE
Blake Bell,KC,TE
Jimmy Garoppolo,LV,QB
Michael Burton,DEN,RB
MyCole Pruitt,ATL,TE
Damien Williams,ARI,RB
Keith Smith,ATL,RB
Raheem Mostert,MIA,RB
Chris Manhertz,DEN,TE
Jordan Akins,CLE,TE
Keenan Allen,LAC,WR
Jerick McKinnon,KC,RB
DeAndre Hopkins,TEN,WR
Darren Waller,NYG,TE
Tyler Lockett,SEA,WR
Tyler Kroft,MIA,TE
Willie Snead,SF,WR
Odell Beckham,BAL,WR
Davante Adams,LV,WR
Tyler Higbee,LAR,TE
C J Uzomah,NYJ,TE
DeVante Parker,NE,WR
Ty Montgomery,NE,RB
Michael Thomas,NO,WR
Taylor Heinicke,ATL,QB
DeAndre Carter,LV,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
Chris Moore,TEN,WR
Jamison Crowder,WAS,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Hayden Hurst,CAR,TE
Allen Robinson,PIT,WR
Mack Hollins,ATL,WR
Geoff Swaim,ARI,TE
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
Byron Pringle,WAS,WR
Cooper Rush,DAL,QB
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Tyreek Hill,MIA,WR
Dwayne Washington,DEN,RB
Trent Taylor,CHI,WR
Robert Tonyan,CHI,TE
Eric Saubert,DAL,TE
Pharaoh Brown,NE,TE
Dare Ogunbowale,HOU,RB
Alex Armah,WAS,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Kalif Raymond,DET,WR
Mitchell Trubisky,PIT,QB
Evan Engram,JAC,TE
Godwin Igwebuike,PIT,RB
Demarcus Robinson,LAR,WR
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,LV,TE
Tyler Boyd,CIN,WR
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Hunter Henry,NE,TE
Jakob Johnson,LV,RB
Zach Pascal,ARI,WR
Calvin Ridley,JAC,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
Joshua Dobbs,ARI,QB
Ross Dwelley,SF,TE
Josh Reynolds,DET,WR
P J Walker,CLE,QB
Matt Breida,NYG,RB
Jamal Agnew,JAC,WR
Jamaal Williams,NO,RB
Isaiah McKenzie,IND,WR
Gus Edwards,BAL,RB
Baker Mayfield,TB,QB
Kevin Rader,TEN,TE
Boston Scott,PHI,RB
Austin Ekeler,LAC,RB
Ezekiel Elliott,NE,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,NYJ,RB
Jonnu Smith,ATL,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Trevon Wesco,TEN,TE
Terry McLaurin,WAS,WR
Samaje Perine,DEN,RB
Patrick Mahomes,KC,QB
Mike Gesicki,NE,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,MIA,WR
Trenton Irwin,CIN,WR
Allen Lazard,NYJ,WR
Hunter Renfrow,LV,WR
Malik Taylor,NYJ,WR
Noah Brown,HOU,WR
Tre Quan Smith,DEN,WR
Royce Freeman,LAR,RB
D Ernest Johnson,JAC,RB
Trent Sherfield,BUF,WR
Chris Godwin,TB,WR
Michael Gallup,DAL,WR
Justin Watson,KC,WR
Chase Edmonds,TB,RB
Drew Sample,CIN,TE
D Onta Foreman,CHI,RB
Andrew Beck,HOU,RB
Gardner Minshew,IND,QB
Josh Allen,BUF,QB
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Nick Bawden,NYJ,RB
Khari Blasingame,CHI,RB
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
Brett Rypien,LAR,QB
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,CIN,RB
Van Jefferson,ATL,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,WAS,WR
Juwann Winfree,IND,WR
Jamycal Hasty,JAC,RB
Juwan Johnson,NO,TE
D J Chark,CAR,WR
Devine Ozigbo,DET,RB
Miles Boykin,PIT,WR
Ray Ray McCloud,SF,WR
Mitchell Wilcox,CIN,TE
Jakobi Meyers,LV,WR
Christian Kirk,JAC,WR
Andy Isabella,BUF,WR
JuJu Smith Schuster,NE,WR
Gunner Olszewski,NYG,WR
Stephen Sullivan,CAR,TE
Joe Burrow,CIN,QB
Andre Baccellia,ARI,WR
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,NYG,RB
Josiah Deguara,GB,TE
Myles Gaskin,LAR,RB
Jesper Horsted,LV,TE
Britain Covey,PHI,WR
Josh Oliver,MIN,TE
Nick Westbrook Ikhine,TEN,WR
D Wayne Eskridge,SEA,WR
Brycen Hopkins,LAR,TE
D J Moore,CHI,WR
Tony Pollard,DAL,RB
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Ke Shawn Vaughn,TB,RB
Velus Jones,CHI,WR
Marquise Brown,ARI,WR
K J Osborn,MIN,WR
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Parris Campbell,NYG,WR
Olamide Zaccheaus,PHI,WR
Scott Miller,ATL,WR
Donald Parham,LAC,TE
Darrell Henderson,LAR,RB
Reggie Gilliam,BUF,RB
Devin Singletary,HOU,RB
Devin Duvernay,BAL,WR
Ty Johnson,BUF,RB
Jonathan Ward,TEN,RB
Chris Evans,CIN,RB
Michael Pittman,IND,WR
Lynn Bowden,NO,WR
Luke Farrell,JAC,TE
Charlie Woerner,SF,TE
Trayveon Williams,CIN,RB
Darnell Mooney,CHI,WR
Simi Fehoko,LAC,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Joshua Kelley,LAC,RB
Deonte Harty,BUF,WR
D K Metcalf,SEA,WR
Zack Moss,IND,RB
N Keal Harry,MIN,WR
Sean McKeon,DAL,TE
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Najee Harris,PIT,RB
Trishton Jackson,MIN,WR
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Brandon Aiyuk,SF,WR
Jaren Hall,MIN,QB
Samori Toure,GB,WR
Rodney Williams,PIT,TE
Lil Jordan Humphrey,DEN,WR
Harrison Bryant,CLE,TE
AJ Dillon,GB,RB
Elijah Mitchell,SF,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Kenny Pickett,PIT,QB
Rico Dowdle,DAL,RB
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Austin Trammell,LAR,WR
Chase Claypool,MIA,WR
Darrynton Evans,CHI,RB
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Tommy DeVito,NYG,QB
Travis Homer,CHI,RB
Jalen Hurts,PHI,QB
Irv Smith,CIN,TE
Brady Russell,SEA,TE
Rashid Shaheed,NO,WR
Mac Jones,NE,QB
DeeJay Dallas,SEA,RB
Luke Schoonmaker,DAL,TE
Stone Smartt,LAC,TE
Elijah Cooks,JAC,WR
Isaiah Hodgins,NYG,WR
Jaylen Warren,PIT,RB
Jordan Love,GB,QB
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Brock Wright,DET,TE
Grant Calcaterra,PHI,TE
Pierre Strong,CLE,RB
Salvon Ahmed,MIA,RB
Jalen Reagor,NE,WR
Colby Parkinson,SEA,TE
Tre McKitty,LAC,TE
D Andre Swift,PHI,RB
Rachaad White,TB,RB
Jake Ferguson,DAL,TE
Tee Higgins,CIN,WR
Jonathan Taylor,IND,RB
Emari Demercado,ARI,RB
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Kadarius Toney,KC,WR
Jason Brownlee,NYJ,WR
Trey Sermon,IND,RB
Charlie Kolar,BAL,TE
Donovan Peoples Jones,CLE,WR
Jalen Tolbert,DAL,WR
Owen Wright,BAL,RB
Isiah Pacheco,KC,RB
Cole Kmet,CHI,TE
Kenneth Gainwell,PHI,RB
Nico Collins,HOU,WR
Brian Robinson,WAS,RB
Calvin Austin,PIT,WR
