player,team,pos
Marcedes Lewis,CHI,TE
Matthew Slater,NE,WR
Matthew Stafford,LAR,QB
Russell Wilson,DEN,QB
Julio Jones,PHI,WR
Travis Kelce,KC,TE
Latavius Murray,BUF,RB
Brandon Bolden,LV,RB
Adam Thielen,CAR,WR
Taysom Hill,NO,TE
Randall Cobb,NYJ,WR
Geno Smith,SEA,QB
Cordarrelle Patterson,ATL,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Logan Thomas,WAS,TE
Blake Bell,KC,TE
Michael Burton,DEN,RB
MyCole Pruitt,ATL,TE
Keith Smith,ATL,RB
Chris Manhertz,DEN,TE
Robert Woods,HOU,WR
Raheem Mostert,MIA,RB
Jordan Akins,CLE,TE
Keenan Allen,LAC,WR
DeAndre Hopkins,TEN,WR
Tyler Lockett,SEA,WR
Tyler Kroft,MIA,TE
Odell Beckham,BAL,WR
Alex Erickson,LAC,WR
Davante Adams,LV,WR
Carson Wentz,LAR,QB
Tyler Higbee,LAR,TE
C J Uzomah,NYJ,TE
DeVante Parker,NE,WR
Ty Montgomery,NE,RB
Sterling Shepard,NYG,WR
DeAndre Carter,LV,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
Chris Moore,TEN,WR
Jamison Crowder,WAS,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Allen Robinson,PIT,WR
Geoff Swaim,ARI,TE
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
Byron Pringle,WAS,WR
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Tyreek Hill,MIA,WR
Trent Taylor,CHI,WR
Robert Tonyan,CHI,TE
Eric Saubert,HOU,TE
Pharaoh Brown,NE,TE
Dare Ogunbowale,HOU,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Godwin Igwebuike,PIT,RB
Demarcus Robinson,LAR,WR
Tim Boyle,NYJ,QB
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,LV,TE
River Cracraft,MIA,WR
Tanner Hudson,CIN,TE
Tyler Boyd,CIN,WR
Johnny Mundt,MIN,TE
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
Calvin Ridley,JAC,WR
Keith Kirkwood,NO,WR
KhaDarel Hodge,ATL,WR
David Moore,TB,WR
Joshua Dobbs,MIN,QB
Ross Dwelley,SF,TE
Josh Reynolds,DET,WR
P J Walker,CLE,QB
Matt Breida,NYG,RB
Mike White,MIA,QB
Zay Jones,JAC,WR
Jamaal Williams,NO,RB
Isaiah McKenzie,IND,WR
Gus Edwards,BAL,RB
Baker Mayfield,TB,QB
Kevin Rader,TEN,TE
Boston Scott,PHI,RB
James Conner,ARI,RB
Austin Ekeler,LAC,RB
Parker Hesse,ATL,TE
Ezekiel Elliott,NE,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,NYJ,RB
Jonnu Smith,ATL,TE
Richie James,KC,WR
Brandon Powell,MIN,WR
Trevon Wesco,TEN,TE
Samaje Perine,DEN,RB
Patrick Mahomes,KC,QB
Terry McLaurin,WAS,WR
Mike Gesicki,NE,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,MIA,WR
Trenton Irwin,CIN,WR
Hunter Renfrow,LV,WR
Deebo Samuel,SF,WR
Royce Freeman,LAR,RB
Trent Sherfield,BUF,WR
Chris Godwin,TB,WR
D Ernest Johnson,JAC,RB
Michael Gallup,DAL,WR
Justin Watson,KC,WR
Jake Browning,CIN,QB
Chase Edmonds,TB,RB
Drew Sample,CIN,TE
Andrew Beck,HOU,RB
Gardner Minshew,IND,QB
Josh Allen,BUF,QB
David Sills,DEN,WR
Ian Thomas,CAR,TE
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Nick Bawden,NYJ,RB
Khari Blasingame,CHI,RB
Diontae Johnson,PIT,WR
David Njoku,CLE,TE
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
Dalton Schultz,HOU,TE
Joe Mixon,CIN,RB
Van Jefferson,ATL,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,WAS,WR
Juwan Johnson,NO,TE
James Proche,CLE,WR
D J Chark,CAR,WR
Equanimeous St Brown,CHI,WR
Miles Boykin,PIT,WR
Ray Ray McCloud,SF,WR
Mitchell Wilcox,CIN,TE
Jakobi Meyers,LV,WR
D J Montgomery,IND,WR
Andy Isabella,BUF,WR
Christian Kirk,JAC,WR
JuJu Smith Schuster,NE,WR
Gunner Olszewski,NYG,WR
Stephen Sullivan,CAR,TE
Andre Baccellia,ARI,WR
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,NYG,RB
Jesper Horsted,LV,TE
Britain Covey,PHI,WR
Josh Oliver,MIN,TE
Nick Westbrook Ikhine,TEN,WR
D Wayne Eskridge,SEA,WR
Steven Sims,HOU,WR
D J Moore,CHI,WR
Irvin Charles,NYJ,WR
Miles Sanders,CAR,RB
Tony Pollard,DAL,RB
Foster Moreau,NO,TE
Velus Jones,CHI,WR
Marquise Brown,ARI,WR
Jalen Guyton,LAC,WR
K J Osborn,MIN,WR
David Montgomery,DET,RB
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Noah Togiai,PHI,TE
Jauan Jennings,SF,WR
Parris Campbell,NYG,WR
Olamide Zaccheaus,PHI,WR
Scott Miller,ATL,WR
Kyler Murray,ARI,QB
Donald Parham,LAC,TE
Lawrence Cager,NYG,TE
Reggie Gilliam,BUF,RB
Devin Singletary,HOU,RB
Devin Duvernay,BAL,WR
Ty Johnson,BUF,RB
Michael Pittman,IND,WR
Chris Blair,ATL,WR
Lynn Bowden,NO,WR
Luke Farrell,JAC,TE
Trayveon Williams,CIN,RB
Charlie Woerner,SF,TE
Darnell Mooney,CHI,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Joshua Kelley,LAC,RB
Noah Fant,SEA,TE
Zack Moss,IND,RB
N Keal Harry,MIN,WR
D K Metcalf,SEA,WR
Sean McKeon,DAL,TE
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
La Mical Perine,KC,RB
Hunter Kampmoyer,LAC,TE
Kene Nwangwu,MIN,RB
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Kyle Trask,TB,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Brandon Aiyuk,SF,WR
Kylen Granson,IND,TE
Samori Toure,GB,WR
Rodney Williams,PIT,TE
Lil Jordan Humphrey,DEN,WR
Khalil Herbert,CHI,RB
Harrison Bryant,CLE,TE
Albert Okwuegbunam,PHI,TE
Patrick Taylor,GB,RB
AJ Dillon,GB,RB
Elijah Mitchell,SF,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Quez Watkins,PHI,WR
Rico Dowdle,DAL,RB
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Austin Trammell,LAR,WR
Darrynton Evans,MIA,RB
Travis Homer,CHI,RB
Jake Bobo,SEA,WR
Tommy DeVito,NYG,QB
Jalen Hurts,PHI,QB
Irv Smith,CIN,TE
Hunter Long,LAR,TE
Rashid Shaheed,NO,WR
Aidan O Connell,LV,QB
Brady Russell,SEA,TE
Mac Jones,NE,QB
DeeJay Dallas,SEA,RB
Luke Schoonmaker,DAL,TE
Stone Smartt,LAC,TE
Laviska Shenault,CAR,WR
Isaiah Hodgins,NYG,WR
Pat Freiermuth,PIT,TE
Charlie Jones,CIN,WR
Jaylen Warren,PIT,RB
Jordan Love,GB,QB
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Brock Wright,DET,TE
Pierre Strong,CLE,RB
Colby Parkinson,SEA,TE
Rachaad White,TB,RB
D Andre Swift,PHI,RB
Jonathan Taylor,IND,RB
Emari Demercado,ARI,RB
Jake Ferguson,DAL,TE
Quintin Morris,BUF,TE
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Trey Sermon,IND,RB
Jason Brownlee,NYJ,WR
Charlie Kolar,BAL,TE
Donovan Peoples Jones,DET,WR
Jalen Nailor,MIN,WR
Isiah Pacheco,KC,RB
Jalen Tolbert,DAL,WR
Justin Fields,CHI,QB
Cole Kmet,CHI,TE
Kenneth Gainwell,PHI,RB
Montrell Washington,KC,WR
Nico Collins,HOU,WR
Clayton Tune,ARI,QB
Calvin Austin,PIT,WR
Brian Robinson,WAS,RB
Gabriel Davis,BUF,WR
Clyde Edwards Helaire,KC,RB
CeeDee Lamb,DAL,WR
Cade Otton,TB,TE
