player,team,pos
Marcedes Lewis,CHI,TE
Matthew Slater,NE,WR
Brian Hoyer,LV,QB
Jimmy Graham,NO,TE
Matthew Stafford,LAR,QB
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Julio Jones,PHI,WR
Tyrod Taylor,NYG,QB
Travis Kelce,KC,TE
Latavius Murray,BUF,RB
Brandon Bolden,LV,RB
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,ARI,TE
Marquise Goodwin,CLE,WR
Cordarrelle Patterson,ATL,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Logan Thomas,WAS,TE
Blake Bell,KC,TE
Michael Burton,DEN,RB
MyCole Pruitt,ATL,TE
Damien Williams,ARI,RB
Keith Smith,ATL,RB
Raheem Mostert,MIA,RB
Chris Manhertz,DEN,TE
Jordan Akins,CLE,TE
Keenan Allen,LAC,WR
Jerick McKinnon,KC,RB
Darren Waller,NYG,TE
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Odell Beckham,BAL,WR
Davante Adams,LV,WR
Tyler Higbee,LAR,TE
DeVante Parker,NE,WR
Ty Montgomery,NE,RB
Sterling Shepard,NYG,WR
Michael Thomas,NO,WR
DeAndre Carter,LV,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
Jamison Crowder,WAS,WR
C J Ham,MIN,RB
Mike Evans,TB,WR
Allen Robinson,PIT,WR
Mack Hollins,ATL,WR
Geoff Swaim,ARI,TE
Mo Alie Cox,IND,TE
George Kittle,SF,TE
Byron Pringle,WAS,WR
Stefon Diggs,BUF,WR
Tyreek Hill,MIA,WR
Dwayne Washington,DEN,RB
Trent Taylor,CHI,WR
Robert Tonyan,CHI,TE
Pharaoh Brown,NE,TE
Nathan Peterman,CHI,QB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Godwin Igwebuike,PIT,RB
Demarcus Robinson,LAR,WR
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,LV,TE
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Hunter Henry,NE,TE
Jakob Johnson,LV,RB
Calvin Ridley,JAC,WR
Keith Kirkwood,NO,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
Ross Dwelley,SF,TE
Joshua Dobbs,ARI,QB
Josh Reynolds,DET,WR
P J Walker,CLE,QB
Matt Breida,NYG,RB
Jamal Agnew,JAC,WR
Jamaal Williams,NO,RB
Isaiah McKenzie,IND,WR
Gus Edwards,BAL,RB
Baker Mayfield,TB,QB
Boston Scott,PHI,RB
Austin Ekeler,LAC,RB
Ezekiel Elliott,NE,RB
Alvin Kamara,NO,RB
Kendrick Bourne,NE,WR
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Jonnu Smith,ATL,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Deshaun Watson,CLE,QB
Terry McLaurin,WAS,WR
Samaje Perine,DEN,RB
Patrick Mahomes,KC,QB
Mike Gesicki,NE,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,MIA,WR
Hunter Renfrow,LV,WR
Cody Thompson,SEA,WR
Royce Freeman,LAR,RB
Trent Sherfield,BUF,WR
Chris Godwin,TB,WR
D Ernest Johnson,JAC,RB
Keelan Doss,LAC,WR
D Onta Foreman,CHI,RB
Gardner Minshew,IND,QB
Josh Allen,BUF,QB
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Khari Blasingame,CHI,RB
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Van Jefferson,ATL,WR
Curtis Samuel,WAS,WR
Juwann Winfree,IND,WR
Devine Ozigbo,DET,RB
Miles Boykin,PIT,WR
Ray Ray McCloud,SF,WR
Jakobi Meyers,LV,WR
Dawson Knox,BUF,TE
Christian Kirk,JAC,WR
Easop Winston,SEA,WR
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Trautman,DEN,TE
Saquon Barkley,NYG,RB
Josiah Deguara,GB,TE
Jesper Horsted,LV,TE
Britain Covey,PHI,WR
Josh Oliver,MIN,TE
Brycen Hopkins,LAR,TE
D J Moore,CHI,WR
Ke Shawn Vaughn,TB,RB
Foster Moreau,NO,TE
Velus Jones,CHI,WR
Marquise Brown,ARI,WR
K J Osborn,MIN,WR
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Parris Campbell,NYG,WR
Olamide Zaccheaus,PHI,WR
Scott Miller,ATL,WR
Donald Parham,LAC,TE
Darrell Henderson,LAR,RB
Reggie Gilliam,BUF,RB
Devin Duvernay,BAL,WR
Ty Johnson,BUF,RB
Michael Pittman,IND,WR
Charlie Woerner,SF,TE
Lynn Bowden,NO,WR
Luke Farrell,JAC,TE
Darnell Mooney,CHI,WR
Simi Fehoko,LAC,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Joshua Kelley,LAC,RB
Deonte Harty,BUF,WR
Zack Moss,IND,RB
N Keal Harry,MIN,WR
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
Tyler Huntley,BAL,QB
Kene Nwangwu,MIN,RB
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Trishton Jackson,MIN,WR
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Brandon Aiyuk,SF,WR
Tanner Conner,MIA,TE
Samori Toure,GB,WR
Rodney Williams,PIT,TE
Lil Jordan Humphrey,DEN,WR
Harrison Bryant,CLE,TE
Elijah Mitchell,SF,RB
AJ Dillon,GB,RB
Ty Chandler,MIN,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Austin Trammell,LAR,WR
Chase Claypool,MIA,WR
Darrynton Evans,CHI,RB
Brandon Johnson,DEN,WR
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Travis Homer,CHI,RB
Jalen Hurts,PHI,QB
Brady Russell,SEA,TE
Aidan O Connell,LV,QB
Rashid Shaheed,NO,WR
Mac Jones,NE,QB
Mohamed Ibrahim,DET,RB
DeeJay Dallas,SEA,RB
Stone Smartt,LAC,TE
Elijah Cooks,JAC,WR
Isaiah Hodgins,NYG,WR
Jaylen Warren,PIT,RB
Jordan Love,GB,QB
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Brock Wright,DET,TE
Grant Calcaterra,PHI,TE
Pierre Strong,CLE,RB
Salvon Ahmed,MIA,RB
Jalen Reagor,NE,WR
Colby Parkinson,SEA,TE
Rachaad White,TB,RB
D Andre Swift,PHI,RB
Tucker Fisk,ATL,TE
Jonathan Taylor,IND,RB
Emari Demercado,ARI,RB
Connor Heyward,PIT,TE
Kadarius Toney,KC,WR
Travis Etienne,JAC,RB
Trey Sermon,IND,RB
Charlie Kolar,BAL,TE
Deon Jackson,CLE,RB
Donovan Peoples Jones,CLE,WR
Gary Brightwell,NYG,RB
Isiah Pacheco,KC,RB
Cole Kmet,CHI,TE
Kenneth Gainwell,PHI,RB
Brian Robinson,WAS,RB
Clayton Tune,ARI,QB
Calvin Austin,PIT,WR
Gabriel Davis,BUF,WR
Clyde Edwards Helaire,KC,RB
Cade Otton,TB,TE
Jerry Jeudy,DEN,WR
Noah Gray,KC,TE
Emanuel Wilson,GB,RB
Christian Watson,GB,WR
Jordan Mason,SF,RB
Cam Akers,MIN,RB
Will Mallory,IND,TE
Nate Adkins,DEN,TE
James Mitchell,DET,TE
Desmond Ridder,ATL,QB
Jerome Ford,CLE,RB
Zamir White,LV,RB
Joshua Palmer,LAC,WR
James Cook,BUF,RB
SaRodorick Thompson,SEA,RB
Tutu Atwell,LAR,WR
Trevor Lawrence,JAC,QB
Dalton Kincaid,BUF,TE
Amon Ra St Brown,DET,WR
Keaontay Ingram,ARI,RB
Dyami Brown,WAS,WR
Eric Gray,NYG,RB
Antoine Green,DET,WR
Trey McBride,ARI,TE
Rashod Bateman,BAL,WR
Justyn Ross,KC,WR
Deven Thompkins,TB,WR
Brock Purdy,SF,QB
Ronnie Bell,SF,WR
Khalil Shakir,BUF,WR
Michael Wilson,ARI,WR
Cole Turner,WAS,TE
Jahan Dotson,WAS,WR
Elijah Moore,CLE,WR
Romeo Doubs,GB,WR
Tyler Allgeier,ATL,RB
Isaiah Likely,BAL,TE
Rashee Rice,KC,WR
Javonte Williams,DEN,RB
Jayden Reed,GB,WR
Alec Pierce,IND,WR
Ben Sims,GB,TE
Tyson Bagent,CHI,QB
Rondale Moore,ARI,WR
Payne Durham,TB,TE
Chris Olave,NO,WR
Julian Hill,MIA,TE
Luke Musgrave,GB,TE
