player,team,pos
Marcedes Lewis,CHI,TE
Joe Flacco,CLE,QB
Matthew Slater,NE,WR
Jimmy Graham,NO,TE
Matthew Stafford,LAR,QB
Case Keenum,HOU,QB
Russell Wilson,DEN,QB
Julio Jones,PHI,WR
Tyrod Taylor,NYG,QB
Travis Kelce,KC,TE
Latavius Murray,BUF,RB
Brandon Bolden,LV,RB
Randall Cobb,NYJ,WR
Adam Thielen,CAR,WR
Taysom Hill,NO,TE
Marquise Goodwin,CLE,WR
Cordarrelle Patterson,ATL,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Logan Thomas,WAS,TE
Blake Bell,KC,TE
Trevor Siemian,NYJ,QB
Michael Burton,DEN,RB
MyCole Pruitt,ATL,TE
Keith Smith,ATL,RB
Raheem Mostert,MIA,RB
Robert Woods,HOU,WR
Chris Manhertz,DEN,TE
Jordan Akins,CLE,TE
Jerick McKinnon,KC,RB
DeAndre Hopkins,TEN,WR
Darren Waller,NYG,TE
Tyler Lockett,SEA,WR
Tyler Kroft,MIA,TE
Chris Conley,SF,WR
Odell Beckham,BAL,WR
Alex Erickson,LAC,WR
Jacoby Brissett,WAS,QB
Davante Adams,LV,WR
Tyler Higbee,LAR,TE
DeVante Parker,NE,WR
Stephen Anderson,LAC,TE
Sterling Shepard,NYG,WR
Nick Vannett,LAC,TE
DeAndre Carter,LV,WR
Robbie Anderson,MIA,WR
Nelson Agholor,BAL,WR
Cooper Kupp,LAR,WR
Ameer Abdullah,LV,RB
Chris Moore,TEN,WR
Jamison Crowder,WAS,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Allen Robinson,PIT,WR
Geoff Swaim,ARI,TE
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
Byron Pringle,WAS,WR
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Kenyan Drake,GB,RB
Jonathan Williams,WAS,RB
Dwayne Washington,DEN,RB
Trent Taylor,CHI,WR
Robert Tonyan,CHI,TE
Eric Saubert,HOU,TE
Pharaoh Brown,NE,TE
Dare Ogunbowale,HOU,RB
Alex Armah,WAS,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Kalif Raymond,DET,WR
Mitchell Trubisky,PIT,QB
Evan Engram,JAC,TE
Godwin Igwebuike,PIT,RB
Demarcus Robinson,LAR,WR
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
River Cracraft,MIA,WR
Austin Hooper,LV,TE
Tanner Hudson,CIN,TE
Tyler Boyd,CIN,WR
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Hunter Henry,NE,TE
Jakob Johnson,LV,RB
Zach Pascal,ARI,WR
Calvin Ridley,JAC,WR
Keith Kirkwood,NO,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
David Moore,TB,WR
Josh Reynolds,DET,WR
Matt Breida,NYG,RB
Nick Mullens,MIN,QB
Mike White,MIA,QB
Zay Jones,JAC,WR
Jamal Agnew,JAC,WR
Jamaal Williams,NO,RB
Gus Edwards,BAL,RB
Baker Mayfield,TB,QB
Kevin Rader,TEN,TE
Boston Scott,PHI,RB
James Conner,ARI,RB
Austin Ekeler,LAC,RB
Mason Rudolph,PIT,QB
Ezekiel Elliott,NE,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,NYJ,RB
Jonnu Smith,ATL,TE
Richie James,KC,WR
Trevon Wesco,TEN,TE
Brandon Powell,MIN,WR
Terry McLaurin,WAS,WR
Patrick Mahomes,KC,QB
Samaje Perine,DEN,RB
Easton Stick,LAC,QB
Mike Gesicki,NE,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,MIA,WR
Trenton Irwin,CIN,WR
Allen Lazard,NYJ,WR
Hunter Renfrow,LV,WR
Noah Brown,HOU,WR
Deebo Samuel,SF,WR
Royce Freeman,LAR,RB
Trent Sherfield,BUF,WR
Chris Godwin,TB,WR
D Ernest Johnson,JAC,RB
Michael Gallup,DAL,WR
Kyle Allen,BUF,QB
Justin Watson,KC,WR
Jake Browning,CIN,QB
Chase Edmonds,TB,RB
Drew Sample,CIN,TE
D Onta Foreman,CHI,RB
Andrew Beck,HOU,RB
Gardner Minshew,IND,QB
Josh Allen,BUF,QB
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Nick Bawden,NYJ,RB
Khari Blasingame,CHI,RB
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,CIN,RB
Van Jefferson,ATL,WR
KaVontae Turpin,DAL,WR
Jarrett Stidham,DEN,QB
Curtis Samuel,WAS,WR
Jamycal Hasty,NE,RB
Juwan Johnson,NO,TE
James Proche,CLE,WR
D J Chark,CAR,WR
Miles Boykin,PIT,WR
Mitchell Wilcox,CIN,TE
Drew Lock,SEA,QB
Jakobi Meyers,LV,WR
Dawson Knox,BUF,TE
D J Montgomery,IND,WR
Gunner Olszewski,NYG,WR
Stephen Sullivan,CAR,TE
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,NYG,RB
Josiah Deguara,GB,TE
Myles Gaskin,MIN,RB
Jesper Horsted,LV,TE
Britain Covey,PHI,WR
Nick Westbrook Ikhine,TEN,WR
Josh Oliver,MIN,TE
Brycen Hopkins,LAR,TE
Steven Sims,HOU,WR
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,DAL,RB
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Velus Jones,CHI,WR
