player,team,pos
Joe Flacco,CLE,QB
Matthew Slater,NE,WR
Jimmy Graham,NO,TE
Matthew Stafford,LAR,QB
Ryan Tannehill,TEN,QB
Russell Wilson,DEN,QB
Julio Jones,PHI,WR
Travis Kelce,KC,TE
Adam Thielen,CAR,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Cordarrelle Patterson,ATL,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Logan Thomas,WAS,TE
Blake Bell,KC,TE
Trevor Siemian,NYJ,QB
Michael Burton,DEN,RB
MyCole Pruitt,ATL,TE
Keith Smith,ATL,RB
Raheem Mostert,MIA,RB
Chris Manhertz,DEN,TE
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Keenan Allen,LAC,WR
DeAndre Hopkins,TEN,WR
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Alex Erickson,LAC,WR
Jacoby Brissett,WAS,QB
Tyler Higbee,LAR,TE
C J Uzomah,NYJ,TE
DeVante Parker,NE,WR
Ty Montgomery,NE,RB
Stephen Anderson,LAC,TE
Cooper Kupp,LAR,WR
Chris Moore,TEN,WR
Jamison Crowder,WAS,WR
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Allen Robinson,PIT,WR
Geoff Swaim,ARI,TE
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
Marcus Mariota,PHI,QB
C J Beathard,JAC,QB
Byron Pringle,WAS,WR
Derrick Henry,TEN,RB
Jameis Winston,NO,QB
Tyreek Hill,MIA,WR
Dwayne Washington,DEN,RB
Eric Saubert,HOU,TE
Pharaoh Brown,NE,TE
Dare Ogunbowale,HOU,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Kalif Raymond,DET,WR
Mitchell Trubisky,PIT,QB
Evan Engram,JAC,TE
Godwin Igwebuike,PIT,RB
Demarcus Robinson,LAR,WR
Tim Boyle,NYJ,QB
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
River Cracraft,MIA,WR
Tanner Hudson,CIN,TE
Tyler Boyd,CIN,WR
Hunter Henry,NE,TE
Calvin Ridley,JAC,WR
Keith Kirkwood,NO,WR
KhaDarel Hodge,ATL,WR
David Moore,TB,WR
Ross Dwelley,SF,TE
Josh Reynolds,DET,WR
Mike White,MIA,QB
Zay Jones,JAC,WR
Jamaal Williams,NO,RB
Isaiah McKenzie,IND,WR
Baker Mayfield,TB,QB
Kevin Rader,TEN,TE
Boston Scott,PHI,RB
James Conner,ARI,RB
Austin Ekeler,LAC,RB
Parker Hesse,ATL,TE
Ezekiel Elliott,NE,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,NYJ,RB
Jonnu Smith,ATL,TE
Richie James,KC,WR
Trevon Wesco,TEN,TE
Terry McLaurin,WAS,WR
Samaje Perine,DEN,RB
Patrick Mahomes,KC,QB
Mike Gesicki,NE,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,MIA,WR
Trenton Irwin,CIN,WR
Allen Lazard,NYJ,WR
Noah Brown,HOU,WR
Cody Thompson,SEA,WR
Deebo Samuel,SF,WR
Royce Freeman,LAR,RB
D Ernest Johnson,JAC,RB
Chris Godwin,TB,WR
Michael Gallup,DAL,WR
Justin Watson,KC,WR
Jake Browning,CIN,QB
Chase Edmonds,TB,RB
Drew Sample,CIN,TE
Andrew Beck,HOU,RB
Gardner Minshew,IND,QB
Ian Thomas,CAR,TE
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Nick Bawden,NYJ,RB
Diontae Johnson,PIT,WR
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Will Dissly,SEA,TE
Joe Mixon,CIN,RB
Van Jefferson,ATL,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,WAS,WR
Juwan Johnson,NO,TE
James Proche,CLE,WR
D J Chark,CAR,WR
Miles Boykin,PIT,WR
Mitchell Wilcox,CIN,TE
Christian Kirk,JAC,WR
D J Montgomery,IND,WR
JuJu Smith Schuster,NE,WR
Stephen Sullivan,CAR,TE
Andre Baccellia,ARI,WR
Adam Prentice,NO,RB
Adam Trautman,DEN,TE
Dan Chisena,ARI,WR
Britain Covey,PHI,WR
Nick Westbrook Ikhine,TEN,WR
Irvin Charles,NYJ,WR
Miles Sanders,CAR,RB
Tony Pollard,DAL,RB
Foster Moreau,NO,TE
Marquise Brown,ARI,WR
Sam Darnold,SF,QB
Jalen Guyton,LAC,WR
David Montgomery,DET,RB
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
Jauan Jennings,SF,WR
Olamide Zaccheaus,PHI,WR
Scott Miller,ATL,WR
Kyler Murray,ARI,QB
Mike Strachan,CAR,WR
Donald Parham,LAC,TE
Devin Singletary,HOU,RB
Josh Pederson,JAC,TE
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Lynn Bowden,NO,WR
Charlie Woerner,SF,TE
Trayveon Williams,CIN,RB
John Bates,WAS,TE
Joshua Kelley,LAC,RB
Noah Fant,SEA,TE
Zack Moss,IND,RB
D K Metcalf,SEA,WR
Sean McKeon,DAL,TE
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Brandon Aiyuk,SF,WR
Tanner Conner,MIA,TE
Marquez Callaway,NO,WR
Kylen Granson,IND,TE
Rodney Williams,PIT,TE
Lil Jordan Humphrey,DEN,WR
Harrison Bryant,CLE,TE
Albert Okwuegbunam,PHI,TE
Patrick Taylor,GB,RB
AJ Dillon,GB,RB
Elijah Mitchell,SF,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Quez Watkins,PHI,WR
Rico Dowdle,DAL,RB
Antonio Gibson,WAS,RB
Austin Trammell,LAR,WR
Chase Claypool,MIA,WR
Lucas Krull,DEN,TE
Brandon Johnson,DEN,WR
Drew Ogletree,IND,TE
Jake Bobo,SEA,WR
Jalen Hurts,PHI,QB
Irv Smith,CIN,TE
James Robinson,GB,RB
Hunter Long,LAR,TE
Brady Russell,SEA,TE
DeeJay Dallas,SEA,RB
Luke Schoonmaker,DAL,TE
Stone Smartt,LAC,TE
Davis Mills,HOU,QB
Pat Freiermuth,PIT,TE
Charlie Jones,CIN,WR
Jaylen Warren,PIT,RB
Jordan Love,GB,QB
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Brock Wright,DET,TE
Grant Calcaterra,PHI,TE
Pierre Strong,CLE,RB
Jalen Reagor,NE,WR
Colby Parkinson,SEA,TE
Rachaad White,TB,RB
D Andre Swift,PHI,RB
Tee Higgins,CIN,WR
Emari Demercado,ARI,RB
Jake Ferguson,DAL,TE
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Kadarius Toney,KC,WR
Jason Brownlee,NYJ,WR
Trey Sermon,IND,RB
Donovan Peoples Jones,DET,WR
Isiah Pacheco,KC,RB
Jalen Tolbert,DAL,WR
Princeton Fant,DAL,TE
Kenneth Gainwell,PHI,RB
Nico Collins,HOU,WR
Brian Robinson,WAS,RB
Calvin Austin,PIT,WR
Clyde Edwards Helaire,KC,RB
CeeDee Lamb,DAL,WR
Cade Otton,TB,TE
Colton Dowell,TEN,WR
Jerry Jeudy,DEN,WR
Bailey Zappe,NE,QB
Noah Gray,KC,TE
Michael Carter,ARI,RB
Christian Watson,GB,WR
Jordan Mason,SF,RB
Raheem Blackshear,CAR,RB
Chuba Hubbard,CAR,RB
Will Mallory,IND,TE
Will Levis,TEN,QB
James Mitchell,DET,TE
Ihmir Smith Marsette,CAR,WR
Desmond Ridder,ATL,QB
Chig Okonkwo,TEN,TE
Josh Whyle,TEN,TE
Jerome Ford,CLE,RB
Trevor Lawrence,JAC,QB
Tutu Atwell,LAR,WR
Andrei Iosivas,CIN,WR
Amon Ra St Brown,DET,WR
A T Perry,NO,WR
Tank Dell,HOU,WR
Dyami Brown,WAS,WR
Trey McBride,ARI,TE
Henry Pearson,GB,RB
Deven Thompkins,TB,WR
Brock Purdy,SF,QB
Ronnie Bell,SF,WR
Dameon Pierce,HOU,RB
Ryan Miller,TB,WR
Ja Marr Chase,CIN,WR
Malik Heath,GB,WR
Hunter Luepke,DAL,RB
Kenny McIntosh,SEA,RB
Cole Turner,WAS,TE
Chase Brown,CIN,RB
Jahan Dotson,WAS,WR
Treylon Burks,TEN,WR
Elijah Moore,CLE,WR
Romeo Doubs,GB,WR
Tyler Allgeier,ATL,RB
Cedric Tillman,CLE,WR
Rashee Rice,KC,WR
Javonte Williams,DEN,RB
Jayden Reed,GB,WR
Alec Pierce,IND,WR
Ben Sims,GB,TE
Rondale Moore,ARI,WR
Payne Durham,TB,TE
Chris Olave,NO,WR
Julian Hill,MIA,TE
Brevin Jordan,HOU,TE
John Metchie,HOU,WR
Garrett Wilson,NYJ,WR
Jeremy Ruckert,NYJ,TE
Kyren Williams,LAR,RB
Tyquan Thornton,NE,WR
Skyy Moore,KC,WR
Derius Davis,LAC,WR
Jaleel McLaughlin,DEN,RB
Sam Howell,WAS,QB
Chris Rodriguez,WAS,RB
Kyle Pitts,ATL,TE
Elijah Higgins,ARI,TE
Tucker Kraft,GB,TE
Tyler Goodson,IND,RB
David Bell,CLE,WR
Zach Charbonnet,SEA,RB
Sam LaPorta,DET,TE
Davis Allen,LAR,TE
George Pickens,PIT,WR
Xavier Gipson,NYJ,WR
Jameson Williams,DET,WR
Trey Palmer,TB,WR
Jonathan Mingo,CAR,WR
Puka Nacua,LAR,WR
Zach Evans,LAR,RB
Breece Hall,NYJ,RB
Tyjae Spears,TEN,RB
Dontayvion Wicks,GB,WR
Drake London,ATL,WR
Bryce Young,CAR,QB
Josh Downs,IND,WR
Darnell Washington,PIT,TE
Tank Bigsby,JAC,RB
Quentin Johnston,LAC,WR
C J Stroud,HOU,QB
De Von Achane,MIA,RB
Sean Tucker,TB,RB
Bijan Robinson,ATL,RB
Jaxon Smith Njigba,SEA,WR
Marvin Mims,DEN,WR
Jahmyr Gibbs,DET,RB
Parker Washington,JAC,WR
