player,team,pos
Tom Brady,TB,QB
Aaron Rodgers,GB,QB
Marcedes Lewis,GB,TE
Matthew Slater,NE,WR
DeSean Jackson,BAL,WR
Andy Dalton,NO,QB
Taiwan Jones,BUF,RB
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Nick Foles,IND,QB
Julio Jones,TB,WR
Cole Beasley,BUF,WR
Travis Kelce,KC,TE
T Y Hilton,DAL,WR
Ryan Griffin,CHI,TE
Latavius Murray,DEN,RB
Brandon Bolden,LV,RB
Marvin Jones,JAC,WR
Rex Burkhead,HOU,RB
Randall Cobb,GB,WR
Adam Thielen,MIN,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Marquise Goodwin,SEA,WR
Cordarrelle Patterson,ATL,RB
Derek Carr,LV,QB
Logan Thomas,WAS,TE
Giovani Bernard,TB,RB
David Johnson,NO,RB
MyCole Pruitt,ATL,TE
Raheem Mostert,MIA,RB
Keith Smith,ATL,WR
Robert Woods,TEN,WR
Jordan Akins,HOU,TE
Keenan Allen,LAC,WR
Jerick McKinnon,KC,RB
DeAndre Hopkins,ARI,WR
Darren Waller,LV,TE
Tyler Kroft,SF,TE
Derek Watt,PIT,RB
Davante Adams,LV,WR
Carson Wentz,WAS,QB
Tyler Higbee,LAR,TE
Phillip Dorsett,HOU,WR
C J Uzomah,NYJ,TE
Damiere Byrd,ATL,WR
Stephen Anderson,ARI,TE
Nick Vannett,NYG,TE
Taylor Heinicke,WAS,QB
DeAndre Carter,LAC,WR
Keelan Cole,LV,WR
Jeff Driskel,HOU,QB
Malcolm Brown,LAR,RB
Nelson Agholor,NE,WR
Ameer Abdullah,LV,RB
Sammy Watkins,BAL,WR
Chris Moore,HOU,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Mack Hollins,LV,WR
Geoff Swaim,TEN,TE
Mo Alie Cox,IND,TE
Brandin Cooks,HOU,WR
George Kittle,SF,TE
Byron Pringle,CHI,WR
C J Beathard,JAC,QB
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Jonathan Williams,WAS,RB
Tyreek Hill,MIA,WR
Robert Tonyan,GB,TE
Eric Saubert,DEN,TE
Trent Taylor,CIN,WR
Dare Ogunbowale,HOU,RB
Nathan Peterman,CHI,QB
Amari Cooper,CLE,WR
Jordan Wilkins,IND,RB
Marcus Johnson,NYG,WR
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Godwin Igwebuike,SEA,RB
Demarcus Robinson,BAL,WR
Mike Williams,LAC,WR
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,TEN,TE
Tyler Boyd,CIN,WR
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Zach Pascal,PHI,WR
Keith Kirkwood,NO,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
Chris Streveler,NYJ,QB
Corey Davis,NYJ,WR
Leonard Fournette,TB,RB
Josh Reynolds,DET,WR
Anthony Firkser,ATL,TE
Matt Breida,NYG,RB
Pharoh Cooper,ARI,WR
Dan Arnold,JAC,TE
Zay Jones,JAC,WR
Jamaal Williams,DET,RB
Justin Watson,KC,WR
Jamal Agnew,JAC,WR
Isaiah McKenzie,BUF,WR
Gus Edwards,BAL,RB
Baker Mayfield,LAR,QB
Boston Scott,PHI,RB
James Conner,ARI,RB
Austin Ekeler,LAC,RB
Parker Hesse,ATL,TE
Laquon Treadwell,SEA,WR
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,MIN,RB
Trace McSorley,ARI,QB
Jonnu Smith,NE,TE
Richie James,NYG,WR
Mark Andrews,BAL,TE
Brandon Powell,LAR,WR
Deshaun Watson,CLE,QB
Terry McLaurin,WAS,WR
Samaje Perine,CIN,RB
Patrick Mahomes,KC,QB
Mike Gesicki,MIA,TE
Braxton Berrios,NYJ,WR
Courtland Sutton,DEN,WR
Dante Pettis,CHI,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,MIA,WR
Trenton Irwin,CIN,WR
Allen Lazard,GB,WR
Hunter Renfrow,LV,WR
Nick Chubb,CLE,RB
Noah Brown,DAL,WR
Cam Sims,WAS,WR
Russell Gage,TB,WR
Royce Freeman,HOU,RB
Trent Sherfield,MIA,WR
Chris Godwin,TB,WR
D Ernest Johnson,CLE,RB
Michael Gallup,DAL,WR
Marlon Mack,DEN,RB
Chase Edmonds,DEN,RB
Justin Jackson,DET,RB
D Onta Foreman,CAR,RB
Gardner Minshew,PHI,QB
Josh Allen,BUF,QB
Ian Thomas,CAR,TE
Christian McCaffrey,SF,RB
Khari Blasingame,CHI,RB
Penny Hart,SEA,WR
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
Brett Rypien,DEN,QB
David Njoku,CLE,TE
Dalton Schultz,DAL,TE
Joe Mixon,CIN,RB
Van Jefferson,LAR,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,WAS,WR
Zach Gentry,PIT,TE
Juwan Johnson,NO,TE
Jamycal Hasty,JAC,RB
James Proche,BAL,WR
D J Chark,DET,WR
Ray Ray McCloud,SF,WR
Mitchell Wilcox,CIN,TE
Jakobi Meyers,NE,WR
Nyheim Hines,BUF,RB
Dawson Knox,BUF,TE
Shane Zylstra,DET,TE
Andy Isabella,BAL,WR
Christian Kirk,JAC,WR
JuJu Smith Schuster,KC,WR
Stephen Sullivan,CAR,TE
Joe Burrow,CIN,QB
Bryce Perkins,LAR,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
Adam Trautman,NO,TE
Saquon Barkley,NYG,RB
Josiah Deguara,GB,TE
Britain Covey,PHI,WR
Josh Oliver,BAL,TE
Nick Westbrook Ikhine,TEN,WR
Brycen Hopkins,LAR,TE
Steven Sims,PIT,WR
Tyler Davis,GB,TE
D J Moore,CAR,WR
Tony Pollard,DAL,RB
Miles Sanders,PHI,RB
Ke Shawn Vaughn,TB,RB
Foster Moreau,LV,TE
Velus Jones,CHI,WR
Ashton Dulin,IND,WR
Daniel Jones,NYG,QB
Marquise Brown,ARI,WR
Sam Darnold,CAR,QB
David Montgomery,CHI,RB
K J Osborn,MIN,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Parris Campbell,IND,WR
Olamide Zaccheaus,ATL,WR
Scott Miller,TB,WR
Ronald Jones,KC,RB
Devin Asiasi,CIN,TE
Donald Parham,LAC,TE
Reggie Gilliam,BUF,RB
Devin Singletary,BUF,RB
Ty Johnson,NYJ,RB
Jonathan Ward,TEN,RB
Michael Pittman,IND,WR
Trayveon Williams,CIN,RB
Justice Hill,BAL,RB
Joshua Kelley,LAC,RB
Noah Fant,SEA,TE
Zack Moss,IND,RB
D K Metcalf,SEA,WR
Ko Kieft,TB,TE
Tyler Huntley,BAL,QB
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Benny Snell,PIT,RB
Tua Tagovailoa,MIA,QB
Justin Herbert,LAC,QB
Najee Harris,PIT,RB
Brandon Aiyuk,SF,WR
Khalil Herbert,CHI,RB
Patrick Taylor,GB,RB
AJ Dillon,GB,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Quez Watkins,PHI,WR
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Jalen Virgil,DEN,WR
Avery Williams,ATL,RB
Freddie Swain,DEN,WR
Travis Homer,SEA,RB
Rashid Shaheed,NO,WR
Mac Jones,NE,QB
DeeJay Dallas,SEA,RB
Laviska Shenault,CAR,WR
Jelani Woods,IND,TE
Isaiah Hodgins,NYG,WR
Davis Mills,HOU,QB
Pat Freiermuth,PIT,TE
Shi Smith,CAR,WR
Jaylen Warren,PIT,RB
Kenny Yeboah,NYJ,TE
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Brock Wright,DET,TE
Troy Hairston,HOU,TE
Pierre Strong,NE,RB
J K Dobbins,BAL,RB
Jalen Reagor,MIN,WR
Colby Parkinson,SEA,TE
Tre McKitty,LAC,TE
Rachaad White,TB,RB
D Andre Swift,DET,RB
Jake Ferguson,DAL,TE
Tee Higgins,CIN,WR
Connor Heyward,PIT,TE
Kadarius Toney,KC,WR
Travis Etienne,JAC,RB
Deon Jackson,IND,RB
Donovan Peoples Jones,CLE,WR
Lance McCutcheon,LAR,WR
Gary Brightwell,NYG,RB
Isiah Pacheco,KC,RB
Justin Fields,CHI,QB
Cole Kmet,CHI,TE
Montrell Washington,DEN,WR
Kenneth Gainwell,PHI,RB
Brian Robinson,WAS,RB
Gabriel Davis,BUF,WR
Danny Gray,SF,WR
CeeDee Lamb,DAL,WR
Cade Otton,TB,TE
Jerry Jeudy,DEN,WR
Noah Gray,KC,TE
Michael Carter,NYJ,RB
Christian Watson,GB,WR
Jordan Mason,SF,RB
Malik Willis,TEN,QB
Raheem Blackshear,CAR,RB
Chuba Hubbard,CAR,RB
Justin Jefferson,MIN,WR
Cam Akers,LAR,RB
Dax Milne,WAS,WR
Zach Wilson,NYJ,QB
James Mitchell,DET,TE
Desmond Ridder,ATL,QB
Chig Okonkwo,TEN,TE
Jerome Ford,CLE,RB
Joshua Palmer,LAC,WR
Amari Rodgers,HOU,WR
James Cook,BUF,RB
Tutu Atwell,LAR,WR
Trevor Lawrence,JAC,QB
Amon Ra St Brown,DET,WR
Keaontay Ingram,ARI,RB
Trey McBride,ARI,TE
Hassan Haskins,TEN,RB
Snoop Conner,JAC,RB
Deven Thompkins,TB,WR
Brock Purdy,SF,QB
