player,team,pos
Tom Brady,TB,QB
Aaron Rodgers,GB,QB
Joe Flacco,NYJ,QB
Matt Ryan,IND,QB
Matthew Stafford,LAR,QB
Case Keenum,BUF,QB
Taiwan Jones,BUF,RB
Ryan Tannehill,TEN,QB
A J Green,ARI,WR
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Travis Kelce,KC,TE
Mark Ingram,NO,RB
Ryan Griffin,CHI,TE
Marvin Jones,JAC,WR
Rex Burkhead,HOU,RB
Adam Thielen,MIN,WR
Randall Cobb,GB,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,ARI,TE
Marquise Goodwin,SEA,WR
Cordarrelle Patterson,ATL,RB
Derek Carr,LV,QB
Josh Gordon,TEN,WR
Kyle Juszczyk,SF,RB
Logan Thomas,WAS,TE
Cameron Brate,TB,TE
Jimmy Garoppolo,SF,QB
Giovani Bernard,TB,RB
Michael Burton,KC,RB
Jake Kumerow,BUF,WR
Raheem Mostert,MIA,RB
Robert Woods,TEN,WR
Jerick McKinnon,KC,RB
Darren Waller,LV,TE
Tyler Lockett,SEA,WR
Derek Watt,PIT,RB
Jarvis Landry,NO,WR
Jacoby Brissett,CLE,QB
Davante Adams,LV,WR
Carson Wentz,WAS,QB
Tyler Higbee,LAR,TE
DeVante Parker,NE,WR
Stephen Anderson,ARI,TE
Sterling Shepard,NYG,WR
Mike Davis,BAL,RB
Michael Thomas,NO,WR
DeAndre Carter,LAC,WR
Melvin Gordon,DEN,RB
Jeff Driskel,HOU,QB
Robbie Anderson,CAR,WR
Nelson Agholor,NE,WR
Ameer Abdullah,LV,RB
Sammy Watkins,GB,WR
Cooper Kupp,LAR,WR
Jamison Crowder,BUF,WR
Chris Moore,HOU,WR
J D McKissic,WAS,RB
Mike Evans,TB,WR
Hayden Hurst,CIN,TE
Allen Robinson,LAR,WR
Breshad Perriman,TB,WR
Mack Hollins,LV,WR
Mo Alie Cox,IND,TE
Brandin Cooks,HOU,WR
Marcus Mariota,ATL,QB
Cooper Rush,DAL,QB
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Jameis Winston,NO,QB
Kenyan Drake,BAL,RB
Justin Hardee,NYJ,WR
Tyreek Hill,MIA,WR
Dwayne Washington,NO,RB
Trent Taylor,CIN,WR
Robert Tonyan,GB,TE
Eric Saubert,DEN,TE
Pharaoh Brown,HOU,TE
Dare Ogunbowale,HOU,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Kalif Raymond,DET,WR
Mitchell Trubisky,PIT,QB
Evan Engram,JAC,TE
Demarcus Robinson,BAL,WR
Mike Williams,LAC,WR
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,TEN,TE
River Cracraft,MIA,WR
Tanner Hudson,NYG,TE
Tyler Boyd,CIN,WR
O J Howard,HOU,TE
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Hunter Henry,NE,TE
Zach Pascal,PHI,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
Corey Davis,NYJ,WR
Leonard Fournette,TB,RB
Ross Dwelley,SF,TE
Josh Reynolds,DET,WR
Sony Michel,LAC,RB
Matt Breida,NYG,RB
Dan Arnold,JAC,TE
Zay Jones,JAC,WR
Jamal Agnew,JAC,WR
Jamaal Williams,DET,RB
Justin Watson,KC,WR
Isaiah McKenzie,BUF,WR
Baker Mayfield,CAR,QB
Darrel Williams,ARI,RB
Boston Scott,PHI,RB
James Conner,ARI,RB
Austin Ekeler,LAC,RB
Parker Hesse,ATL,TE
Ezekiel Elliott,DAL,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,CLE,RB
Dalvin Cook,MIN,RB
Durham Smythe,MIA,TE
Jonnu Smith,NE,TE
Richie James,NYG,WR
Mark Andrews,BAL,TE
Brandon Powell,LAR,WR
Terry McLaurin,WAS,WR
Samaje Perine,CIN,RB
Patrick Mahomes,KC,QB
Mike Gesicki,MIA,TE
Braxton Berrios,NYJ,WR
Chris Myarick,NYG,RB
Courtland Sutton,DEN,WR
Dante Pettis,CHI,WR
Jeff Wilson,SF,RB
Cedrick Wilson,MIA,WR
Jody Fortson,KC,TE
Allen Lazard,GB,WR
Hunter Renfrow,LV,WR
Nick Chubb,CLE,RB
Noah Brown,DAL,WR
Cam Sims,WAS,WR
Deebo Samuel,SF,WR
Russell Gage,TB,WR
Rashaad Penny,SEA,RB
Trent Sherfield,MIA,WR
Chase Edmonds,MIA,RB
Drew Sample,CIN,TE
Justin Jackson,DET,RB
D Onta Foreman,CAR,RB
Andrew Beck,DEN,TE
Josh Allen,BUF,QB
David Sills,NYG,WR
Ian Thomas,CAR,TE
Christian McCaffrey,CAR,RB
Craig Reynolds,DET,RB
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Dalton Schultz,DAL,TE
Joe Mixon,CIN,RB
KaVontae Turpin,DAL,WR
Curtis Samuel,WAS,WR
Juwan Johnson,NO,TE
D J Chark,DET,WR
Equanimeous St Brown,CHI,WR
Miles Boykin,PIT,WR
Ray Ray McCloud,SF,WR
Giovanni Ricci,CAR,TE
Mitchell Wilcox,CIN,TE
Jakobi Meyers,NE,WR
Nyheim Hines,IND,RB
Dawson Knox,BUF,TE
Christian Kirk,JAC,WR
JuJu Smith Schuster,KC,WR
Gunner Olszewski,PIT,WR
Stephen Sullivan,CAR,TE
Joe Burrow,CIN,QB
Andre Baccellia,ARI,WR
Lamar Jackson,BAL,QB
Keke Coutee,IND,WR
Adam Prentice,NO,RB
Saquon Barkley,NYG,RB
Damien Harris,NE,RB
Kendall Hinton,DEN,WR
Britain Covey,PHI,WR
Nick Westbrook Ikhine,TEN,WR
D Wayne Eskridge,SEA,WR
Tyler Davis,GB,TE
D J Moore,CAR,WR
Jeff Smith,NYJ,WR
Tony Pollard,DAL,RB
Miles Sanders,PHI,RB
Foster Moreau,LV,TE
Ashton Dulin,IND,WR
Daniel Jones,NYG,QB
Marquise Brown,ARI,WR
David Montgomery,CHI,RB
K J Osborn,MIN,WR
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
T J Hockenson,DET,TE
Jauan Jennings,SF,WR
Parris Campbell,IND,WR
Olamide Zaccheaus,ATL,WR
Scott Miller,TB,WR
Kyler Murray,ARI,QB
Mike Strachan,IND,WR
Reggie Gilliam,BUF,RB
Darrell Henderson,LAR,RB
Devin Singletary,BUF,RB
Devin Duvernay,BAL,WR
Ty Johnson,NYJ,RB
Tyrie Cleveland,DEN,WR
Darnell Mooney,CHI,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Joshua Kelley,LAC,RB
Tony Jones,NO,RB
Deonte Harty,NO,WR
D K Metcalf,SEA,WR
Zack Moss,BUF,RB
Raleigh Webb,BAL,WR
Ko Kieft,TB,TE
Kene Nwangwu,MIN,RB
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Brandon Aiyuk,SF,WR
Kylen Granson,IND,TE
Quintez Cephus,DET,WR
Lil Jordan Humphrey,NE,WR
Khalil Herbert,CHI,RB
Harrison Bryant,CLE,TE
Albert Okwuegbunam,DEN,TE
AJ Dillon,GB,RB
Greg Dortch,ARI,WR
Quez Watkins,PHI,WR
Rico Dowdle,DAL,RB
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Chase Claypool,PIT,WR
Avery Williams,ATL,RB
Demetric Felton,CLE,WR
Jalen Hurts,PHI,QB
Dezmon Patmon,IND,WR
Travis Homer,SEA,RB
Irv Smith,MIN,TE
James Robinson,JAC,RB
Mac Jones,NE,QB
Caleb Huntley,ATL,RB
DeeJay Dallas,SEA,RB
Davis Mills,HOU,QB
Pat Freiermuth,PIT,TE
Shi Smith,CAR,WR
Kenny Yeboah,NYJ,TE
Jaylen Warren,PIT,RB
Bryan Edwards,ATL,WR
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Brock Wright,DET,TE
Pierre Strong,NE,RB
Zander Horvath,LAC,RB
Jalen Reagor,MIN,WR
Trestan Ebner,CHI,RB
Rachaad White,TB,RB
Jaelon Darden,TB,WR
D Andre Swift,DET,RB
Tee Higgins,CIN,WR
Jonathan Taylor,IND,RB
Quintin Morris,BUF,TE
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Kadarius Toney,NYG,WR
Deon Jackson,IND,RB
Donovan Peoples Jones,CLE,WR
Gary Brightwell,NYG,RB
Justin Fields,CHI,QB
Isiah Pacheco,KC,RB
Cole Kmet,CHI,TE
Kenneth Gainwell,PHI,RB
Montrell Washington,DEN,WR
Nico Collins,HOU,WR
Danny Gray,SF,WR
CeeDee Lamb,DAL,WR
Eno Benjamin,ARI,RB
Clyde Edwards Helaire,KC,RB
Cade Otton,TB,TE
Dennis Houston,DAL,WR
Jerry Jeudy,DEN,WR
Noah Gray,KC,TE
Michael Carter,NYJ,RB
Christian Watson,GB,WR
Tylan Wallace,BAL,WR
Jordan Mason,SF,RB
Malik Willis,TEN,QB
Chuba Hubbard,CAR,RB
Justin Jefferson,MIN,WR
Kyle Philips,TEN,WR
Cam Akers,LAR,RB
Dax Milne,WAS,WR
Ihmir Smith Marsette,CHI,WR
Chig Okonkwo,TEN,TE
Jerome Ford,CLE,RB
Zamir White,LV,RB
Amari Rodgers,GB,WR
James Cook,BUF,RB
Joshua Palmer,LAC,WR
Trevor Lawrence,JAC,QB
Amon Ra St Brown,DET,WR
Hassan Haskins,TEN,RB
