player,team,pos
Tom Brady,TB,QB
Aaron Rodgers,GB,QB
Joe Flacco,NYJ,QB
Chad Henne,KC,QB
Matthew Slater,NE,WR
Chase Daniel,LAC,QB
Andy Dalton,NO,QB
Andre Roberts,CAR,WR
Taiwan Jones,BUF,RB
A J Green,ARI,WR
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Travis Kelce,KC,TE
Blaine Gabbert,TB,QB
Kyle Rudolph,TB,TE
T Y Hilton,DAL,WR
Latavius Murray,DEN,RB
Brandon Bolden,LV,RB
Marvin Jones,JAC,WR
John Brown,BUF,WR
Rex Burkhead,HOU,RB
Randall Cobb,GB,WR
Adam Thielen,MIN,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Cordarrelle Patterson,ATL,RB
Kyle Juszczyk,SF,RB
Logan Thomas,WAS,TE
Blake Bell,KC,TE
Giovani Bernard,TB,RB
David Johnson,NO,RB
MyCole Pruitt,ATL,TE
Keith Smith,ATL,WR
Raheem Mostert,MIA,RB
Robert Woods,TEN,WR
Jordan Akins,HOU,TE
Eric Tomlinson,DEN,TE
Keenan Allen,LAC,WR
Jerick McKinnon,KC,RB
Darren Waller,LV,TE
Tyler Lockett,SEA,WR
Derek Watt,PIT,RB
Davante Adams,LV,WR
Tyler Higbee,LAR,TE
DeVante Parker,NE,WR
Damiere Byrd,ATL,WR
Nick Vannett,NYG,TE
DeAndre Carter,LAC,WR
Keelan Cole,LV,WR
Jeff Driskel,HOU,QB
Nelson Agholor,NE,WR
Ameer Abdullah,LV,RB
Sammy Watkins,BAL,WR
Chris Moore,HOU,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Hayden Hurst,CIN,TE
Breshad Perriman,TB,WR
Mack Hollins,LV,WR
Geoff Swaim,TEN,TE
Mo Alie Cox,IND,TE
Brandin Cooks,HOU,WR
George Kittle,SF,TE
Kenny Golladay,NYG,WR
Byron Pringle,CHI,WR
Cooper Rush,DAL,QB
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Kenyan Drake,BAL,RB
Jonathan Williams,WAS,RB
Tyreek Hill,MIA,WR
Trent Taylor,CIN,WR
Robert Tonyan,GB,TE
Dare Ogunbowale,HOU,RB
Nathan Peterman,CHI,QB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Marcus Johnson,NYG,WR
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Godwin Igwebuike,SEA,RB
Demarcus Robinson,BAL,WR
Tim Boyle,CHI,QB
Mike Williams,LAC,WR
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,TEN,TE
River Cracraft,MIA,WR
Corey Clement,ARI,RB
Tyler Boyd,CIN,WR
Aaron Jones,GB,RB
Hunter Henry,NE,TE
Jakob Johnson,LV,RB
Dallas Goedert,PHI,TE
Corey Davis,NYJ,WR
Leonard Fournette,TB,RB
Davis Webb,NYG,QB
Joshua Dobbs,TEN,QB
Josh Reynolds,DET,WR
Anthony Firkser,ATL,TE
Matt Breida,NYG,RB
Pharoh Cooper,ARI,WR
Nick Mullens,MIN,QB
Zay Jones,JAC,WR
Jamaal Williams,DET,RB
Jamal Agnew,JAC,WR
Justin Watson,KC,WR
Isaiah McKenzie,BUF,WR
Gus Edwards,BAL,RB
Baker Mayfield,LAR,QB
Boston Scott,PHI,RB
Austin Ekeler,LAC,RB
Parker Hesse,ATL,TE
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
David Blough,ARI,QB
Kendrick Bourne,NE,WR
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,MIN,RB
Trace McSorley,ARI,QB
Richie James,NYG,WR
Brandon Powell,LAR,WR
Deshaun Watson,CLE,QB
Terry McLaurin,WAS,WR
Samaje Perine,CIN,RB
Patrick Mahomes,KC,QB
Mike Gesicki,MIA,TE
Braxton Berrios,NYJ,WR
Courtland Sutton,DEN,WR
Dante Pettis,CHI,WR
Jeff Wilson,MIA,RB
Trenton Irwin,CIN,WR
Allen Lazard,GB,WR
Hunter Renfrow,LV,WR
Nick Chubb,CLE,RB
Noah Brown,DAL,WR
Cam Sims,WAS,WR
Tre Quan Smith,NO,WR
Deebo Samuel,SF,WR
Russell Gage,TB,WR
Royce Freeman,HOU,RB
Chris Godwin,TB,WR
Michael Gallup,DAL,WR
Chase Edmonds,DEN,RB
Justin Jackson,DET,RB
D Onta Foreman,CAR,RB
Andrew Beck,DEN,TE
Josh Allen,BUF,QB
Christian McCaffrey,SF,RB
Diontae Johnson,PIT,WR
David Njoku,CLE,TE
Dalton Schultz,DAL,TE
Joe Mixon,CIN,RB
Van Jefferson,LAR,WR
KaVontae Turpin,DAL,WR
Jarrett Stidham,LV,QB
Curtis Samuel,WAS,WR
Ty Son Williams,ARI,RB
Zach Gentry,PIT,TE
Jamycal Hasty,JAC,RB
Juwan Johnson,NO,TE
James Proche,BAL,WR
D J Chark,DET,WR
Equanimeous St Brown,CHI,WR
Miles Boykin,PIT,WR
Ray Ray McCloud,SF,WR
Giovanni Ricci,CAR,TE
Jakobi Meyers,NE,WR
Nyheim Hines,BUF,RB
Dawson Knox,BUF,TE
Shane Zylstra,DET,TE
Christian Kirk,JAC,WR
JuJu Smith Schuster,KC,WR
Gunner Olszewski,PIT,WR
Joe Burrow,CIN,QB
Andre Baccellia,ARI,WR
Keke Coutee,IND,WR
Adam Trautman,NO,TE
Damien Harris,NE,RB
Britain Covey,PHI,WR
Josh Oliver,BAL,TE
Nick Westbrook Ikhine,TEN,WR
Brycen Hopkins,LAR,TE
Steven Sims,PIT,WR
Tyler Davis,GB,TE
D J Moore,CAR,WR
Tony Pollard,DAL,RB
Miles Sanders,PHI,RB
Ke Shawn Vaughn,TB,RB
Foster Moreau,LV,TE
Velus Jones,CHI,WR
Marquise Brown,ARI,WR
Skylar Thompson,MIA,QB
Sam Darnold,CAR,QB
David Montgomery,CHI,RB
K J Osborn,MIN,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Parris Campbell,IND,WR
Olamide Zaccheaus,ATL,WR
Scott Miller,TB,WR
Ronald Jones,KC,RB
Donald Parham,LAC,TE
Lawrence Cager,NYG,TE
Reggie Gilliam,BUF,RB
Devin Singletary,BUF,RB
Frank Darby,ATL,WR
Ty Johnson,NYJ,RB
Jonathan Ward,TEN,RB
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Trayveon Williams,CIN,RB
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Joshua Kelley,LAC,RB
Armani Rogers,WAS,TE
D K Metcalf,SEA,WR
Zack Moss,IND,RB
N Keal Harry,CHI,WR
Kene Nwangwu,MIN,RB
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Benny Snell,PIT,RB
Kyle Trask,TB,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Brandon Aiyuk,SF,WR
Marquez Callaway,NO,WR
Cade Johnson,SEA,WR
Khalil Herbert,CHI,RB
Harrison Bryant,CLE,TE
Albert Okwuegbunam,DEN,TE
AJ Dillon,GB,RB
Elijah Mitchell,SF,RB
Ty Chandler,MIN,RB
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Quez Watkins,PHI,WR
Alexander Mattison,MIN,RB
Chase Claypool,CHI,WR
Jalen Virgil,DEN,WR
Avery Williams,ATL,RB
Brandon Johnson,DEN,WR
Anthony Brown,BAL,QB
Freddie Swain,DEN,WR
Jalen Hurts,PHI,QB
Irv Smith,MIN,TE
Rashid Shaheed,NO,WR
Mac Jones,NE,QB
DeeJay Dallas,SEA,RB
Sam Ehlinger,IND,QB
Laviska Shenault,CAR,WR
Jelani Woods,IND,TE
Davis Mills,HOU,QB
Pat Freiermuth,PIT,TE
Shi Smith,CAR,WR
Jaylen Warren,PIT,RB
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Malik Davis,DAL,RB
Brock Wright,DET,TE
Troy Hairston,HOU,TE
Salvon Ahmed,MIA,RB
Trestan Ebner,CHI,RB
Jalen Reagor,MIN,WR
Colby Parkinson,SEA,TE
Tre McKitty,LAC,TE
Rachaad White,TB,RB
Jaelon Darden,CLE,WR
D Andre Swift,DET,RB
Jake Ferguson,DAL,TE
Tee Higgins,CIN,WR
Quintin Morris,BUF,TE
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Kadarius Toney,KC,WR
Charlie Kolar,BAL,TE
Larry Rountree,LAC,RB
Deon Jackson,IND,RB
Donovan Peoples Jones,CLE,WR
Gary Brightwell,NYG,RB
Jalen Nailor,MIN,WR
Josh Ali,ATL,WR
Isiah Pacheco,KC,RB
Cole Kmet,CHI,TE
Kenneth Gainwell,PHI,RB
Gabriel Davis,BUF,WR
CeeDee Lamb,DAL,WR
Eno Benjamin,NO,RB
Cade Otton,TB,TE
Jerry Jeudy,DEN,WR
Noah Gray,KC,TE
Michael Carter,NYJ,RB
Christian Watson,GB,WR
Tylan Wallace,BAL,WR
Jordan Mason,SF,RB
Dareke Young,SEA,WR
Raheem Blackshear,CAR,RB
Chuba Hubbard,CAR,RB
Racey McMath,TEN,WR
Justin Jefferson,MIN,WR
Cam Akers,LAR,RB
Dax Milne,WAS,WR
James Mitchell,DET,TE
Desmond Ridder,ATL,QB
Chig Okonkwo,TEN,TE
Jerome Ford,CLE,RB
Zamir White,LV,RB
Joshua Palmer,LAC,WR
Amari Rodgers,HOU,WR
James Cook,BUF,RB
Tutu Atwell,LAR,WR
Trevor Lawrence,JAC,QB
Amon Ra St Brown,DET,WR
Keaontay Ingram,ARI,RB
Dyami Brown,WAS,WR
Trey McBride,ARI,TE
