player,team,pos
Tom Brady,TB,QB
Aaron Rodgers,GB,QB
Marcedes Lewis,GB,TE
Matt Ryan,IND,QB
Colt McCoy,ARI,QB
Chase Daniel,LAC,QB
Andy Dalton,NO,QB
Ryan Tannehill,TEN,QB
A J Green,ARI,WR
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Julio Jones,TB,WR
Travis Kelce,KC,TE
Latavius Murray,DEN,RB
Marvin Jones,JAC,WR
Rex Burkhead,HOU,RB
Adam Thielen,MIN,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,ARI,TE
Marquise Goodwin,SEA,WR
Cordarrelle Patterson,ATL,RB
Derek Carr,LV,QB
Logan Thomas,WAS,TE
Cameron Brate,TB,TE
Jimmy Garoppolo,SF,QB
Richard Rodgers,LAC,TE
Michael Burton,KC,RB
Jake Kumerow,BUF,WR
MyCole Pruitt,ATL,TE
Raheem Mostert,MIA,RB
Robert Woods,TEN,WR
Keith Smith,ATL,WR
Jordan Akins,HOU,TE
Eric Tomlinson,DEN,TE
Jerick McKinnon,KC,RB
DeAndre Hopkins,ARI,WR
Kevin White,NO,WR
Tyler Lockett,SEA,WR
Derek Watt,PIT,RB
Jarvis Landry,NO,WR
Jacoby Brissett,CLE,QB
Davante Adams,LV,WR
Tyler Higbee,LAR,TE
Phillip Dorsett,HOU,WR
Stephen Anderson,ARI,TE
Damiere Byrd,ATL,WR
Taylor Heinicke,WAS,QB
DeAndre Carter,LAC,WR
Melvin Gordon,DEN,RB
Keelan Cole,LV,WR
Ameer Abdullah,LV,RB
Sammy Watkins,GB,WR
Cooper Kupp,LAR,WR
Chris Moore,HOU,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Allen Robinson,LAR,WR
Mack Hollins,LV,WR
Geoff Swaim,TEN,TE
Duke Johnson,BUF,RB
Brandin Cooks,HOU,WR
George Kittle,SF,TE
Marcus Mariota,ATL,QB
Kenny Golladay,NYG,WR
Byron Pringle,CHI,WR
Stefon Diggs,BUF,WR
C J Board,TEN,WR
Derrick Henry,TEN,RB
Tyreek Hill,MIA,WR
Robert Tonyan,GB,TE
Eric Saubert,DEN,TE
Pharaoh Brown,CLE,TE
Dare Ogunbowale,HOU,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Jordan Wilkins,IND,RB
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,TEN,TE
Jordan Howard,NO,RB
Tanner Hudson,NYG,TE
O J Howard,HOU,TE
Aaron Jones,GB,RB
Jakob Johnson,LV,RB
Zach Pascal,PHI,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
Leonard Fournette,TB,RB
Sony Michel,LAC,RB
Dontrell Hilliard,TEN,RB
Matt Breida,NYG,RB
P J Walker,CAR,QB
Dan Arnold,JAC,TE
Zay Jones,JAC,WR
Jamal Agnew,JAC,WR
Jamaal Williams,DET,RB
Justin Watson,KC,WR
Isaiah McKenzie,BUF,WR
Kevin Rader,TEN,TE
Boston Scott,PHI,RB
James Conner,ARI,RB
Austin Ekeler,LAC,RB
Alvin Kamara,NO,RB
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,MIN,RB
Brandon Powell,LAR,WR
Trevon Wesco,CHI,TE
Terry McLaurin,WAS,WR
Patrick Mahomes,KC,QB
Mike Gesicki,MIA,TE
Chris Myarick,NYG,RB
Courtland Sutton,DEN,WR
John Wolford,LAR,QB
Dante Pettis,CHI,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,MIA,WR
Jody Fortson,KC,TE
Allen Lazard,GB,WR
Nick Chubb,CLE,RB
Cam Sims,WAS,WR
Noah Brown,DAL,WR
Deebo Samuel,SF,WR
Trent Sherfield,MIA,WR
Chris Godwin,TB,WR
D Ernest Johnson,CLE,RB
Michael Gallup,DAL,WR
Chase Edmonds,DEN,RB
Justin Jackson,DET,RB
D Onta Foreman,CAR,RB
Josh Allen,BUF,QB
Christian McCaffrey,SF,RB
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
Dalton Schultz,DAL,TE
Van Jefferson,LAR,WR
Tom Kennedy,DET,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,WAS,WR
Qadree Ollison,DAL,RB
Zach Gentry,PIT,TE
Jamycal Hasty,JAC,RB
Juwan Johnson,NO,TE
Equanimeous St Brown,CHI,WR
Ray Ray McCloud,SF,WR
Giovanni Ricci,CAR,TE
Nyheim Hines,BUF,RB
Dawson Knox,BUF,TE
Shane Zylstra,DET,TE
Christian Kirk,JAC,WR
JuJu Smith Schuster,KC,WR
Gunner Olszewski,PIT,WR
Bryce Perkins,LAR,QB
Darius Slayton,NYG,WR
Keke Coutee,IND,WR
Adam Trautman,NO,TE
Saquon Barkley,NYG,RB
Kendall Hinton,DEN,WR
Britain Covey,PHI,WR
Nick Westbrook Ikhine,TEN,WR
D Wayne Eskridge,SEA,WR
Brycen Hopkins,LAR,TE
Steven Sims,PIT,WR
D J Moore,CAR,WR
Tony Pollard,DAL,RB
Miles Sanders,PHI,RB
Ke Shawn Vaughn,TB,RB
Foster Moreau,LV,TE
Daniel Jones,NYG,QB
Skylar Thompson,MIA,QB
David Montgomery,CHI,RB
K J Osborn,MIN,WR
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
T J Hockenson,MIN,TE
Jauan Jennings,SF,WR
Parris Campbell,IND,WR
Olamide Zaccheaus,ATL,WR
Scott Miller,TB,WR
Darrell Henderson,LAR,RB
Lawrence Cager,NYG,TE
Jared Pinkney,LAR,TE
Devin Singletary,BUF,RB
Tyrie Cleveland,DEN,WR
Michael Pittman,IND,WR
Darnell Mooney,CHI,WR
Noah Fant,SEA,TE
Michael Bandy,LAC,WR
D K Metcalf,SEA,WR
Zack Moss,IND,RB
Sean McKeon,DAL,TE
Jack Stoll,PHI,TE
Kene Nwangwu,MIN,RB
Josh Jacobs,LV,RB
Benny Snell,PIT,RB
Tua Tagovailoa,MIA,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Brandon Aiyuk,SF,WR
Kylen Granson,IND,TE
Khalil Herbert,CHI,RB
Harrison Bryant,CLE,TE
AJ Dillon,GB,RB
Elijah Mitchell,SF,RB
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Quez Watkins,PHI,WR
Stanley Berryhill,DET,WR
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Chase Claypool,CHI,WR
Jalen Virgil,DEN,WR
Avery Williams,ATL,RB
Jalen Hurts,PHI,QB
Travis Homer,SEA,RB
Rashid Shaheed,NO,WR
DeeJay Dallas,SEA,RB
Caleb Huntley,ATL,RB
Laviska Shenault,CAR,WR
Isaiah Hodgins,NYG,WR
Davis Mills,HOU,QB
Pat Freiermuth,PIT,TE
Shi Smith,CAR,WR
Jaylen Warren,PIT,RB
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Malik Davis,DAL,RB
Brock Wright,DET,TE
Troy Hairston,HOU,TE
Zander Horvath,LAC,RB
Salvon Ahmed,MIA,RB
Jalen Reagor,MIN,WR
Colby Parkinson,SEA,TE
Tre McKitty,LAC,TE
Rachaad White,TB,RB
Jaelon Darden,TB,WR
D Andre Swift,DET,RB
Jonathan Taylor,IND,RB
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Kadarius Toney,KC,WR
Larry Rountree,LAC,RB
Donovan Peoples Jones,CLE,WR
Gary Brightwell,NYG,RB
Jalen Nailor,MIN,WR
Isiah Pacheco,KC,RB
Justin Fields,CHI,QB
Cole Kmet,CHI,TE
Kenneth Gainwell,PHI,RB
Montrell Washington,DEN,WR
Nico Collins,HOU,WR
Brian Robinson,WAS,RB
Gabriel Davis,BUF,WR
CeeDee Lamb,DAL,WR
Clyde Edwards Helaire,KC,RB
Eno Benjamin,ARI,RB
Cade Otton,TB,TE
Peyton Hendershot,DAL,TE
Jerry Jeudy,DEN,WR
Noah Gray,KC,TE
Christian Watson,GB,WR
Malik Willis,TEN,QB
Raheem Blackshear,CAR,RB
Chuba Hubbard,CAR,RB
Justin Jefferson,MIN,WR
Cam Akers,LAR,RB
Dax Milne,WAS,WR
James Mitchell,DET,TE
Chig Okonkwo,TEN,TE
Jerome Ford,CLE,RB
Zamir White,LV,RB
Joshua Palmer,LAC,WR
Amari Rodgers,GB,WR
James Cook,BUF,RB
Trevor Lawrence,JAC,QB
Amon Ra St Brown,DET,WR
Keaontay Ingram,ARI,RB
Dyami Brown,WAS,WR
Trey McBride,ARI,TE
Hassan Haskins,TEN,RB
Khalil Shakir,BUF,WR
Dameon Pierce,HOU,RB
Michael Woods,CLE,WR
Jahan Dotson,WAS,WR
Treylon Burks,TEN,WR
Greg Dulcich,DEN,TE
Tyler Allgeier,ATL,RB
Alec Pierce,IND,WR
Tommy Tremble,CAR,TE
Rondale Moore,ARI,WR
Terrace Marshall,CAR,WR
Chris Olave,NO,WR
Kyren Williams,LAR,RB
Anthony Schwartz,CLE,WR
Skyy Moore,KC,WR
Kyle Pitts,ATL,TE
Kenneth Walker,SEA,RB
David Bell,CLE,WR
Wan Dale Robinson,NYG,WR
George Pickens,PIT,WR
Drake London,ATL,WR
Isaiah Spiller,LAC,RB
Taiwan Jones,BUF,RB
Ryan Griffin,CHI,TE
Brandon Bolden,LV,RB
Kyle Juszczyk,SF,RB
Chris Manhertz,JAC,TE
Tyler Kroft,SF,TE
Breshad Perriman,TB,WR
Mo Alie Cox,IND,TE
Cody Hollister,TEN,WR
Jacob Hollister,LV,TE
Dwayne Washington,NO,RB
