player,team,pos
Tom Brady,TB,QB
Aaron Rodgers,GB,QB
Marcedes Lewis,GB,TE
Matt Ryan,IND,QB
Andy Dalton,NO,QB
Matthew Stafford,LAR,QB
Case Keenum,BUF,QB
Taiwan Jones,BUF,RB
Ryan Tannehill,TEN,QB
A J Green,ARI,WR
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Travis Kelce,KC,TE
Kyle Rudolph,TB,TE
Mark Ingram,NO,RB
Ryan Griffin,CHI,TE
Brandon Bolden,LV,RB
Marvin Jones,JAC,WR
Rex Burkhead,HOU,RB
Randall Cobb,GB,WR
Adam Thielen,MIN,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,ARI,TE
Derek Carr,LV,QB
Kyle Juszczyk,SF,RB
Jimmy Garoppolo,SF,QB
Raheem Mostert,MIA,RB
Chris Manhertz,JAC,TE
Robert Woods,TEN,WR
Jordan Akins,HOU,TE
Eric Tomlinson,DEN,TE
Jerick McKinnon,KC,RB
Tyler Lockett,SEA,WR
Derek Watt,PIT,RB
Teddy Bridgewater,MIA,QB
Jacoby Brissett,CLE,QB
Davante Adams,LV,WR
Carson Wentz,WAS,QB
Tyler Higbee,LAR,TE
C J Uzomah,NYJ,TE
DeVante Parker,NE,WR
Damiere Byrd,ATL,WR
Mike Davis,BAL,RB
DeAndre Carter,LAC,WR
Tevin Coleman,SF,RB
Melvin Gordon,DEN,RB
Keelan Cole,LV,WR
Robbie Anderson,CAR,WR
Nelson Agholor,NE,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
J D McKissic,WAS,RB
Mike Evans,TB,WR
Hayden Hurst,CIN,TE
Allen Robinson,LAR,WR
Mack Hollins,LV,WR
Geoff Swaim,TEN,TE
Mo Alie Cox,IND,TE
Brandin Cooks,HOU,WR
George Kittle,SF,TE
Marcus Mariota,ATL,QB
Mason Schreck,HOU,TE
Cody Hollister,TEN,WR
Cooper Rush,DAL,QB
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Chester Rogers,CLE,WR
Kenyan Drake,BAL,RB
Jonathan Williams,WAS,RB
Justin Hardee,NYJ,WR
Tyreek Hill,MIA,WR
Dwayne Washington,NO,RB
Trent Taylor,CIN,WR
Robert Tonyan,GB,TE
Dare Ogunbowale,HOU,RB
Eric Saubert,DEN,TE
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Phillip Lindsay,IND,RB
Marcus Johnson,NYG,WR
Kalif Raymond,DET,WR
Mike Thomas,CIN,WR
Evan Engram,JAC,TE
Demarcus Robinson,BAL,WR
Mike Williams,LAC,WR
Marquez Valdes Scantling,KC,WR
Jared Goff,DET,QB
Austin Hooper,TEN,TE
River Cracraft,MIA,WR
Tyler Boyd,CIN,WR
O J Howard,HOU,TE
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Hunter Henry,NE,TE
Jakob Johnson,LV,RB
Tanner Gentry,BUF,WR
Keith Kirkwood,NO,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
Corey Davis,NYJ,WR
Leonard Fournette,TB,RB
Ross Dwelley,SF,TE
Josh Reynolds,DET,WR
Sony Michel,LAC,RB
Anthony Firkser,ATL,TE
Dontrell Hilliard,TEN,RB
P J Walker,CAR,QB
Matt Breida,NYG,RB
Dan Arnold,JAC,TE
Zay Jones,JAC,WR
Jamal Agnew,JAC,WR
Justin Watson,KC,WR
Jamaal Williams,DET,RB
Baker Mayfield,CAR,QB
Darrel Williams,ARI,RB
Kevin Rader,TEN,TE
James Conner,ARI,RB
Cullen Gillaspia,SEA,RB
Austin Ekeler,LAC,RB
Parker Hesse,ATL,TE
Mike Boone,DEN,RB
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,CLE,RB
Durham Smythe,MIA,TE
Dalvin Cook,MIN,RB
Richie James,NYG,WR
Mark Andrews,BAL,TE
Brandon Powell,LAR,WR
Terry McLaurin,WAS,WR
Patrick Mahomes,KC,QB
Samaje Perine,CIN,RB
Mike Gesicki,MIA,TE
Braxton Berrios,NYJ,WR
Chris Myarick,NYG,RB
Courtland Sutton,DEN,WR
Dante Pettis,CHI,WR
Jeff Wilson,SF,RB
Cedrick Wilson,MIA,WR
Allen Lazard,GB,WR
Hunter Renfrow,LV,WR
Nick Chubb,CLE,RB
Noah Brown,DAL,WR
Cam Sims,WAS,WR
Tre Quan Smith,NO,WR
Deebo Samuel,SF,WR
Russell Gage,TB,WR
Malik Turner,SF,WR
Rashaad Penny,SEA,RB
Trent Sherfield,MIA,WR
Chris Godwin,TB,WR
Michael Gallup,DAL,WR
Chase Edmonds,MIA,RB
Justin Jackson,DET,RB
D Onta Foreman,CAR,RB
Andrew Beck,DEN,TE
Josh Allen,BUF,QB
David Sills,NYG,WR
Ian Thomas,CAR,TE
Christian McCaffrey,CAR,RB
Craig Reynolds,DET,RB
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
David Njoku,CLE,TE
Dalton Schultz,DAL,TE
Joe Mixon,CIN,RB
Tom Kennedy,DET,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,WAS,WR
Stanley Morgan,CIN,WR
Zach Gentry,PIT,TE
Jamycal Hasty,JAC,RB
Juwan Johnson,NO,TE
James Proche,BAL,WR
Equanimeous St Brown,CHI,WR
Devine Ozigbo,DEN,RB
Miles Boykin,PIT,WR
Ray Ray McCloud,SF,WR
Giovanni Ricci,CAR,TE
Jakobi Meyers,NE,WR
Nyheim Hines,IND,RB
Christian Kirk,JAC,WR
JuJu Smith Schuster,KC,WR
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Maurice Alexander,DET,WR
Darius Slayton,NYG,WR
Adam Trautman,NO,TE
Saquon Barkley,NYG,RB
Damien Harris,NE,RB
Josiah Deguara,GB,TE
Myles Gaskin,MIA,RB
Dan Chisena,MIN,WR
Jesper Horsted,LV,WR
Britain Covey,PHI,WR
Josh Oliver,BAL,TE
Nick Westbrook Ikhine,TEN,WR
D Wayne Eskridge,SEA,WR
Steven Sims,PIT,WR
Tyler Davis,GB,TE
D J Moore,CAR,WR
Jeff Smith,NYJ,WR
Tony Pollard,DAL,RB
Miles Sanders,PHI,RB
Velus Jones,CHI,WR
Ashton Dulin,IND,WR
Daniel Jones,NYG,QB
Marquise Brown,ARI,WR
Skylar Thompson,MIA,QB
David Montgomery,CHI,RB
K J Osborn,MIN,WR
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
T J Hockenson,DET,TE
Jauan Jennings,SF,WR
Parris Campbell,IND,WR
Olamide Zaccheaus,ATL,WR
Scott Miller,TB,WR
Kyler Murray,ARI,QB
Donald Parham,LAC,TE
Darrell Henderson,LAR,RB
Devin Singletary,BUF,RB
Devin Duvernay,BAL,WR
Ty Johnson,NYJ,RB
Tyrie Cleveland,DEN,WR
Chris Evans,CIN,RB
Michael Pittman,IND,WR
Charlie Woerner,SF,TE
Darnell Mooney,CHI,WR
John Bates,WAS,TE
Noah Fant,SEA,TE
Joshua Kelley,LAC,RB
Deonte Harty,NO,WR
Armani Rogers,WAS,TE
D K Metcalf,SEA,WR
Zack Moss,BUF,RB
Feleipe Franks,ATL,QB
Ko Kieft,TB,TE
Kene Nwangwu,MIN,RB
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Brandon Aiyuk,SF,WR
Tanner Conner,MIA,TE
Marquez Callaway,NO,WR
Kylen Granson,IND,TE
Khalil Herbert,CHI,RB
Harrison Bryant,CLE,TE
Albert Okwuegbunam,DEN,TE
AJ Dillon,GB,RB
Ty Chandler,MIN,RB
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Quez Watkins,PHI,WR
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Chase Claypool,PIT,WR
Avery Williams,ATL,RB
Jalen Hurts,PHI,QB
James Robinson,JAC,RB
Irv Smith,MIN,TE
Caleb Huntley,ATL,RB
DeeJay Dallas,SEA,RB
Jelani Woods,IND,TE
Isaiah Hodgins,BUF,WR
Davis Mills,HOU,QB
Pat Freiermuth,PIT,TE
Shi Smith,CAR,WR
Jaylen Warren,PIT,RB
Bryan Edwards,ATL,WR
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Troy Hairston,HOU,TE
Zander Horvath,LAC,RB
J K Dobbins,BAL,RB
Jalen Reagor,MIN,WR
Tre McKitty,LAC,TE
Rachaad White,TB,RB
Jaelon Darden,TB,WR
Quintin Morris,BUF,TE
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Donovan Peoples Jones,CLE,WR
Deon Jackson,IND,RB
Gary Brightwell,NYG,RB
Isiah Pacheco,KC,RB
Justin Fields,CHI,QB
Cole Kmet,CHI,TE
Kenneth Gainwell,PHI,RB
Montrell Washington,DEN,WR
Nico Collins,HOU,WR
Brian Robinson,WAS,RB
Gabriel Davis,BUF,WR
Danny Gray,SF,WR
CeeDee Lamb,DAL,WR
Clyde Edwards Helaire,KC,RB
Eno Benjamin,ARI,RB
Cade Otton,TB,TE
Bailey Zappe,NE,QB
Jerry Jeudy,DEN,WR
Noah Gray,KC,TE
Michael Carter,NYJ,RB
Christian Watson,GB,WR
Tylan Wallace,BAL,WR
Jordan Mason,SF,RB
Raheem Blackshear,CAR,RB
Justin Jefferson,MIN,WR
Kyle Philips,TEN,WR
Cam Akers,LAR,RB
Dax Milne,WAS,WR
KJ Hamler,DEN,WR
Zach Wilson,NYJ,QB
Ihmir Smith Marsette,CHI,WR
Chig Okonkwo,TEN,TE
