player,team,pos
Tom Brady,TB,QB
Aaron Rodgers,GB,QB
Andy Dalton,NO,QB
Matthew Stafford,LAR,QB
A J Green,ARI,WR
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Julio Jones,TB,WR
Kyle Rudolph,TB,TE
Mark Ingram,NO,RB
Latavius Murray,DEN,RB
Marvin Jones,JAC,WR
Rex Burkhead,HOU,RB
Adam Thielen,MIN,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,ARI,TE
Marquise Goodwin,SEA,WR
Derek Carr,LV,QB
Jimmy Garoppolo,SF,QB
Trevor Siemian,CHI,QB
Jake Kumerow,BUF,WR
Keith Smith,ATL,WR
Raheem Mostert,MIA,RB
Chris Manhertz,JAC,TE
Robert Woods,TEN,WR
Jordan Akins,HOU,TE
DeAndre Hopkins,ARI,WR
Kevin White,NO,WR
Tyler Lockett,SEA,WR
Tyler Kroft,SF,TE
Derek Watt,PIT,RB
Jacoby Brissett,CLE,QB
Davante Adams,LV,WR
Tyler Higbee,LAR,TE
Phillip Dorsett,HOU,WR
C J Uzomah,NYJ,TE
DeVante Parker,NE,WR
Damiere Byrd,ATL,WR
Nick Vannett,NO,TE
Taylor Heinicke,WAS,QB
Melvin Gordon,DEN,RB
Keelan Cole,LV,WR
Robbie Anderson,ARI,WR
Malcolm Brown,LAR,RB
Nelson Agholor,NE,WR
Ameer Abdullah,LV,RB
Sammy Watkins,GB,WR
Cooper Kupp,LAR,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
J D McKissic,WAS,RB
Hayden Hurst,CIN,TE
Mike Evans,TB,WR
Allen Robinson,LAR,WR
Breshad Perriman,TB,WR
Mack Hollins,LV,WR
Mo Alie Cox,IND,TE
Brandin Cooks,HOU,WR
George Kittle,SF,TE
Marcus Mariota,ATL,QB
Cody Hollister,TEN,WR
Stefon Diggs,BUF,WR
Derrick Henry,TEN,RB
Kenyan Drake,BAL,RB
Justin Hardee,NYJ,WR
Tyreek Hill,MIA,WR
Dwayne Washington,NO,RB
Trent Taylor,CIN,WR
Robert Tonyan,GB,TE
Eric Saubert,DEN,TE
Pharaoh Brown,CLE,TE
Dare Ogunbowale,HOU,RB
Amari Cooper,CLE,WR
Marcus Johnson,NYG,WR
Kalif Raymond,DET,WR
Mike Thomas,CIN,WR
Evan Engram,JAC,TE
Demarcus Robinson,BAL,WR
Jared Goff,DET,QB
Austin Hooper,TEN,TE
Tanner Hudson,NYG,TE
Tyler Boyd,CIN,WR
O J Howard,HOU,TE
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Hunter Henry,NE,TE
Zach Pascal,PHI,WR
Dallas Goedert,PHI,TE
Leonard Fournette,TB,RB
Ross Dwelley,SF,TE
Josh Reynolds,DET,WR
Dontrell Hilliard,TEN,RB
P J Walker,CAR,QB
Matt Breida,NYG,RB
Dan Arnold,JAC,TE
Zay Jones,JAC,WR
Jamaal Williams,DET,RB
Isaiah McKenzie,BUF,WR
Darrel Williams,ARI,RB
Gus Edwards,BAL,RB
Boston Scott,PHI,RB
Cullen Gillaspia,SEA,RB
Parker Hesse,ATL,TE
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,CLE,RB
Dalvin Cook,MIN,RB
Jonnu Smith,NE,TE
Richie James,NYG,WR
Mark Andrews,BAL,TE
Brandon Powell,LAR,WR
Terry McLaurin,WAS,WR
Samaje Perine,CIN,RB
Mike Gesicki,MIA,TE
Braxton Berrios,NYJ,WR
Chris Myarick,NYG,RB
Courtland Sutton,DEN,WR
Dante Pettis,CHI,WR
Jeff Wilson,SF,RB
Cedrick Wilson,MIA,WR
Trenton Irwin,CIN,WR
Hunter Renfrow,LV,WR
Nick Chubb,CLE,RB
Cam Sims,WAS,WR
Tre Quan Smith,NO,WR
Trent Sherfield,MIA,WR
D Ernest Johnson,CLE,RB
Chris Godwin,TB,WR
Michael Gallup,DAL,WR
Chase Edmonds,MIA,RB
Justin Jackson,DET,RB
D Onta Foreman,CAR,RB
Gardner Minshew,PHI,QB
Josh Allen,BUF,QB
David Sills,NYG,WR
Ian Thomas,CAR,TE
Christian McCaffrey,SF,RB
Craig Reynolds,DET,RB
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
Dalton Schultz,DAL,TE
Joe Mixon,CIN,RB
KaVontae Turpin,DAL,WR
Jarrett Stidham,LV,QB
Curtis Samuel,WAS,WR
Zach Gentry,PIT,TE
Jamycal Hasty,JAC,RB
Juwan Johnson,NO,TE
James Proche,BAL,WR
Equanimeous St Brown,CHI,WR
Miles Boykin,PIT,WR
Ray Ray McCloud,SF,WR
Giovanni Ricci,CAR,TE
Mitchell Wilcox,CIN,TE
Jakobi Meyers,NE,WR
Nyheim Hines,IND,RB
Dawson Knox,BUF,TE
Christian Kirk,JAC,WR
Gunner Olszewski,PIT,WR
Stephen Sullivan,CAR,TE
Joe Burrow,CIN,QB
Maurice Alexander,DET,WR
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Keke Coutee,IND,WR
DJ Turner,LV,WR
Saquon Barkley,NYG,RB
Damien Harris,NE,RB
Josiah Deguara,GB,TE
Jesper Horsted,LV,WR
Britain Covey,PHI,WR
D Wayne Eskridge,SEA,WR
Josh Oliver,BAL,TE
Steven Sims,PIT,WR
D J Moore,CAR,WR
Jeff Smith,NYJ,WR
Tony Pollard,DAL,RB
Miles Sanders,PHI,RB
Foster Moreau,LV,TE
Velus Jones,CHI,WR
Daniel Jones,NYG,QB
David Montgomery,CHI,RB
K J Osborn,MIN,WR
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
T J Hockenson,DET,TE
Parris Campbell,IND,WR
Olamide Zaccheaus,ATL,WR
Scott Miller,TB,WR
Kyler Murray,ARI,QB
Darrell Henderson,LAR,RB
Lawrence Cager,NYG,TE
Devin Singletary,BUF,RB
Devin Duvernay,BAL,WR
Ty Johnson,NYJ,RB
Chris Evans,CIN,RB
Michael Pittman,IND,WR
Denzel Mims,NYJ,WR
Darnell Mooney,CHI,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Armani Rogers,WAS,TE
D K Metcalf,SEA,WR
N Keal Harry,CHI,WR
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
Kene Nwangwu,MIN,RB
Josh Jacobs,LV,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Najee Harris,PIT,RB
Brandon Aiyuk,SF,WR
Samori Toure,GB,WR
Marquez Callaway,NO,WR
Kylen Granson,IND,TE
Khalil Herbert,CHI,RB
Patrick Taylor,GB,RB
AJ Dillon,GB,RB
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Quez Watkins,PHI,WR
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Chase Claypool,PIT,WR
Demetric Felton,CLE,WR
Avery Williams,ATL,RB
Travis Homer,SEA,RB
Jalen Hurts,PHI,QB
James Robinson,NYJ,RB
Irv Smith,MIN,TE
Hunter Long,MIA,TE
Rashid Shaheed,NO,WR
Mac Jones,NE,QB
Caleb Huntley,ATL,RB
DeeJay Dallas,SEA,RB
Sam Ehlinger,IND,QB
Laviska Shenault,CAR,WR
Davis Mills,HOU,QB
Pat Freiermuth,PIT,TE
Shi Smith,CAR,WR
Jaylen Warren,PIT,RB
Spencer Brown,CAR,RB
Bryan Edwards,ATL,WR
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Malik Davis,DAL,RB
Brock Wright,DET,TE
Troy Hairston,HOU,TE
Pierre Strong,NE,RB
Salvon Ahmed,MIA,RB
Trestan Ebner,CHI,RB
Jalen Reagor,MIN,WR
Colby Parkinson,SEA,TE
D Andre Swift,DET,RB
Rachaad White,TB,RB
Jaelon Darden,TB,WR
Tee Higgins,CIN,WR
Jake Ferguson,DAL,TE
Jonathan Taylor,IND,RB
Braylon Sanders,MIA,WR
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Ronnie Rivers,LAR,RB
Deon Jackson,IND,RB
Donovan Peoples Jones,CLE,WR
Gary Brightwell,NYG,RB
Justin Fields,CHI,QB
Cole Kmet,CHI,TE
Kenneth Gainwell,PHI,RB
Montrell Washington,DEN,WR
Brian Robinson,WAS,RB
Gabriel Davis,BUF,WR
CeeDee Lamb,DAL,WR
Eno Benjamin,ARI,RB
Cade Otton,TB,TE
Peyton Hendershot,DAL,TE
Jerry Jeudy,DEN,WR
Michael Carter,NYJ,RB
Christian Watson,GB,WR
Malik Willis,TEN,QB
Dareke Young,SEA,WR
Raheem Blackshear,CAR,RB
Justin Jefferson,MIN,WR
Dax Milne,WAS,WR
KJ Hamler,DEN,WR
Zach Wilson,NYJ,QB
James Mitchell,DET,TE
Chig Okonkwo,TEN,TE
Amari Rodgers,GB,WR
James Cook,BUF,RB
Trevor Lawrence,JAC,QB
Amon Ra St Brown,DET,WR
Trey McBride,ARI,TE
Hassan Haskins,TEN,RB
Rashod Bateman,BAL,WR
Khalil Shakir,BUF,WR
Dameon Pierce,HOU,RB
Michael Woods,CLE,WR
Greg Dulcich,DEN,TE
Elijah Moore,NYJ,WR
Romeo Doubs,GB,WR
Tyler Allgeier,ATL,RB
Isaiah Likely,BAL,TE
Alec Pierce,IND,WR
Tommy Tremble,CAR,TE
Terrace Marshall,CAR,WR
Rondale Moore,ARI,WR
Chris Olave,NO,WR
Brevin Jordan,HOU,TE
Garrett Wilson,NYJ,WR
Tyquan Thornton,NE,WR
Kyle Pitts,ATL,TE
Kenneth Walker,SEA,RB
David Bell,CLE,WR
Wan Dale Robinson,NYG,WR
George Pickens,PIT,WR
