player,team,pos
Tom Brady,TB,QB
Aaron Rodgers,GB,QB
Matt Ryan,IND,QB
Andy Dalton,NO,QB
Matthew Stafford,LAR,QB
A J Green,ARI,WR
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Travis Kelce,KC,TE
Mark Ingram,NO,RB
Ryan Griffin,CHI,TE
Latavius Murray,DEN,RB
Randall Cobb,GB,WR
Adam Thielen,MIN,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,ARI,TE
Marquise Goodwin,SEA,WR
Kyle Juszczyk,SF,RB
Cameron Brate,TB,TE
Jimmy Garoppolo,SF,QB
Michael Burton,KC,RB
MyCole Pruitt,ATL,TE
Keith Smith,ATL,WR
Raheem Mostert,MIA,RB
Chris Manhertz,JAC,TE
Eric Tomlinson,DEN,TE
Jerick McKinnon,KC,RB
Kevin White,NO,WR
Tyler Lockett,SEA,WR
Derek Watt,PIT,RB
Teddy Bridgewater,MIA,QB
Jacoby Brissett,CLE,QB
Tyler Higbee,LAR,TE
Carson Wentz,WAS,QB
C J Uzomah,NYJ,TE
DeVante Parker,NE,WR
DeAndre Carter,LAC,WR
Melvin Gordon,DEN,RB
Tevin Coleman,SF,RB
Malcolm Brown,LAR,RB
Cooper Kupp,LAR,WR
C J Ham,MIN,RB
J D McKissic,WAS,RB
Mike Evans,TB,WR
Hayden Hurst,CIN,TE
Allen Robinson,LAR,WR
Breshad Perriman,TB,WR
George Kittle,SF,TE
Marcus Mariota,ATL,QB
Cooper Rush,DAL,QB
Stefon Diggs,BUF,WR
Chester Rogers,CLE,WR
Kenyan Drake,BAL,RB
Justin Hardee,NYJ,WR
Tyreek Hill,MIA,WR
Trent Taylor,CIN,WR
Robert Tonyan,GB,TE
Pharaoh Brown,CLE,TE
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,LAC,TE
Phillip Lindsay,IND,RB
Marcus Johnson,NYG,WR
Mitchell Trubisky,PIT,QB
Evan Engram,JAC,TE
Demarcus Robinson,BAL,WR
Mike Williams,LAC,WR
Marquez Valdes Scantling,KC,WR
River Cracraft,MIA,WR
Tyler Boyd,CIN,WR
Johnny Mundt,MIN,TE
Aaron Jones,GB,RB
Hunter Henry,NE,TE
Zach Pascal,PHI,WR
Keith Kirkwood,NO,WR
Dallas Goedert,PHI,TE
KhaDarel Hodge,ATL,WR
Corey Davis,NYJ,WR
Leonard Fournette,TB,RB
Sony Michel,LAC,RB
P J Walker,CAR,QB
Matt Breida,NYG,RB
Zay Jones,JAC,WR
Jamal Agnew,JAC,WR
Justin Watson,KC,WR
Isaiah McKenzie,BUF,WR
Boston Scott,PHI,RB
Cullen Gillaspia,SEA,RB
Austin Ekeler,LAC,RB
Mike Boone,DEN,RB
Tommy Sweeney,BUF,TE
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Kendrick Bourne,NE,WR
Kareem Hunt,CLE,RB
Dalvin Cook,MIN,RB
Jonnu Smith,NE,TE
Richie James,NYG,WR
Mark Andrews,BAL,TE
Brandon Powell,LAR,WR
Samaje Perine,CIN,RB
Patrick Mahomes,KC,QB
Terry McLaurin,WAS,WR
Mike Gesicki,MIA,TE
Braxton Berrios,NYJ,WR
Courtland Sutton,DEN,WR
Dante Pettis,CHI,WR
Jeff Wilson,SF,RB
Allen Lazard,GB,WR
Nick Chubb,CLE,RB
Noah Brown,DAL,WR
Tre Quan Smith,NO,WR
Cam Sims,WAS,WR
Deebo Samuel,SF,WR
Russell Gage,TB,WR
Trent Sherfield,MIA,WR
Chris Godwin,TB,WR
D Ernest Johnson,CLE,RB
Michael Gallup,DAL,WR
Chase Edmonds,MIA,RB
D Onta Foreman,CAR,RB
Andrew Beck,DEN,TE
Josh Allen,BUF,QB
David Sills,NYG,WR
Ian Thomas,CAR,TE
Christian McCaffrey,CAR,RB
Khari Blasingame,CHI,RB
Diontae Johnson,PIT,WR
Will Dissly,SEA,TE
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Joe Mixon,CIN,RB
KaVontae Turpin,DAL,WR
Curtis Samuel,WAS,WR
Juwann Winfree,GB,WR
Zach Gentry,PIT,TE
Jamycal Hasty,JAC,RB
Juwan Johnson,NO,TE
Equanimeous St Brown,CHI,WR
Miles Boykin,PIT,WR
Ray Ray McCloud,SF,WR
Jakobi Meyers,NE,WR
Dawson Knox,BUF,TE
Christian Kirk,JAC,WR
JuJu Smith Schuster,KC,WR
Gunner Olszewski,PIT,WR
Stephen Sullivan,CAR,TE
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Keke Coutee,IND,WR
Adam Trautman,NO,TE
Saquon Barkley,NYG,RB
Josiah Deguara,GB,TE
Kendall Hinton,DEN,WR
Britain Covey,PHI,WR
Josh Oliver,BAL,TE
D Wayne Eskridge,SEA,WR
Steven Sims,PIT,WR
D J Moore,CAR,WR
Tony Pollard,DAL,RB
Miles Sanders,PHI,RB
Ke Shawn Vaughn,TB,RB
Velus Jones,CHI,WR
Daniel Jones,NYG,QB
Marquise Brown,ARI,WR
Skylar Thompson,MIA,QB
David Montgomery,CHI,RB
K J Osborn,MIN,WR
Ben Skowronek,LAR,WR
A J Brown,PHI,WR
Jauan Jennings,SF,WR
Parris Campbell,IND,WR
Olamide Zaccheaus,ATL,WR
Scott Miller,TB,WR
Kyler Murray,ARI,QB
Mike Strachan,IND,WR
Devin Asiasi,CIN,TE
Donald Parham,LAC,TE
Darrell Henderson,LAR,RB
Reggie Gilliam,BUF,RB
Devin Singletary,BUF,RB
Devin Duvernay,BAL,WR
Tyrie Cleveland,DEN,WR
Chris Evans,CIN,RB
Michael Pittman,IND,WR
Luke Farrell,JAC,TE
Charlie Woerner,SF,TE
Darnell Mooney,CHI,WR
Jacob Eason,CAR,QB
Noah Fant,SEA,TE
Michael Bandy,LAC,WR
Armani Rogers,WAS,TE
D K Metcalf,SEA,WR
Sean McKeon,DAL,TE
Ko Kieft,TB,TE
Jack Stoll,PHI,TE
Kene Nwangwu,MIN,RB
Rhamondre Stevenson,NE,RB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Brandon Aiyuk,SF,WR
Tanner Conner,MIA,TE
Marquez Callaway,NO,WR
Kylen Granson,IND,TE
Harrison Bryant,CLE,TE
Khalil Herbert,CHI,RB
AJ Dillon,GB,RB
Tim Jones,JAC,WR
Greg Dortch,ARI,WR
Kenny Pickett,PIT,QB
Quez Watkins,PHI,WR
Alexander Mattison,MIN,RB
Antonio Gibson,WAS,RB
Chase Claypool,PIT,WR
Avery Williams,ATL,RB
Jalen Hurts,PHI,QB
James Robinson,JAC,RB
Irv Smith,MIN,TE
Hunter Long,MIA,TE
Rashid Shaheed,NO,WR
Caleb Huntley,ATL,RB
DeeJay Dallas,SEA,RB
Jelani Woods,IND,TE
Shi Smith,CAR,WR
Jaylen Warren,PIT,RB
Jordan Love,GB,QB
DeVonta Smith,PHI,WR
Jaylen Waddle,MIA,WR
Zander Horvath,LAC,RB
Pierre Strong,NE,RB
J K Dobbins,BAL,RB
Jalen Reagor,MIN,WR
Colby Parkinson,SEA,TE
Rachaad White,TB,RB
Jaelon Darden,TB,WR
Jake Ferguson,DAL,TE
Tee Higgins,CIN,WR
Quintin Morris,BUF,TE
Connor Heyward,PIT,TE
Travis Etienne,JAC,RB
Ronnie Rivers,LAR,RB
Deon Jackson,IND,RB
Donovan Peoples Jones,CLE,WR
Gary Brightwell,NYG,RB
Isiah Pacheco,KC,RB
Justin Fields,CHI,QB
Cole Kmet,CHI,TE
Montrell Washington,DEN,WR
Kenneth Gainwell,PHI,RB
Brian Robinson,WAS,RB
Gabriel Davis,BUF,WR
CeeDee Lamb,DAL,WR
Clyde Edwards Helaire,KC,RB
Eno Benjamin,ARI,RB
Cade Otton,TB,TE
Peyton Hendershot,DAL,TE
Jerry Jeudy,DEN,WR
Bailey Zappe,NE,QB
Noah Gray,KC,TE
Michael Carter,NYJ,RB
Tylan Wallace,BAL,WR
Raheem Blackshear,CAR,RB
Chuba Hubbard,CAR,RB
Justin Jefferson,MIN,WR
Dax Milne,WAS,WR
KJ Hamler,DEN,WR
Zach Wilson,NYJ,QB
Ihmir Smith Marsette,CHI,WR
Joshua Palmer,LAC,WR
Amari Rodgers,GB,WR
James Cook,BUF,RB
Trevor Lawrence,JAC,QB
Tutu Atwell,LAR,WR
Keaontay Ingram,ARI,RB
Dyami Brown,WAS,WR
Khalil Shakir,BUF,WR
Ja Marr Chase,CIN,WR
Cole Turner,WAS,TE
Michael Woods,CLE,WR
Greg Dulcich,DEN,TE
Elijah Moore,NYJ,WR
Romeo Doubs,GB,WR
Tyler Allgeier,ATL,RB
Isaiah Likely,BAL,TE
Alec Pierce,IND,WR
Terrace Marshall,CAR,WR
Rondale Moore,ARI,WR
Garrett Wilson,NYJ,WR
Anthony Schwartz,CLE,WR
Tyquan Thornton,NE,WR
Skyy Moore,KC,WR
Daniel Bellinger,NYG,TE
Kyle Pitts,ATL,TE
Kenneth Walker,SEA,RB
Kevin Harris,NE,RB
David Bell,CLE,WR
Wan Dale Robinson,NYG,WR
George Pickens,PIT,WR
Breece Hall,NYJ,RB
Drake London,ATL,WR
Marcedes Lewis,GB,TE
Matthew Slater,NE,WR
Taiwan Jones,BUF,RB
Willie Snead,SF,WR
Stephen Anderson,ARI,TE
Nick Boyle,BAL,TE
J P Holtz,NO,TE
Mo Alie Cox,IND,TE
Jacob Hollister,MIN,TE
Dwayne Washington,NO,RB
Eric Saubert,DEN,TE
Mike Thomas,CIN,WR
Rashard Higgins,CAR,WR
Corey Clement,ARI,RB
